-5: AnziD
-6: Bazaar of Boxes
-12: MagicCon Vegas Legacy for Artwork
-14: MagicCon Vegas Legacy Cup
-20: BCD 15
-24: EW Asia
-25: DMV Invitational
-26: BCD 18
-30: European Legacy Masters

Legacy Showcase Challenge 2024-11-17 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-16 (2024-11-16), AnziD's Eternal Legacy Showdown (2024-11-10), Bazaar of Boxes 13 (2024-11-09), Legacy Challenge 32 2024-11-03 (2024-11-03), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 64 2024-10-27 (2024-10-27), Legacy Challenge 32 2024-10-27 (2024-10-27), BLACK -SAT - 1:30 PM - Legacy for Original Magic Artwork (2024-10-26), Legacy Challenge 32 2024-10-26 (2024-10-26), BLACK - FRI - 12:00 PM - Legacy Cup - MagicCon: Las Vegas (2024-10-25), Legacy Challenge 32 2024-10-25 (2024-10-25), Legacy Challenge 32 2024-10-23 (2024-10-23), Legacy Challenge 64 2024-10-20 (2024-10-20), Legacy Challenge 32 2024-10-20 (2024-10-20), Legacy Challenge 32 2024-10-19 (2024-10-19), Buffalo Chicken Dip Legacy 15 (2024-10-19), Legacy Challenge 32 2024-10-18 (2024-10-18), Legacy Challenge 32 2024-10-16 (2024-10-16), Legacy Challenge 32 2024-10-13 (2024-10-13), 2024 Asia Legacy Championship (2024-10-12), DMV Legacy League Invitational (2024-10-12), Buffalo Chicken Dip Legacy 17 (2024-10-12), Legacy Challenge 32 2024-09-29 (2024-09-29), Legacy Challenge 32 2024-09-15 (2024-09-15), Legacy Challenge 32 2024-09-08 (2024-09-08), European Legacy Masters 2024 (2024-09-07), Legacy Challenge 32 2024-09-01 (2024-09-01)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator                  |     14.59% |        406 |     130.22 | 1401 |   1215 |     9 | 53.54% |                    51.64% |                    55.46% |       53.83% |          54.25% |          53.54% |
| Dimir Tempo                    |      9.20% |        256 |      99.23 |  881 |    751 |     6 | 53.97% |                    51.56% |                    56.39% |       54.69% |          54.40% |          53.97% |
| Red Stompy                     |      8.52% |        237 |     102.14 |  730 |    698 |     4 | 51.12% |                    48.53% |                    53.71% |       51.67% |          51.12% |          51.12% |
| Eldrazi                        |      7.87% |        219 |     113.60 |  726 |    671 |     0 | 51.97% |                    49.35% |                    54.58% |       52.14% |          52.12% |          51.97% |
| Red Painter                    |      4.92% |        137 |     114.40 |  468 |    425 |     1 | 52.40% |                    49.13% |                    55.67% |       52.19% |          52.45% |          52.40% |
| Mystic Forge Combo             |      3.45% |         96 |      96.58 |  319 |    266 |     0 | 54.53% |                    50.48% |                    58.52% |       53.65% |          54.69% |          54.53% |
| Nadu Combo                     |      3.31% |         92 |     114.60 |  298 |    257 |     2 | 53.68% |                    49.53% |                    57.80% |       53.21% |          53.82% |          53.68% |
| Sneak and Show                 |      2.80% |         78 |     143.47 |  249 |    261 |     1 | 48.83% |                    44.51% |                    53.15% |       49.12% |          48.77% |          48.83% |
| Doomsday                       |      2.73% |         76 |     101.20 |  260 |    191 |     0 | 57.65% |                    53.04% |                    62.13% |       58.19% |          58.00% |          57.65% |
| Cephalid Breakfast             |      2.52% |         70 |     105.20 |  203 |    209 |     4 | 49.28% |                    44.47% |                    54.08% |       47.91% |          49.50% |          49.28% |
| Death and Taxes (Yorion)       |      2.30% |         64 |     141.53 |  178 |    208 |     2 | 46.13% |                    41.20% |                    51.10% |       45.06% |          46.09% |          46.13% |
| Jeskai Control                 |      2.16% |         60 |     136.60 |  170 |    188 |     4 | 47.51% |                    42.37% |                    52.66% |       49.13% |          47.41% |          47.51% |
| Beanstalk Control (Non-Yorion) |      1.69% |         47 |     137.51 |  110 |    152 |     6 | 42.16% |                    36.17% |                    48.03% |       41.57% |          42.05% |          42.16% |
