Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-11-03 (2024-11-03), AnziD's Eternal Legacy Showdown (2024-11-10), Legacy Challenge 32 2024-11-16 (2024-11-16), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Dimir Tempo                    |     14.66% |        130 |     105.42 |  412 |    372 |     0 | 52.55% |                    49.05% |                    56.03% |       54.47% |          52.95% |          53.72% |
| UB Reanimator                  |     11.95% |        106 |     115.33 |  321 |    293 |     0 | 52.28% |                    48.33% |                    56.20% |       52.30% |          52.59% |          51.27% |
| Red Stompy                     |     10.94% |         97 |     104.81 |  284 |    291 |     0 | 49.39% |                    45.32% |                    53.47% |       51.27% |          49.00% |          51.11% |
| Eldrazi                        |      6.99% |         62 |     104.10 |  204 |    191 |     0 | 51.65% |                    46.73% |                    56.53% |       51.17% |          51.72% |          52.24% |
| Mystic Forge Combo             |      4.96% |         44 |     127.05 |  122 |    118 |     0 | 50.83% |                    44.55% |                    57.10% |       52.25% |          50.88% |          50.97% |
| Nadu Combo                     |      4.74% |         42 |     102.98 |  126 |    116 |     0 | 52.07% |                    45.79% |                    58.28% |       53.24% |          52.17% |          52.75% |
| Red Painter                    |      4.28% |         38 |      87.32 |  128 |    116 |     0 | 52.46% |                    46.20% |                    58.64% |       51.78% |          52.68% |          51.90% |
| Doomsday                       |      3.27% |         29 |      83.62 |   93 |     68 |     0 | 57.76% |                    50.04% |                    65.13% |       57.77% |          57.76% |          57.78% |
| Sneak and Show                 |      3.04% |         27 |      78.85 |   94 |     74 |     0 | 55.95% |                    48.40% |                    63.24% |       48.89% |          56.33% |          49.36% |
| Cephalid Breakfast             |      2.14% |         19 |     133.37 |   51 |     56 |     0 | 47.66% |                    38.45% |                    57.04% |       48.50% |          47.66% |          52.30% |
