Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-11-03 (2024-11-03), Bazaar of Boxes 13 (2024-11-09), AnziD's Eternal Legacy Showdown (2024-11-10), Legacy Challenge 32 2024-11-16 (2024-11-16), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Dimir Tempo                    |     13.43% |        135 |     103.41 |  429 |    387 |     0 | 52.57% |                    49.14% |                    55.98% |       54.62% |          52.97% |          53.85% |
| UB Reanimator                  |     11.84% |        119 |     108.79 |  361 |    329 |     0 | 52.32% |                    48.59% |                    56.02% |       52.39% |          52.74% |          51.51% |
| Red Stompy                     |     10.25% |        103 |     101.50 |  305 |    309 |     0 | 49.67% |                    45.73% |                    53.62% |       51.31% |          49.34% |          50.77% |
| Eldrazi                        |      6.67% |         67 |      98.79 |  224 |    204 |     0 | 52.34% |                    47.60% |                    57.03% |       51.73% |          52.44% |          52.47% |
| Mystic Forge Combo             |      4.88% |         49 |     118.53 |  139 |    131 |     0 | 51.48% |                    45.54% |                    57.38% |       52.81% |          51.55% |          52.30% |
| Nadu Combo                     |      4.38% |         44 |     100.23 |  133 |    123 |     0 | 51.95% |                    45.85% |                    58.00% |       53.58% |          52.05% |          52.26% |
| Red Painter                    |      4.08% |         41 |      85.05 |  138 |    125 |     0 | 52.47% |                    46.44% |                    58.43% |       51.89% |          52.67% |          51.68% |
| Doomsday                       |      3.18% |         32 |      77.66 |  111 |     74 |     0 | 60.00% |                    52.81% |                    66.79% |       58.26% |          60.22% |          58.49% |
| Sneak and Show                 |      2.99% |         30 |      78.90 |  101 |     87 |     0 | 53.72% |                    46.59% |                    60.70% |       49.41% |          53.98% |          49.53% |
| Cephalid Breakfast             |      2.09% |         21 |     129.43 |   54 |     63 |     0 | 46.15% |                    37.39% |                    55.17% |       48.40% |          46.15% |          51.83% |
| Death and Taxes (Yorion)       |      1.99% |         20 |     120.20 |   53 |     63 |     0 | 45.69% |                    36.91% |                    54.75% |       44.63% |          45.61% |          44.62% |
| Oops All Spells                |      1.99% |         20 |      80.75 |   72 |     49 |     0 | 59.50% |                    50.60% |                    67.83% |       52.76% |          59.50% |          53.73% |
| Cradle Control                 |      1.79% |         18 |      83.83 |   51 |     57 |     0 | 47.22% |                    38.06% |                    56.57% |       43.25% |          47.22% |          42.57% |
| Elves                          |      1.59% |         16 |      91.94 |   55 |     49 |     0 | 52.88% |                    43.36% |                    62.20% |       55.54% |          52.88% |          55.21% |
| Jeskai Control                 |      1.59% |         16 |     151.81 |   32 |     43 |     0 | 42.67% |                    32.10% |                    53.95% |       48.76% |          42.67% |          45.47% |
| Unknown Deck                   |      1.59% |         16 |     195.06 |    5 |     21 |     0 | 19.23% |                     8.51% |                    37.88% |       31.91% |          19.23% |          21.54% |
| ANT                            |      1.39% |         14 |     154.14 |   29 |     38 |     0 | 43.28% |                    32.10% |                    55.19% |       49.57% |          43.28% |          46.87% |
| Beanstalk Control (Non-Yorion) |      1.39% |         14 |     140.43 |   26 |     50 |     0 | 34.21% |                    24.54% |                    45.40% |       40.94% |          33.78% |          38.09% |
| Other Aggro                    |      1.19% |         12 |     123.25 |   17 |     37 |     0 | 31.48% |                    20.68% |                    44.74% |       38.24% |          30.77% |          31.26% |
| Lands                          |      1.09% |         11 |      81.27 |   35 |     37 |     0 | 48.61% |                    37.43% |                    59.93% |       47.43% |          48.61% |          46.88% |
| BR Reanimator                  |      1.00% |         10 |     131.60 |   25 |     31 |     0 | 44.64% |                    32.39% |                    57.59% |       44.24% |          44.64% |          47.55% |
| Dredge                         |      1.00% |         10 |      59.70 |   41 |     33 |     0 | 55.41% |                    44.09% |                    66.18% |       51.07% |          55.56% |          51.64% |
| Stiflenought                   |      1.00% |         10 |      63.50 |   39 |     34 |     0 | 53.42% |                    42.10% |                    64.41% |       47.23% |          53.42% |          47.53% |
| Mono Green Cloudpost           |      0.90% |          9 |     117.89 |   26 |     29 |     0 | 47.27% |                    34.69% |                    60.21% |       41.94% |          47.27% |          45.87% |
| Esper Control                  |      0.80% |          8 |     112.62 |   24 |     23 |     0 | 51.06% |                    37.24% |                    64.72% |       51.25% |          51.06% |          51.86% |
| Golgari Depths                 |      0.80% |          8 |     120.50 |   16 |     27 |     0 | 37.21% |                    24.38% |                    52.14% |       40.43% |          37.21% |          39.08% |
| Ruby Storm                     |      0.80% |          8 |      75.12 |   32 |     23 |     0 | 58.18% |                    45.03% |                    70.26% |       48.08% |          58.49% |          57.05% |
| Merfolk                        |      0.70% |          7 |     131.86 |   15 |     24 |     0 | 38.46% |                    24.89% |                    54.10% |       40.88% |          38.46% |          41.97% |
| Other Tempo                    |      0.70% |          7 |     183.14 |   14 |     19 |     0 | 42.42% |                    27.24% |                    59.19% |       50.78% |          42.42% |          41.93% |
| Selesnya Depths                |      0.70% |          7 |     137.29 |   16 |     20 |     0 | 44.44% |                    29.54% |                    60.42% |       43.16% |          44.44% |          38.50% |
| Stoneblade                     |      0.70% |          7 |      61.43 |   18 |     19 |     0 | 48.65% |                    33.45% |                    64.11% |       51.31% |          48.65% |          50.87% |
| Other Permanent Combo          |      0.60% |          6 |      95.00 |   10 |     24 |     0 | 29.41% |                    16.83% |                    46.17% |       35.24% |          29.41% |          30.84% |
| Beanstalk Control (Yorion)     |      0.50% |          5 |     147.80 |   11 |     11 |     0 | 50.00% |                    30.72% |                    69.28% |       44.59% |          50.00% |          53.79% |
| Beseech Storm                  |      0.50% |          5 |      74.20 |   12 |     16 |     0 | 42.86% |                    26.51% |                    60.93% |       49.54% |          42.31% |          42.59% |
| Boros Stompy                   |      0.50% |          5 |      97.40 |   17 |     18 |     0 | 48.57% |                    32.99% |                    64.43% |       41.64% |          48.57% |          48.57% |
| Dimir Delver                   |      0.50% |          5 |      92.60 |   21 |     13 |     0 | 61.76% |                    45.04% |                    76.10% |       54.71% |          61.76% |          61.76% |
| Grixis Control                 |      0.50% |          5 |      99.00 |   13 |     14 |     0 | 48.15% |                    30.74% |                    66.01% |       44.66% |          48.15% |          49.91% |
| Mono Black Reanimator          |      0.50% |          5 |      82.00 |    9 |     15 |     0 | 37.50% |                    21.16% |                    57.29% |       32.64% |          37.50% |          38.63% |
| Ninjas                         |      0.50% |          5 |      47.80 |   16 |     15 |     0 | 51.61% |                    34.84% |                    68.03% |       45.02% |          51.61% |          40.95% |
| Omni-Tell                      |      0.50% |          5 |      80.60 |    8 |     22 |     0 | 26.67% |                    14.18% |                    44.45% |       34.06% |          26.67% |          26.51% |
| Goblins (Vial)                 |      0.40% |          4 |     109.25 |    6 |     12 |     0 | 33.33% |                    16.28% |                    56.25% |       32.43% |          33.33% |          35.67% |
| Riddlesmith Combo              |      0.40% |          4 |     167.50 |    5 |      8 |     0 | 38.46% |                    17.71% |                    64.48% |       49.48% |          38.46% |          36.63% |
| The EPIC Gamble                |      0.40% |          4 |      64.00 |    9 |     15 |     0 | 37.50% |                    21.16% |                    57.29% |       40.41% |          37.50% |          35.62% |
| Black Midrange                 |      0.30% |          3 |      29.33 |    6 |      9 |     0 | 40.00% |                    19.82% |                    64.25% |       49.68% |          40.00% |          48.95% |
| Coveted Jewel Combo            |      0.30% |          3 |     110.00 |   12 |      9 |     0 | 57.14% |                    36.55% |                    75.53% |       58.86% |          57.14% |          57.14% |
| Death and Taxes (60 Card)      |      0.30% |          3 |     151.33 |    5 |      6 |     0 | 45.45% |                    21.27% |                    71.99% |       48.24% |          45.45% |          39.39% |
| Naya Stompy                    |      0.30% |          3 |      77.00 |    6 |     14 |     0 | 30.00% |                    14.55% |                    51.90% |       31.75% |          30.00% |          39.27% |
