Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
European Legacy Masters 2024 (2024-09-07), Legacy Challenge 32 2024-09-08 (2024-09-08), Legacy Challenge 32 2024-09-15 (2024-09-15), Legacy Challenge 32 2024-09-29 (2024-09-29), Legacy Challenge 32 2024-10-13 (2024-10-13), Legacy Challenge 32 2024-10-16 (2024-10-16), Legacy Challenge 32 2024-10-18 (2024-10-18), Legacy Challenge 32 2024-10-19 (2024-10-19), Legacy Challenge 32 2024-10-20 (2024-10-20), Legacy Challenge 64 2024-10-20 (2024-10-20), Legacy Challenge 32 2024-10-23 (2024-10-23), Legacy Challenge 32 2024-10-25 (2024-10-25), Legacy Challenge 32 2024-10-26 (2024-10-26), Legacy Challenge 32 2024-10-27 (2024-10-27), Legacy Challenge 64 2024-10-27 (2024-10-27), Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-11-03 (2024-11-03), AnziD's Eternal Legacy Showdown (2024-11-10), Legacy Challenge 32 2024-11-16 (2024-11-16), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator                  |     12.63% |        211 |      71.51 |  649 |    581 |     0 | 52.76% |                    49.97% |                    55.54% |       53.15% |          53.06% |          52.40% |
| Dimir Tempo                    |     11.61% |        194 |      78.30 |  634 |    549 |     0 | 53.59% |                    50.74% |                    56.42% |       54.75% |          54.04% |          53.70% |
| Red Stompy                     |     10.41% |        174 |      69.39 |  509 |    504 |     0 | 50.25% |                    47.17% |                    53.32% |       51.86% |          50.11% |          50.85% |
| Eldrazi                        |      8.38% |        140 |      60.18 |  442 |    406 |     0 | 52.12% |                    48.76% |                    55.47% |       51.17% |          52.26% |          51.66% |
| Red Painter                    |      4.55% |         76 |      58.28 |  238 |    232 |     0 | 50.64% |                    46.13% |                    55.13% |       51.84% |          50.69% |          52.75% |
| Mystic Forge Combo             |      4.31% |         72 |      86.71 |  212 |    193 |     0 | 52.35% |                    47.48% |                    57.16% |       53.46% |          52.47% |          53.31% |
| Nadu Combo                     |      3.71% |         62 |      79.24 |  181 |    170 |     0 | 51.57% |                    46.35% |                    56.75% |       52.83% |          51.64% |          51.49% |
| Doomsday                       |      3.35% |         56 |      55.64 |  180 |    130 |     0 | 58.06% |                    52.51% |                    63.43% |       58.26% |          58.33% |          57.10% |
| Sneak and Show                 |      2.39% |         40 |      61.35 |  129 |    110 |     0 | 53.97% |                    47.64% |                    60.18% |       49.24% |          54.19% |          49.46% |
| Cephalid Breakfast             |      2.21% |         37 |      89.27 |   93 |    105 |     0 | 46.97% |                    40.14% |                    53.91% |       48.28% |          46.94% |          51.23% |
| Death and Taxes (Yorion)       |      1.97% |         33 |      86.88 |   81 |     97 |     0 | 45.51% |                    38.36% |                    52.84% |       45.26% |          45.45% |          45.05% |
| BR Reanimator                  |      1.56% |         26 |      63.50 |   75 |     75 |     0 | 50.00% |                    42.10% |                    57.90% |       44.95% |          50.00% |          48.35% |
| Beanstalk Control (Non-Yorion) |      1.56% |         26 |      97.42 |   47 |     84 |     0 | 35.88% |                    28.17% |                    44.39% |       41.44% |          35.66% |          42.85% |
| ANT                            |      1.50% |         25 |      98.96 |   63 |     62 |     0 | 50.40% |                    41.75% |                    59.02% |       49.25% |          50.40% |          49.54% |
| Jeskai Control                 |      1.50% |         25 |      99.48 |   59 |     68 |     0 | 46.46% |                    38.01% |                    55.11% |       49.03% |          46.40% |          47.75% |
| Oops All Spells                |      1.50% |         25 |      66.92 |   87 |     61 |     0 | 58.78% |                    50.73% |                    66.39% |       52.50% |          58.78% |          53.48% |
| Cradle Control                 |      1.38% |         23 |      71.52 |   51 |     71 |     0 | 41.80% |                    33.43% |                    50.67% |       43.03% |          41.80% |          39.69% |
| Elves                          |      1.38% |         23 |      76.17 |   67 |     68 |     0 | 49.63% |                    41.32% |                    57.96% |       54.78% |          49.62% |          51.47% |
