European Legacy Masters 2024 (2024-09-07), Buffalo Chicken Dip Legacy 17 (2024-10-12), DMV Legacy League Invitational (2024-10-12), 2024 Asia Legacy Championship (2024-10-12), Buffalo Chicken Dip Legacy 15 (2024-10-19), BLACK - FRI - 12:00 PM - Legacy Cup - MagicCon: Las Vegas (2024-10-25), BLACK -SAT - 1:30 PM - Legacy for Original Magic Artwork (2024-10-26), Bazaar of Boxes 13 (2024-11-09)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator                  |     17.61% |        206 |     186.33 |  795 |    665 |     9 | 54.42% |                    51.89% |                    56.99% |       54.85% |          55.59% |          54.46% |
| Eldrazi                        |      6.84% |         80 |     205.68 |  298 |    264 |     0 | 53.02% |                    48.89% |                    57.12% |       53.52% |          53.32% |          52.22% |
| Red Stompy                     |      5.47% |         64 |     191.78 |  220 |    197 |     4 | 52.73% |                    47.96% |                    57.50% |       52.62% |          52.88% |          53.22% |
| Red Painter                    |      5.38% |         63 |     182.17 |  233 |    202 |     1 | 53.56% |                    48.87% |                    58.20% |       52.74% |          53.52% |          52.57% |
| Dimir Tempo                    |      5.13% |         60 |     174.02 |  234 |    200 |     6 | 53.86% |                    49.21% |                    58.55% |       55.13% |          54.05% |          55.02% |
| Cephalid Breakfast             |      3.33% |         39 |     114.41 |  125 |    120 |     4 | 51.00% |                    44.79% |                    57.22% |       49.14% |          51.50% |          48.92% |
| Jeskai Control                 |      3.16% |         37 |     159.57 |  115 |    124 |     4 | 48.15% |                    41.86% |                    54.43% |       49.07% |          48.05% |          47.09% |
| Sneak and Show                 |      3.16% |         37 |     234.89 |  119 |    149 |     1 | 44.42% |                    38.58% |                    50.39% |       46.46% |          44.21% |          46.35% |
| Death and Taxes (Yorion)       |      2.91% |         34 |     189.09 |  102 |    120 |     2 | 45.98% |                    39.51% |                    52.51% |       45.29% |          45.95% |          46.67% |
| Grixis Delver                  |      2.56% |         30 |     195.03 |   96 |    115 |     0 | 45.50% |                    38.92% |                    52.24% |       46.98% |          45.32% |          45.63% |
| Nadu Combo                     |      2.48% |         29 |     193.24 |  114 |     84 |     2 | 57.50% |                    50.61% |                    64.25% |       53.95% |          57.65% |          57.82% |
| Beanstalk Control (Non-Yorion) |      2.31% |         27 |     162.44 |   75 |     87 |     6 | 46.43% |                    38.79% |                    53.97% |       43.18% |          46.39% |          44.67% |
| Doomsday                       |      2.14% |         25 |     186.20 |  104 |     72 |     0 | 59.09% |                    51.71% |                    66.09% |       57.42% |          59.76% |          57.89% |
| Mystic Forge Combo             |      2.05% |         24 |     127.25 |  107 |     74 |     0 | 59.12% |                    51.84% |                    66.02% |       52.53% |          59.12% |          56.80% |
| Stiflenought                   |      2.05% |         24 |     147.83 |   75 |     81 |     4 | 48.12% |                    40.38% |                    55.87% |       49.17% |          48.12% |          46.39% |
| Unknown                        |      2.05% |         24 |      68.79 |   32 |     64 |     2 | 33.67% |                    24.71% |                    43.24% |       36.07% |          32.98% |          33.67% |
