Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-13 (2024-10-13), Legacy Challenge 32 2024-10-16 (2024-10-16), Legacy Challenge 32 2024-10-18 (2024-10-18), Legacy Challenge 32 2024-10-19 (2024-10-19), Legacy Challenge 32 2024-10-20 (2024-10-20), Legacy Challenge 64 2024-10-20 (2024-10-20), Legacy Challenge 32 2024-10-23 (2024-10-23), Legacy Challenge 32 2024-10-25 (2024-10-25), Legacy Challenge 32 2024-10-26 (2024-10-26), Legacy Challenge 32 2024-10-27 (2024-10-27), Legacy Challenge 64 2024-10-27 (2024-10-27), Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-11-03 (2024-11-03), AnziD's Eternal Legacy Showdown (2024-11-10), Legacy Challenge 32 2024-11-16 (2024-11-16), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator                  |     12.61% |        181 |      77.87 |  542 |    500 |     0 | 52.02% |                    48.98% |                    55.04% |       52.85% |          52.30% |          52.15% |
| Dimir Tempo                    |     12.06% |        173 |      83.97 |  571 |    488 |     0 | 53.92% |                    50.91% |                    56.90% |       55.02% |          54.44% |          54.02% |
| Red Stompy                     |     11.43% |        164 |      71.98 |  478 |    480 |     0 | 49.90% |                    46.74% |                    53.06% |       51.32% |          49.70% |          50.70% |
| Eldrazi                        |      8.57% |        123 |      65.61 |  381 |    360 |     0 | 51.42% |                    47.82% |                    55.00% |       51.14% |          51.51% |          51.68% |
| Mystic Forge Combo             |      4.74% |         68 |      90.41 |  198 |    182 |     0 | 52.11% |                    47.09% |                    57.08% |       53.69% |          52.22% |          53.40% |
| Nadu Combo                     |      4.25% |         61 |      80.46 |  176 |    169 |     0 | 51.01% |                    45.76% |                    56.25% |       52.71% |          51.06% |          51.50% |
| Red Painter                    |      4.25% |         61 |      64.26 |  196 |    187 |     0 | 51.17% |                    46.18% |                    56.14% |       51.71% |          51.27% |          52.18% |
| Doomsday                       |      3.41% |         49 |      60.84 |  151 |    114 |     0 | 56.98% |                    50.96% |                    62.80% |       58.36% |          57.20% |          56.71% |
| Sneak and Show                 |      2.51% |         36 |      66.56 |  116 |    100 |     0 | 53.70% |                    47.05% |                    60.23% |       49.45% |          53.88% |          49.56% |
| Cephalid Breakfast             |      1.95% |         28 |     102.29 |   68 |     81 |     0 | 45.64% |                    37.85% |                    53.64% |       47.77% |          45.64% |          51.93% |
| Death and Taxes (Yorion)       |      1.95% |         28 |      92.86 |   68 |     84 |     0 | 44.74% |                    37.06% |                    52.67% |       45.12% |          44.67% |          44.05% |
| BR Reanimator                  |      1.67% |         24 |      66.25 |   72 |     70 |     0 | 50.70% |                    42.57% |                    58.80% |       44.91% |          50.71% |          48.12% |
| Oops All Spells                |      1.67% |         24 |      68.75 |   84 |     58 |     0 | 59.15% |                    50.93% |                    66.90% |       52.69% |          59.15% |          53.16% |
| ANT                            |      1.60% |         23 |     104.74 |   60 |     56 |     0 | 51.72% |                    42.72% |                    60.62% |       49.31% |          51.72% |          50.13% |
| Cradle Control                 |      1.39% |         20 |      73.25 |   49 |     62 |     0 | 44.14% |                    35.26% |                    53.42% |       42.40% |          44.14% |          41.09% |
| Jeskai Control                 |      1.39% |         20 |     108.80 |   50 |     55 |     0 | 47.62% |                    38.32% |                    57.09% |       49.39% |          47.57% |          49.11% |
| Beanstalk Control (Non-Yorion) |      1.25% |         18 |     111.89 |   32 |     59 |     0 | 35.16% |                    26.14% |                    45.39% |       41.44% |          34.83% |          41.12% |
| Lands                          |      1.18% |         17 |      56.18 |   58 |     53 |     0 | 52.25% |                    43.04% |                    61.31% |       47.14% |          52.29% |          48.10% |
| Unknown Deck                   |      1.18% |         17 |     186.71 |    5 |     22 |     0 | 18.52% |                     8.18% |                    36.70% |       30.07% |          18.52% |          20.74% |
| Stiflenought                   |      1.11% |         16 |      47.38 |   45 |     51 |     0 | 46.88% |                    37.21% |                    56.78% |       47.48% |          46.88% |          49.37% |
| Golgari Depths                 |      1.05% |         15 |      77.20 |   31 |     49 |     0 | 38.75% |                    28.82% |                    49.71% |       40.97% |          38.75% |          38.58% |
| The EPIC Storm                 |      1.05% |         15 |      34.20 |   35 |     46 |     0 | 43.21% |                    32.97% |                    54.06% |       42.81% |          43.04% |          43.21% |
| Other Tempo                    |      0.98% |         14 |     112.21 |   24 |     38 |     0 | 38.71% |                    27.58% |                    51.15% |       50.02% |          38.71% |          38.23% |
| Elves                          |      0.91% |         13 |      96.85 |   47 |     37 |     0 | 55.95% |                    45.31% |                    66.08% |       55.68% |          55.95% |          56.51% |
| Other Aggro                    |      0.84% |         12 |     123.25 |   17 |     37 |     0 | 31.48% |                    20.68% |                    44.74% |       37.88% |          30.77% |          31.26% |
| Riddlesmith Combo              |      0.77% |         11 |      74.45 |   32 |     24 |     0 | 57.14% |                    44.14% |                    69.23% |       51.25% |          57.14% |          57.14% |
| Ruby Storm                     |      0.77% |         11 |      64.91 |   39 |     31 |     0 | 55.71% |                    44.08% |                    66.75% |       48.14% |          55.88% |          55.71% |
| Mono Black Reanimator          |      0.70% |         10 |      55.60 |   16 |     34 |     0 | 32.00% |                    20.76% |                    45.81% |       32.70% |          32.00% |          32.90% |
| Dredge                         |      0.63% |          9 |      61.22 |   35 |     32 |     0 | 52.24% |                    40.49% |                    63.75% |       50.13% |          52.24% |          48.71% |
| Esper Control                  |      0.63% |          9 |     103.00 |   28 |     26 |     0 | 51.85% |                    38.85% |                    64.61% |       51.09% |          51.85% |          51.85% |
| Mono Green Cloudpost           |      0.63% |          9 |      95.56 |   25 |     27 |     0 | 48.08% |                    35.10% |                    61.31% |       40.98% |          48.08% |          37.82% |
| Omni-Tell                      |      0.63% |          9 |      48.78 |   17 |     37 |     0 | 31.48% |                    20.68% |                    44.74% |       32.76% |          30.77% |          31.97% |
| Stoneblade                     |      0.63% |          9 |      38.56 |   32 |     23 |     0 | 58.18% |                    45.03% |                    70.26% |       51.79% |          58.18% |          54.94% |
| Naya Stompy                    |      0.56% |          8 |      49.88 |   13 |     31 |     0 | 29.55% |                    18.16% |                    44.22% |       31.71% |          29.55% |          33.67% |
| Grixis Control                 |      0.49% |          7 |      81.14 |   16 |     22 |     0 | 42.11% |                    27.85% |                    57.81% |       44.56% |          42.11% |          48.28% |
| Merfolk                        |      0.49% |          7 |     115.43 |   19 |     19 |     0 | 50.00% |                    34.85% |                    65.15% |       41.00% |          50.00% |          41.91% |
| Goblins (Vial)                 |      0.42% |          6 |      96.83 |    5 |     19 |     0 | 20.83% |                     9.24% |                    40.47% |       33.26% |          20.83% |          27.07% |
| Other Graveyard                |      0.42% |          6 |      26.33 |   24 |     17 |     0 | 58.54% |                    43.37% |                    72.24% |       57.01% |          58.54% |          52.93% |
| Beanstalk Control (Yorion)     |      0.35% |          5 |     139.60 |   12 |     11 |     0 | 52.17% |                    32.96% |                    70.76% |       44.85% |          52.17% |          52.90% |
| Dimir Delver                   |      0.35% |          5 |      92.60 |   21 |     13 |     0 | 61.76% |                    45.04% |                    76.10% |       54.24% |          61.76% |          61.76% |
| Other Permanent Combo          |      0.35% |          5 |      94.80 |    8 |     19 |     0 | 29.63% |                    15.85% |                    48.48% |       34.33% |          29.63% |          30.78% |
| The EPIC Gamble                |      0.35% |          5 |      49.40 |   13 |     19 |     0 | 40.62% |                    25.52% |                    57.74% |       40.65% |          40.62% |          41.88% |
| Black Midrange                 |      0.28% |          4 |      32.25 |    9 |     13 |     0 | 40.91% |                    23.26% |                    61.27% |       48.87% |          40.91% |          46.53% |
| Black Phoenix                  |      0.28% |          4 |     122.00 |    3 |     12 |     0 | 20.00% |                     7.05% |                    45.19% |       29.86% |          20.00% |          20.00% |
| Creative Technique             |      0.28% |          4 |      27.00 |   11 |     11 |     0 | 50.00% |                    30.72% |                    69.28% |       43.50% |          50.00% |          50.00% |
| Necrodominance Combo           |      0.28% |          4 |      43.25 |    5 |     12 |     0 | 29.41% |                    13.28% |                    53.13% |       41.75% |          29.41% |          29.90% |
| Other Control                  |      0.28% |          4 |      35.50 |    5 |     15 |     0 | 25.00% |                    11.19% |                    46.87% |       42.16% |          25.00% |          32.05% |
| Other Non Blue                 |      0.28% |          4 |      84.50 |   11 |     14 |     0 | 44.00% |                    26.67% |                    62.93% |       47.62% |          44.00% |          44.00% |
| Selesnya Depths                |      0.28% |          4 |     188.75 |    9 |     12 |     0 | 42.86% |                    24.47% |                    63.45% |       42.52% |          42.86% |          38.75% |
| Black Stompy                   |      0.21% |          3 |      19.33 |    8 |      7 |     0 | 53.33% |                    30.12% |                    75.19% |       49.19% |          53.33% |          51.95% |
| Boros Stompy                   |      0.21% |          3 |     137.33 |   10 |     15 |     0 | 40.00% |                    23.40% |                    59.26% |       40.23% |          40.00% |          44.67% |
| Burn/Red Prowess               |      0.21% |          3 |     156.33 |    7 |     10 |     0 | 41.18% |                    21.61% |                    63.99% |       38.59% |          41.18% |          34.41% |
| Gruul Stompy                   |      0.21% |          3 |      52.67 |    1 |      8 |     0 | 11.11% |                     1.99% |                    43.50% |       40.59% |          11.11% |          16.67% |
| Maverick                       |      0.21% |          3 |      27.67 |    7 |     13 |     0 | 35.00% |                    18.12% |                    56.71% |       42.67% |          35.00% |          42.43% |
| Ninjas                         |      0.21% |          3 |      15.33 |   10 |      8 |     0 | 55.56% |                    33.72% |                    75.44% |       45.35% |          55.56% |          49.17% |
| Standstill                     |      0.21% |          3 |     120.33 |    4 |      7 |     0 | 36.36% |                    15.17% |                    64.62% |       55.26% |          36.36% |          36.36% |
| White Stompy                   |      0.21% |          3 |      76.00 |   11 |     13 |     0 | 45.83% |                    27.89% |                    64.93% |       37.51% |          45.83% |          43.06% |
| Bant Control (Non-Yorion)      |      0.14% |          2 |     187.50 |    5 |      5 |     0 | 50.00% |                    23.66% |                    76.34% |       37.25% |          50.00% |          40.00% |
| Bant Control (Yorion)          |      0.14% |          2 |      24.00 |   13 |      5 |     0 | 72.22% |                    49.13% |                    87.50% |       55.46% |          72.22% |          70.74% |
| Coveted Jewel Combo            |      0.14% |          2 |     162.50 |    6 |      7 |     0 | 46.15% |                    23.21% |                    70.86% |       61.05% |          46.15% |          46.15% |
