Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Buffalo Chicken Dip Legacy 15 (2024-10-19), BLACK - FRI - 12:00 PM - Legacy Cup - MagicCon: Las Vegas (2024-10-25), BLACK -SAT - 1:30 PM - Legacy for Original Magic Artwork (2024-10-26), Bazaar of Boxes 13 (2024-11-09)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator                  |     12.85% |         46 |      49.83 |  134 |    120 |     9 | 52.66% |                    46.62% |                    58.81% |       54.60% |          53.26% |          53.74% |
| Unknown                        |      6.70% |         24 |      68.79 |   32 |     64 |     2 | 33.67% |                    24.71% |                    43.24% |       38.74% |          32.98% |          33.67% |
| Red Stompy                     |      6.42% |         23 |      39.13 |   72 |     60 |     4 | 54.41% |                    46.04% |                    62.79% |       50.83% |          54.69% |          50.79% |
| Cephalid Breakfast             |      5.03% |         18 |      49.50 |   52 |     52 |     4 | 50.00% |                    40.56% |                    59.44% |       46.65% |          50.00% |          46.05% |
| Dimir Tempo                    |      5.03% |         18 |      41.56 |   68 |     49 |     6 | 57.72% |                    49.06% |                    66.66% |       55.08% |          57.98% |          55.17% |
| Red Painter                    |      5.03% |         18 |      33.00 |   67 |     46 |     1 | 59.21% |                    50.07% |                    67.90% |       51.77% |          59.38% |          52.61% |
| Eldrazi                        |      4.19% |         15 |      44.00 |   41 |     42 |     0 | 49.40% |                    38.91% |                    59.94% |       56.54% |          48.65% |          53.34% |
| Jeskai Control                 |      3.91% |         14 |      61.00 |   34 |     39 |     4 | 46.75% |                    35.59% |                    57.90% |       51.00% |          46.67% |          48.22% |
| Nadu Combo                     |      2.79% |         10 |      33.40 |   31 |     27 |     2 | 53.33% |                    40.80% |                    65.67% |       52.42% |          53.45% |          55.09% |
| Stiflenought                   |      2.79% |         10 |      45.40 |   32 |     27 |     4 | 53.97% |                    41.66% |                    66.30% |       52.61% |          53.97% |          51.40% |
| Beseech Storm                  |      2.51% |          9 |      61.56 |   25 |     31 |     0 | 44.64% |                    32.39% |                    57.59% |       47.45% |          44.23% |          45.93% |
| Mystic Forge Combo             |      2.51% |          9 |      35.22 |   34 |     22 |     0 | 60.71% |                    47.63% |                    72.42% |       52.31% |          60.71% |          57.73% |
| Beanstalk Control (Non-Yorion) |      2.23% |          8 |      55.12 |   15 |     20 |     6 | 43.90% |                    27.98% |                    59.14% |       42.22% |          43.59% |          40.84% |
| Cradle Control                 |      2.23% |          8 |      67.75 |   11 |     24 |     0 | 31.43% |                    18.55% |                    47.98% |       44.05% |          31.43% |          42.02% |
| Death and Taxes (Yorion)       |      2.23% |          8 |      69.38 |   14 |     32 |     2 | 31.25% |                    19.08% |                    44.81% |       42.98% |          30.43% |          42.33% |
| Sneak and Show                 |      2.23% |          8 |      62.25 |   22 |     30 |     1 | 42.45% |                    29.87% |                    55.81% |       52.08% |          42.16% |          49.71% |
| Doomsday                       |      1.96% |          7 |      26.71 |   33 |     16 |     0 | 67.35% |                    53.38% |                    78.79% |       56.42% |          68.89% |          61.46% |
| Ninjas                         |      1.96% |          7 |      62.71 |   18 |     22 |     3 | 45.35% |                    30.71% |                    60.17% |       52.68% |          45.35% |          45.28% |
| GenericZoo                     |      1.68% |          6 |      32.33 |   25 |     10 |     3 | 69.74% |                    54.95% |                    83.67% |       62.73% |          69.74% |          69.74% |
| Elves                          |      1.40% |          5 |      47.00 |   21 |     16 |     0 | 56.76% |                    40.91% |                    71.33% |       54.61% |          56.76% |          53.82% |
| Grixis Control                 |      1.40% |          5 |      26.80 |   19 |     13 |     2 | 58.82% |                    42.26% |                    74.48% |       44.13% |          58.82% |          51.88% |
| Grixis Tempo                   |      1.40% |          5 |      46.00 |   11 |     15 |     1 | 42.59% |                    25.54% |                    61.05% |       52.00% |          42.59% |          42.59% |
