Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-13 (2024-10-13), Legacy Challenge 32 2024-10-16 (2024-10-16), Legacy Challenge 32 2024-10-18 (2024-10-18), Buffalo Chicken Dip Legacy 15 (2024-10-19), Legacy Challenge 32 2024-10-19 (2024-10-19), Legacy Challenge 32 2024-10-20 (2024-10-20), Legacy Challenge 64 2024-10-20 (2024-10-20), Legacy Challenge 32 2024-10-23 (2024-10-23), Legacy Challenge 32 2024-10-25 (2024-10-25), BLACK - FRI - 12:00 PM - Legacy Cup - MagicCon: Las Vegas (2024-10-25), Legacy Challenge 32 2024-10-26 (2024-10-26), BLACK -SAT - 1:30 PM - Legacy for Original Magic Artwork (2024-10-26), Legacy Challenge 32 2024-10-27 (2024-10-27), Legacy Challenge 64 2024-10-27 (2024-10-27), Legacy Challenge 32 2024-10-30 (2024-10-30), Legacy Challenge 32 2024-11-01 (2024-11-01), Legacy Challenge 32 2024-11-03 (2024-11-03), Bazaar of Boxes 13 (2024-11-09), AnziD's Eternal Legacy Showdown (2024-11-10), Legacy Challenge 32 2024-11-16 (2024-11-16), Legacy Challenge 32 2024-11-17 - 1 (2024-11-17), Legacy Challenge 32 2024-11-17 - 2 (2024-11-17), Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator                  |     12.66% |        227 |      72.19 |  676 |    620 |     9 | 52.15% |                    49.44% |                    54.87% |       53.20% |          52.49% |          52.47% |
| Dimir Tempo                    |     10.65% |        191 |      79.97 |  639 |    537 |     6 | 54.31% |                    51.48% |                    57.16% |       55.03% |          54.84% |          54.14% |
| Red Stompy                     |     10.43% |        187 |      67.94 |  550 |    540 |     4 | 50.46% |                    47.49% |                    53.42% |       51.22% |          50.36% |          50.71% |
| Eldrazi                        |      7.70% |        138 |      63.26 |  422 |    402 |     0 | 51.21% |                    47.80% |                    54.61% |       52.22% |          51.24% |          51.85% |
| Red Painter                    |      4.41% |         79 |      57.14 |  263 |    233 |     1 | 53.02% |                    48.63% |                    57.38% |       51.72% |          53.23% |          52.28% |
| Mystic Forge Combo             |      4.29% |         77 |      83.96 |  232 |    204 |     0 | 53.21% |                    48.52% |                    57.85% |       53.41% |          53.37% |          53.96% |
| Nadu Combo                     |      3.96% |         71 |      73.83 |  207 |    196 |     2 | 51.36% |                    46.50% |                    56.21% |       52.65% |          51.42% |          52.03% |
| Doomsday                       |      3.12% |         56 |      56.57 |  184 |    130 |     0 | 58.60% |                    53.08% |                    63.91% |       57.97% |          58.94% |          57.45% |
| Cephalid Breakfast             |      2.57% |         46 |      81.63 |  120 |    133 |     4 | 47.47% |                    41.36% |                    53.58% |       47.55% |          47.35% |          49.46% |
| Sneak and Show                 |      2.45% |         44 |      65.77 |  138 |    130 |     1 | 51.49% |                    45.53% |                    57.41% |       49.97% |          51.56% |          49.59% |
