Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-09-01 (2024-09-01)
+--------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                     | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Dimir Tempo              |     14.81% |          8 |      20.00 |   26 |     22 |     0 | 54.17% |                    40.29% |                    67.42% |       55.16% |          55.26% |          52.47% |
| UB Reanimator            |     11.11% |          6 |      20.83 |   23 |     16 |     0 | 58.97% |                    43.42% |                    72.92% |       54.89% |          59.46% |          55.38% |
| Eldrazi                  |      7.41% |          4 |      36.25 |    9 |     13 |     0 | 40.91% |                    23.26% |                    61.27% |       47.13% |          40.91% |          52.95% |
| Elves                    |      7.41% |          4 |      17.50 |   16 |      9 |     0 | 64.00% |                    44.52% |                    79.75% |       60.03% |          64.00% |          63.60% |
| Red Painter              |      7.41% |          4 |      18.50 |   15 |     10 |     0 | 60.00% |                    40.74% |                    76.60% |       57.30% |          60.00% |          52.69% |
| Lands                    |      5.56% |          3 |      30.33 |    7 |      8 |     0 | 46.67% |                    24.81% |                    69.88% |       46.60% |          46.67% |          50.39% |
| BR Reanimator            |      3.70% |          2 |      36.50 |    3 |      5 |     0 | 37.50% |                    13.68% |                    69.43% |       37.65% |          37.50% |          28.02% |
| Gruul Stompy             |      3.70% |          2 |      17.50 |    7 |      5 |     0 | 58.33% |                    31.95% |                    80.67% |       48.52% |          58.33% |          57.08% |
| Chain of Smog Combo      |      1.85% |          1 |      41.00 |    0 |      5 |     0 |  0.00% |                     0.00% |                    43.45% |       37.04% |           0.00% |           0.00% |
| Cradle Control           |      1.85% |          1 |      42.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       46.58% |          33.33% |          23.81% |
| Death and Taxes (Yorion) |      1.85% |          1 |      19.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       45.91% |          66.67% |          43.98% |
| Enchantress              |      1.85% |          1 |      50.00 |    0 |      5 |     0 |  0.00% |                     0.00% |                    43.45% |       30.56% |           0.00% |           0.00% |
| Goblins (Vial)           |      1.85% |          1 |      37.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       33.92% |          40.00% |          13.94% |
| Golgari Depths           |      1.85% |          1 |      17.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       41.27% |          66.67% |          64.14% |
| Infect                   |      1.85% |          1 |      45.00 |    1 |      5 |     0 | 16.67% |                     3.01% |                    56.35% |       37.47% |          16.67% |          28.89% |
| Jeskai Control           |      1.85% |          1 |      54.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       50.19% |           0.00% |          47.78% |
| Maverick                 |      1.85% |          1 |      13.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       50.88% |          66.67% |          54.82% |
| Mono Green Cloudpost     |      1.85% |          1 |      33.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       46.99% |          50.00% |          51.67% |
| Mystic Forge Combo       |      1.85% |          1 |      15.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       52.95% |          66.67% |          57.97% |
| Nadu Combo               |      1.85% |          1 |      26.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       56.11% |          50.00% |          70.47% |
| Ninjas                   |      1.85% |          1 |      53.00 |    0 |      1 |     0 |  0.00% |                     0.00% |                    79.35% |       42.62% |           0.00% |           0.00% |
| Oops All Spells          |      1.85% |          1 |      36.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       51.02% |          33.33% |          64.68% |
| Other Graveyard          |      1.85% |          1 |      10.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       57.84% |          66.67% |          67.18% |
| Other Spell Combo        |      1.85% |          1 |      52.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       38.58% |           0.00% |          27.78% |
| Red Stompy               |      1.85% |          1 |       7.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       54.30% |          71.43% |          46.65% |
| Selesnya Depths          |      1.85% |          1 |      39.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       46.59% |          20.00% |          36.00% |
| Sneak and Show           |      1.85% |          1 |      46.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       52.44% |          33.33% |          63.26% |
| Stiflenought             |      1.85% |          1 |      49.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       44.71% |           0.00% |           6.67% |
| Worldgorger              |      1.85% |          1 |      28.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       42.12% |          50.00% |          55.00% |
+--------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
