Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
European Legacy Masters 2024 (2024-09-07)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator                  |     15.18% |         17 |      42.94 |   66 |     47 |     0 | 58.41% |                    49.19% |                    67.07% |       55.24% |          59.14% |          54.16% |
| Grixis Delver                  |      9.82% |         11 |      53.09 |   33 |     32 |     0 | 50.77% |                    38.92% |                    62.54% |       46.93% |          50.85% |          47.88% |
| Beanstalk Control (Non-Yorion) |      5.36% |          6 |      76.00 |   12 |     19 |     0 | 38.71% |                    23.73% |                    56.18% |       41.06% |          38.71% |          50.27% |
| Cephalid Breakfast             |      5.36% |          6 |      66.83 |   15 |     16 |     0 | 48.39% |                    31.97% |                    65.16% |       50.98% |          48.28% |          49.50% |
| Dimir Tempo                    |      5.36% |          6 |      64.67 |   13 |     20 |     0 | 39.39% |                    24.68% |                    56.32% |       51.73% |          38.71% |          48.53% |
| Red Painter                    |      5.36% |          6 |      51.17 |   18 |     19 |     0 | 48.65% |                    33.45% |                    64.11% |       52.12% |          48.57% |          55.82% |
| Doomsday                       |      4.46% |          5 |      16.00 |   24 |     11 |     0 | 68.57% |                    52.02% |                    81.45% |       58.36% |          69.70% |          59.45% |
| Eldrazi                        |      4.46% |          5 |      29.20 |   23 |     12 |     0 | 65.71% |                    49.15% |                    79.17% |       55.42% |          66.67% |          57.96% |
| Death and Taxes (Yorion)       |      3.57% |          4 |      64.25 |    9 |     11 |     0 | 45.00% |                    25.82% |                    65.79% |       47.92% |          45.00% |          48.90% |
| Elves                          |      3.57% |          4 |      79.50 |    8 |     13 |     0 | 38.10% |                    20.75% |                    59.12% |       45.48% |          38.10% |          39.73% |
| Lands                          |      3.57% |          4 |      61.25 |    8 |     14 |     0 | 36.36% |                    19.73% |                    57.05% |       46.65% |          36.36% |          44.77% |
| 8Cast                          |      2.68% |          3 |      55.33 |    8 |      9 |     0 | 47.06% |                    26.17% |                    69.04% |       53.06% |          47.06% |          46.92% |
| Boros Stompy                   |      2.68% |          3 |      67.00 |    7 |     10 |     0 | 41.18% |                    21.61% |                    63.99% |       38.15% |          41.18% |          40.20% |
| Jeskai Control                 |      2.68% |          3 |      83.00 |    4 |      6 |     0 | 40.00% |                    16.82% |                    68.73% |       47.55% |          40.00% |          43.06% |
| Mono Green Cloudpost           |      2.68% |          3 |      22.33 |   13 |      5 |     0 | 72.22% |                    49.13% |                    87.50% |       52.37% |          72.22% |          60.87% |
| Other Tempo                    |      2.68% |          3 |      37.67 |   11 |      9 |     0 | 55.00% |                    34.21% |                    74.18% |       58.82% |          55.00% |          52.67% |
| Stiflenought                   |      2.68% |          3 |      84.67 |    5 |     11 |     0 | 31.25% |                    14.16% |                    55.60% |       49.47% |          31.25% |          47.54% |
| Bant Control (Non-Yorion)      |      1.79% |          2 |      96.50 |    1 |     10 |     0 |  9.09% |                     1.62% |                    37.74% |       45.09% |           9.09% |          27.27% |
| Black Midrange                 |      1.79% |          2 |      19.00 |    9 |      3 |     0 | 75.00% |                    46.77% |                    91.11% |       50.81% |          75.00% |          64.07% |
| Black Stompy                   |      1.79% |          2 |      62.50 |    6 |      7 |     0 | 46.15% |                    23.21% |                    70.86% |       42.11% |          46.15% |          43.53% |
| Naya Depths                    |      1.79% |          2 |      71.00 |    4 |      6 |     0 | 40.00% |                    16.82% |                    68.73% |       50.54% |          40.00% |          42.00% |
