Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-09-15 (2024-09-15)
+-----------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                  | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+-----------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Dimir Tempo           |     15.38% |          6 |      15.50 |   22 |     16 |     0 | 57.89% |                    42.19% |                    72.15% |       54.56% |          58.82% |          54.19% |
| Eldrazi               |     12.82% |          5 |      18.40 |   15 |     17 |     0 | 46.88% |                    30.87% |                    63.55% |       47.35% |          46.43% |          48.19% |
| UB Reanimator         |      7.69% |          3 |      14.00 |   13 |      8 |     0 | 61.90% |                    40.88% |                    79.25% |       53.01% |          61.90% |          52.09% |
| ANT                   |      5.13% |          2 |      32.50 |    3 |      6 |     0 | 33.33% |                    12.06% |                    64.58% |       43.86% |          33.33% |          41.87% |
| Mystic Forge Combo    |      5.13% |          2 |      21.00 |    6 |      6 |     0 | 50.00% |                    25.38% |                    74.62% |       52.47% |          50.00% |          56.76% |
| Red Painter           |      5.13% |          2 |      29.00 |    4 |      6 |     0 | 40.00% |                    16.82% |                    68.73% |       53.13% |          40.00% |          56.46% |
| Red Stompy            |      5.13% |          2 |      26.00 |    5 |      7 |     0 | 41.67% |                    19.33% |                    68.05% |       53.92% |          41.67% |          54.01% |
| Sneak and Show        |      5.13% |          2 |      18.50 |    6 |      6 |     0 | 50.00% |                    25.38% |                    74.62% |       51.76% |          50.00% |          52.49% |
| BR Reanimator         |      2.56% |          1 |      11.00 |    3 |      2 |     0 | 60.00% |                    23.07% |                    88.24% |       48.23% |          60.00% |          61.21% |
| Bant Control (Yorion) |      2.56% |          1 |      22.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       59.32% |          50.00% |          54.44% |
| Black Midrange        |      2.56% |          1 |      32.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       55.77% |          40.00% |          60.70% |
| Burn/Red Prowess      |      2.56% |          1 |      35.00 |    1 |      5 |     0 | 16.67% |                     3.01% |                    56.35% |       41.63% |          16.67% |          42.08% |
| Cephalid Breakfast    |      2.56% |          1 |       2.00 |    7 |      2 |     0 | 77.78% |                    45.26% |                    93.68% |       52.29% |          77.78% |          55.40% |
| Doomsday              |      2.56% |          1 |       9.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       55.22% |          66.67% |          59.76% |
| Dredge                |      2.56% |          1 |      19.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       48.91% |          50.00% |          55.63% |
| Elves                 |      2.56% |          1 |      18.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       55.03% |          50.00% |          49.93% |
| Grixis Delver         |      2.56% |          1 |       5.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       55.81% |          71.43% |          61.07% |
| Gruul Stompy          |      2.56% |          1 |      39.00 |    1 |      5 |     0 | 16.67% |                     3.01% |                    56.35% |       42.44% |          16.67% |           4.17% |
| Jeskai Control        |      2.56% |          1 |      25.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       45.08% |          50.00% |          47.03% |
| Mono Black Reanimator |      2.56% |          1 |      38.00 |    1 |      5 |     0 | 16.67% |                     3.01% |                    56.35% |       32.26% |          16.67% |          26.39% |
| Naya Stompy           |      2.56% |          1 |       6.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       31.19% |          57.14% |          28.37% |
| Oops All Spells       |      2.56% |          1 |      23.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       53.53% |          50.00% |          61.04% |
| Other Control         |      2.56% |          1 |      15.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       41.56% |          40.00% |          34.67% |
+-----------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
