Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-09-29 (2024-09-29)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator                  |     12.50% |          4 |      15.50 |   11 |      9 |     0 | 55.00% |                    34.21% |                    74.18% |       56.78% |          55.00% |          55.59% |
| Dimir Tempo                    |      9.38% |          3 |      22.67 |    5 |      8 |     0 | 38.46% |                    17.71% |                    64.48% |       52.86% |          38.46% |          51.42% |
| Red Painter                    |      9.38% |          3 |      13.00 |    9 |      9 |     0 | 50.00% |                    29.03% |                    70.97% |       54.01% |          50.00% |          55.38% |
| Red Stompy                     |      9.38% |          3 |      12.67 |    9 |      6 |     0 | 60.00% |                    35.75% |                    80.18% |       52.79% |          60.00% |          50.26% |
| Cephalid Breakfast             |      6.25% |          2 |      18.00 |    3 |      6 |     0 | 33.33% |                    12.06% |                    64.58% |       51.90% |          33.33% |          41.38% |
| Eldrazi                        |      6.25% |          2 |      14.00 |    5 |      5 |     0 | 50.00% |                    23.66% |                    76.34% |       44.04% |          50.00% |          40.92% |
| Other Vial                     |      6.25% |          2 |      10.50 |    8 |      5 |     0 | 61.54% |                    35.52% |                    82.29% |       61.31% |          61.54% |          65.02% |
| Sneak and Show                 |      6.25% |          2 |      10.50 |    7 |      4 |     0 | 63.64% |                    35.38% |                    84.83% |       44.26% |          66.67% |          44.02% |
| Worldgorger                    |      6.25% |          2 |      22.50 |    3 |      4 |     0 | 42.86% |                    15.82% |                    74.95% |       37.07% |          42.86% |          49.74% |
| Beanstalk Control (Non-Yorion) |      3.12% |          1 |      22.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       40.76% |          40.00% |          39.93% |
| Burn/Red Prowess               |      3.12% |          1 |      25.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       41.09% |          20.00% |          11.33% |
| Cradle Control                 |      3.12% |          1 |      32.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       43.46% |           0.00% |          30.95% |
| Elves                          |      3.12% |          1 |      21.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       50.50% |          40.00% |          60.61% |
| Mono Black Reanimator          |      3.12% |          1 |      29.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       28.00% |           0.00% |          16.67% |
| Nadu Combo                     |      3.12% |          1 |       5.00 |    5 |      1 |     0 | 83.33% |                    43.65% |                    96.99% |       56.22% |          83.33% |          51.14% |
| Necrodominance Combo           |      3.12% |          1 |       3.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       46.88% |          71.43% |          63.10% |
| Other Graveyard                |      3.12% |          1 |       7.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       67.15% |          66.67% |          78.31% |
| Other Spell Combo              |      3.12% |          1 |      26.00 |    0 |      4 |     0 |  0.00% |                     0.00% |                    48.99% |       35.94% |           0.00% |           8.33% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
