Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
2024 Asia Legacy Championship (2024-10-12)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator                  |     21.17% |        130 |     269.78 |  557 |    461 |     0 | 54.72% |                    51.65% |                    57.75% |       54.50% |          56.23% |          54.47% |
| Eldrazi                        |      8.47% |         52 |     297.17 |  213 |    182 |     0 | 53.92% |                    48.99% |                    58.78% |       52.14% |          54.25% |          52.54% |
| Dimir Tempo                    |      5.70% |         35 |     265.40 |  150 |    129 |     0 | 53.76% |                    47.90% |                    59.52% |       54.45% |          53.96% |          54.89% |
| Red Stompy                     |      5.70% |         35 |     318.77 |  132 |    120 |     0 | 52.38% |                    46.23% |                    58.47% |       51.17% |          52.52% |          51.80% |
| Red Painter                    |      5.37% |         33 |     318.09 |  123 |    123 |     0 | 50.00% |                    43.80% |                    56.20% |       52.83% |          50.00% |          51.74% |
| Sneak and Show                 |      4.23% |         26 |     311.19 |   94 |    106 |     0 | 47.00% |                    40.20% |                    53.91% |       47.23% |          46.88% |          48.34% |
| Death and Taxes (Yorion)       |      3.09% |         19 |     290.63 |   76 |     66 |     0 | 53.52% |                    45.33% |                    61.52% |       45.33% |          53.52% |          48.11% |
| Nadu Combo                     |      3.09% |         19 |     277.37 |   83 |     57 |     0 | 59.29% |                    51.01% |                    67.07% |       54.06% |          59.42% |          57.85% |
| Jeskai Control                 |      2.93% |         18 |     264.67 |   70 |     75 |     0 | 48.28% |                    40.29% |                    56.35% |       48.22% |          48.15% |          46.87% |
| Grixis Delver                  |      2.61% |         16 |     321.94 |   53 |     74 |     0 | 41.73% |                    33.52% |                    50.43% |       46.19% |          41.60% |          43.82% |
| Black Midrange                 |      2.28% |         14 |     291.07 |   57 |     57 |     0 | 50.00% |                    40.97% |                    59.03% |       48.79% |          50.00% |          48.07% |
| Doomsday                       |      2.12% |         13 |     337.54 |   47 |     45 |     0 | 51.09% |                    41.04% |                    61.05% |       58.85% |          51.16% |          57.45% |
| ANT                            |      1.95% |         12 |     320.17 |   43 |     49 |     0 | 46.74% |                    36.88% |                    56.86% |       48.74% |          46.67% |          47.91% |
| Mono Green Cloudpost           |      1.95% |         12 |     320.08 |   39 |     53 |     0 | 42.39% |                    32.80% |                    52.59% |       44.36% |          42.39% |          44.98% |
| Mystic Forge Combo             |      1.95% |         12 |     222.33 |   61 |     44 |     0 | 58.10% |                    48.54% |                    67.08% |       54.87% |          58.10% |          58.31% |
| Beanstalk Control (Non-Yorion) |      1.79% |         11 |     316.27 |   38 |     44 |     0 | 46.34% |                    35.96% |                    57.06% |       41.11% |          46.34% |          40.10% |
| Cephalid Breakfast             |      1.79% |         11 |     280.45 |   47 |     41 |     0 | 53.41% |                    43.06% |                    63.47% |       47.97% |          53.41% |          49.91% |
| Oops All Spells                |      1.63% |         10 |     335.20 |   35 |     39 |     0 | 47.30% |                    36.34% |                    58.52% |       52.64% |          47.30% |          55.03% |
| Stiflenought                   |      1.47% |          9 |     312.22 |   31 |     39 |     0 | 44.29% |                    33.25% |                    55.92% |       47.93% |          44.29% |          42.51% |
| Merfolk                        |      1.14% |          7 |     426.71 |   17 |     23 |     0 | 42.50% |                    28.51% |                    57.80% |       43.19% |          42.50% |          45.48% |
| Other Permanent Combo          |      1.14% |          7 |     473.00 |   12 |     35 |     0 | 25.53% |                    15.25% |                    39.51% |       32.57% |          25.53% |          23.77% |
| Selesnya Depths                |      1.14% |          7 |     347.86 |   22 |     26 |     0 | 45.83% |                    32.58% |                    59.71% |       42.58% |          45.83% |          45.84% |
| Black Stompy                   |      0.81% |          5 |     388.20 |   15 |     20 |     0 | 42.86% |                    27.98% |                    59.14% |       44.64% |          42.86% |          39.06% |
| Other Graveyard                |      0.81% |          5 |     336.20 |   17 |     19 |     0 | 47.22% |                    31.99% |                    62.99% |       57.93% |          47.22% |          54.62% |
| BR Reanimator                  |      0.65% |          4 |     392.25 |   11 |     15 |     0 | 42.31% |                    25.54% |                    61.05% |       45.35% |          42.31% |          48.16% |
| Cradle Control                 |      0.65% |          4 |     281.50 |   16 |     15 |     0 | 51.61% |                    34.84% |                    68.03% |       45.49% |          51.61% |          48.91% |
| Maverick                       |      0.65% |          4 |     188.50 |   16 |     24 |     0 | 40.00% |                    26.35% |                    55.40% |       42.98% |          40.00% |          38.81% |
| Mono Black Reanimator          |      0.65% |          4 |     264.25 |   14 |     18 |     0 | 43.75% |                    28.17% |                    60.67% |       30.82% |          43.75% |          36.40% |
| Other Stompy                   |      0.65% |          4 |     282.75 |   15 |     19 |     0 | 44.12% |                    28.88% |                    60.55% |       37.70% |          44.12% |          42.75% |
| Thought Lash Combo             |      0.65% |          4 |     467.75 |    7 |     13 |     0 | 35.00% |                    18.12% |                    56.71% |       42.54% |          35.00% |          35.33% |
| Beanstalk Control (Yorion)     |      0.49% |          3 |     424.33 |    7 |     10 |     0 | 41.18% |                    21.61% |                    63.99% |       45.47% |          41.18% |          50.20% |
