Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Buffalo Chicken Dip Legacy 17 (2024-10-12)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator                  |     16.67% |          7 |      22.00 |   21 |     19 |     0 | 52.50% |                    37.50% |                    67.06% |       56.51% |          52.78% |          58.01% |
| Eldrazi                        |     11.90% |          5 |      24.60 |   13 |     17 |     0 | 43.33% |                    27.38% |                    60.80% |       53.68% |          43.48% |          50.65% |
| Red Painter                    |      9.52% |          4 |      18.25 |   13 |      9 |     0 | 59.09% |                    38.73% |                    76.74% |       50.33% |          55.00% |          49.81% |
| Sneak and Show                 |      7.14% |          3 |      34.00 |    3 |     13 |     0 | 18.75% |                     6.59% |                    43.01% |       44.07% |          18.75% |          39.81% |
| Black Stompy                   |      4.76% |          2 |      24.00 |    4 |      7 |     0 | 36.36% |                    15.17% |                    64.62% |       46.19% |          36.36% |          42.05% |
| Cephalid Breakfast             |      4.76% |          2 |       8.50 |    9 |      4 |     0 | 69.23% |                    42.37% |                    87.32% |       53.51% |          75.00% |          54.75% |
| Mystic Forge Combo             |      4.76% |          2 |      14.50 |    8 |      5 |     0 | 61.54% |                    35.52% |                    82.29% |       53.21% |          61.54% |          46.62% |
| 8Cast                          |      2.38% |          1 |      39.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       43.54% |          25.00% |          47.62% |
| Beanstalk Control (Non-Yorion) |      2.38% |          1 |       7.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       42.78% |          66.67% |          46.09% |
| Beseech Storm                  |      2.38% |          1 |      12.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       45.01% |          66.67% |          37.58% |
| Burn/Red Prowess               |      2.38% |          1 |       9.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       48.22% |          66.67% |          65.21% |
| Death and Taxes (Yorion)       |      2.38% |          1 |      29.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       45.98% |          20.00% |          64.13% |
| Dimir Tempo                    |      2.38% |          1 |      16.00 |    3 |      2 |     0 | 60.00% |                    23.07% |                    88.24% |       52.73% |          60.00% |          50.04% |
| Grixis Delver                  |      2.38% |          1 |       5.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       50.30% |          66.67% |          58.76% |
| Infect                         |      2.38% |          1 |      38.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       45.16% |          33.33% |          57.78% |
| Jeskai Control                 |      2.38% |          1 |      32.00 |    2 |      2 |     0 | 50.00% |                    15.00% |                    85.00% |       49.84% |          50.00% |          43.06% |
| Lands                          |      2.38% |          1 |       8.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       44.94% |          66.67% |          40.39% |
| Mono Green Cloudpost           |      2.38% |          1 |       6.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       49.92% |          66.67% |          66.86% |
| Oops All Spells                |      2.38% |          1 |      10.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       51.05% |          66.67% |          50.38% |
| Other Aggro                    |      2.38% |          1 |      26.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       43.51% |          33.33% |          31.31% |
| RUG Cascade                    |      2.38% |          1 |      20.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       51.19% |          50.00% |          51.19% |
| Red Stompy                     |      2.38% |          1 |      23.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       53.29% |          50.00% |          56.00% |
| UR Delver                      |      2.38% |          1 |      35.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       36.90% |          40.00% |          20.00% |
| Unknown Deck                   |      2.38% |          1 |      42.00 |    0 |      1 |     0 |  0.00% |                     0.00% |                    79.35% |       44.44% |           0.00% |          40.00% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
