Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
DMV Legacy League Invitational (2024-10-12)
+--------------------------------+------------+------------+------------+------+--------+-------+---------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |   Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+---------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator                  |     13.64% |          6 |      23.00 |   17 |     18 |     0 |  48.57% |                    32.99% |                    64.43% |       60.61% |          48.00% |          57.89% |
| Eldrazi                        |      6.82% |          3 |      24.00 |    8 |     11 |     0 |  42.11% |                    23.14% |                    63.72% |       58.05% |          41.18% |          48.96% |
| Red Stompy                     |      6.82% |          3 |      15.00 |    9 |      9 |     0 |  50.00% |                    29.03% |                    70.97% |       53.38% |          50.00% |          59.24% |
| Black Midrange                 |      4.55% |          2 |      33.50 |    2 |      7 |     0 |  22.22% |                     6.32% |                    54.74% |       45.79% |          22.22% |          36.00% |
| Cephalid Breakfast             |      4.55% |          2 |      34.00 |    2 |      7 |     0 |  22.22% |                     6.32% |                    54.74% |       38.19% |          25.00% |          31.05% |
| Death and Taxes (Yorion)       |      4.55% |          2 |      33.00 |    2 |      7 |     0 |  22.22% |                     6.32% |                    54.74% |       49.10% |          22.22% |          48.28% |
| Esper Vial                     |      4.55% |          2 |      15.50 |    9 |      5 |     0 |  64.29% |                    38.76% |                    83.66% |       58.14% |          64.29% |          64.29% |
| Red Painter                    |      4.55% |          2 |       3.00 |   12 |      5 |     0 |  70.59% |                    46.87% |                    86.72% |       55.52% |          73.33% |          54.17% |
| Stiflenought                   |      4.55% |          2 |      15.00 |    7 |      4 |     0 |  63.64% |                    35.38% |                    84.83% |       53.38% |          63.64% |          47.78% |
| Abzan Depths                   |      2.27% |          1 |      21.00 |    3 |      3 |     0 |  50.00% |                    18.76% |                    81.24% |       48.84% |          50.00% |          41.67% |
| Bant Control (Non-Yorion)      |      2.27% |          1 |       1.00 |    7 |      0 |     0 | 100.00% |                    64.57% |                   100.00% |       47.67% |         100.00% |          85.71% |
| Beanstalk Control (Non-Yorion) |      2.27% |          1 |       3.00 |    6 |      2 |     0 |  75.00% |                    40.93% |                    92.85% |       46.26% |          75.00% |          55.84% |
| Beanstalk Control (Yorion)     |      2.27% |          1 |      10.00 |    4 |      1 |     0 |  80.00% |                    37.55% |                    96.38% |       57.36% |          80.00% |          76.67% |
| Beseech Storm                  |      2.27% |          1 |      35.00 |    1 |      2 |     0 |  33.33% |                     6.15% |                    79.23% |       48.13% |          33.33% |          33.33% |
| Blue Painter                   |      2.27% |          1 |      18.00 |    4 |      3 |     0 |  57.14% |                    25.05% |                    84.18% |       53.49% |          57.14% |          57.14% |
| Chain of Smog Combo            |      2.27% |          1 |      31.00 |    1 |      5 |     0 |  16.67% |                     3.01% |                    56.35% |       38.37% |          16.67% |          16.67% |
| Colorless Cloudpost            |      2.27% |          1 |      32.00 |    2 |      3 |     0 |  40.00% |                    11.76% |                    76.93% |       44.19% |          40.00% |          40.00% |
| Grixis Delver                  |      2.27% |          1 |       6.00 |    5 |      3 |     0 |  62.50% |                    30.57% |                    86.32% |       50.47% |          62.50% |          59.37% |
| High Tide                      |      2.27% |          1 |      39.00 |    0 |      6 |     0 |   0.00% |                     0.00% |                    39.03% |       32.56% |           0.00% |           0.00% |
| Jeskai Control                 |      2.27% |          1 |       5.00 |    5 |      2 |     0 |  71.43% |                    35.89% |                    91.78% |       48.58% |          71.43% |          51.32% |
| Lands                          |      2.27% |          1 |      13.00 |    4 |      2 |     0 |  66.67% |                    30.00% |                    90.32% |       48.51% |          66.67% |          58.37% |
| Maverick                       |      2.27% |          1 |      36.00 |    1 |      2 |     0 |  33.33% |                     6.15% |                    79.23% |       39.37% |          33.33% |          40.00% |
| Nic Fit                        |      2.27% |          1 |      43.00 |    0 |      3 |     0 |   0.00% |                     0.00% |                    56.15% |       37.21% |           0.00% |           0.00% |
| Other Aggro                    |      2.27% |          1 |      34.00 |    1 |      3 |     0 |  25.00% |                     4.56% |                    69.94% |       37.65% |          25.00% |          37.50% |
| Other Control                  |      2.27% |          1 |       9.00 |    4 |      1 |     0 |  80.00% |                    37.55% |                    96.38% |       45.02% |          80.00% |          58.57% |
| Paradoxical Outcome            |      2.27% |          1 |      16.00 |    3 |      3 |     0 |  50.00% |                    18.76% |                    81.24% |       45.35% |          50.00% |          50.00% |
| Selesnya Depths                |      2.27% |          1 |      42.00 |    1 |      2 |     0 |  33.33% |                     6.15% |                    79.23% |       46.33% |          33.33% |          33.33% |
| Standstill                     |      2.27% |          1 |      29.00 |    2 |      3 |     0 |  40.00% |                    11.76% |                    76.93% |       46.51% |          40.00% |          40.00% |
+--------------------------------+------------+------------+------------+------+--------+-------+---------+---------------------------+---------------------------+--------------+-----------------+-----------------+
