Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-10-16 (2024-10-16)
+---------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+---------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Eldrazi             |     18.42% |          7 |      15.00 |   26 |     21 |     0 | 55.32% |                    41.25% |                    68.59% |       51.37% |          56.10% |          52.15% |
| UB Reanimator       |     18.42% |          7 |      19.57 |   21 |     18 |     0 | 53.85% |                    38.57% |                    68.43% |       55.84% |          54.55% |          54.34% |
| Red Stompy          |      7.89% |          3 |      15.00 |   10 |     10 |     0 | 50.00% |                    29.93% |                    70.07% |       51.01% |          50.00% |          48.78% |
| Stiflenought        |      7.89% |          3 |      20.33 |    7 |      8 |     0 | 46.67% |                    24.81% |                    69.88% |       45.87% |          46.67% |          51.98% |
| Dimir Tempo         |      5.26% |          2 |      21.50 |    5 |      7 |     0 | 41.67% |                    19.33% |                    68.05% |       55.68% |          40.00% |          56.60% |
| Sneak and Show      |      5.26% |          2 |      15.50 |    7 |      5 |     0 | 58.33% |                    31.95% |                    80.67% |       47.00% |          58.33% |          50.11% |
| The EPIC Storm      |      5.26% |          2 |      19.50 |    5 |      4 |     0 | 55.56% |                    26.67% |                    81.12% |       41.92% |          55.56% |          34.01% |
| ANT                 |      2.63% |          1 |      37.00 |    0 |      1 |     0 |  0.00% |                     0.00% |                    79.35% |       46.06% |           0.00% |          31.58% |
| BR Reanimator       |      2.63% |          1 |       3.00 |    6 |      2 |     0 | 75.00% |                    40.93% |                    92.85% |       43.94% |          75.00% |          42.26% |
| Cephalid Breakfast  |      2.63% |          1 |      36.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       46.12% |           0.00% |          51.91% |
| Chain of Smog Combo |      2.63% |          1 |      31.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       38.16% |          33.33% |          33.33% |
| Doomsday            |      2.63% |          1 |      10.00 |    4 |      2 |     0 | 66.67% |                    30.00% |                    90.32% |       56.16% |          66.67% |          61.98% |
| Lands               |      2.63% |          1 |      32.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       44.68% |          33.33% |          48.62% |
| Mystic Forge Combo  |      2.63% |          1 |      28.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       54.22% |          33.33% |          44.20% |
| Nadu Combo          |      2.63% |          1 |      14.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       55.46% |          50.00% |          50.96% |
| Ninjas              |      2.63% |          1 |      17.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       46.48% |          50.00% |          48.06% |
| Oops All Spells     |      2.63% |          1 |       8.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       51.72% |          57.14% |          52.38% |
| Red Painter         |      2.63% |          1 |      35.00 |    0 |      2 |     0 |  0.00% |                     0.00% |                    65.76% |       47.92% |           0.00% |          47.88% |
| Worldgorger         |      2.63% |          1 |      29.00 |    0 |      5 |     0 |  0.00% |                     0.00% |                    43.45% |       35.62% |           0.00% |          25.64% |
+---------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
