Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Buffalo Chicken Dip Legacy 15 (2024-10-19)
+--------------------------------+------------+------------+------------+------+--------+-------+---------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |   Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+---------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Red Stompy                     |     13.64% |          6 |      19.17 |   16 |     14 |     0 |  53.33% |                    36.14% |                    69.77% |       56.06% |          53.33% |          54.60% |
| UB Reanimator                  |     11.36% |          5 |      23.60 |   13 |     14 |     0 |  48.15% |                    30.74% |                    66.01% |       54.40% |          47.83% |          56.81% |
| Eldrazi                        |      9.09% |          4 |      23.75 |   10 |     10 |     0 |  50.00% |                    29.93% |                    70.07% |       52.83% |          46.15% |          49.75% |
| Red Painter                    |      9.09% |          4 |      11.25 |   17 |      8 |     0 |  68.00% |                    48.41% |                    82.79% |       50.24% |          68.00% |          53.27% |
| Cephalid Breakfast             |      6.82% |          3 |      35.67 |    3 |     10 |     0 |  23.08% |                     8.18% |                    50.26% |       43.14% |          18.18% |          39.43% |
| Nadu Combo                     |      6.82% |          3 |      15.00 |   10 |      7 |     0 |  58.82% |                    36.01% |                    78.39% |       54.99% |          58.82% |          52.87% |
| Burn/Red Prowess               |      4.55% |          2 |      28.00 |    4 |      6 |     0 |  40.00% |                    16.82% |                    68.73% |       50.07% |          40.00% |          39.25% |
| Death and Taxes (Yorion)       |      4.55% |          2 |      32.00 |    4 |      7 |     0 |  36.36% |                    15.17% |                    64.62% |       38.92% |          33.33% |          41.20% |
| Lands                          |      4.55% |          2 |      16.50 |    6 |      6 |     0 |  50.00% |                    25.38% |                    74.62% |       51.44% |          50.00% |          51.38% |
| 8Cast                          |      2.27% |          1 |      21.00 |    3 |      3 |     0 |  50.00% |                    18.76% |                    81.24% |       43.83% |          50.00% |          28.97% |
| Beanstalk Control (Non-Yorion) |      2.27% |          1 |      34.00 |    1 |      3 |     0 |  25.00% |                     4.56% |                    69.94% |       43.58% |          25.00% |          40.86% |
| Black Stompy                   |      2.27% |          1 |      32.00 |    2 |      4 |     0 |  33.33% |                     9.68% |                    70.00% |       42.40% |          33.33% |          45.91% |
| Cradle Control                 |      2.27% |          1 |      44.00 |    0 |      2 |     0 |   0.00% |                     0.00% |                    65.76% |       43.95% |           0.00% |          31.25% |
| Dimir Tempo                    |      2.27% |          1 |       1.00 |    7 |      0 |     0 | 100.00% |                    64.57% |                   100.00% |       52.13% |         100.00% |          53.75% |
| Doomsday                       |      2.27% |          1 |      24.00 |    3 |      3 |     0 |  50.00% |                    18.76% |                    81.24% |       59.67% |          50.00% |          67.93% |
| Dredge                         |      2.27% |          1 |      37.00 |    0 |      4 |     0 |   0.00% |                     0.00% |                    48.99% |       49.74% |           0.00% |          18.47% |
| Grixis Control                 |      2.27% |          1 |       8.00 |    4 |      2 |     0 |  66.67% |                    30.00% |                    90.32% |       45.01% |          66.67% |          46.39% |
| Jeskai Control                 |      2.27% |          1 |      35.00 |    1 |      3 |     0 |  25.00% |                     4.56% |                    69.94% |       49.35% |          25.00% |          49.44% |
| Mystic Forge Combo             |      2.27% |          1 |       5.00 |    5 |      1 |     0 |  83.33% |                    43.65% |                    96.99% |       59.71% |          83.33% |          66.78% |
| Other Permanent Combo          |      2.27% |          1 |      43.00 |    0 |      4 |     0 |   0.00% |                     0.00% |                    48.99% |       30.65% |           0.00% |          29.38% |
| Stiflenought                   |      2.27% |          1 |      10.00 |    4 |      2 |     0 |  66.67% |                    30.00% |                    90.32% |       52.76% |          66.67% |          78.15% |
| Unknown Deck                   |      2.27% |          1 |      18.00 |    3 |      3 |     0 |  50.00% |                    18.76% |                    81.24% |       29.02% |          50.00% |          33.33% |
+--------------------------------+------------+------------+------------+------+--------+-------+---------+---------------------------+---------------------------+--------------+-----------------+-----------------+
