Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 64 2024-10-20 (2024-10-20)
+-----------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                        | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+-----------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator               |     13.75% |         11 |      33.00 |   41 |     31 |     0 | 56.94% |                    45.44% |                    67.74% |       51.83% |          58.93% |          51.64% |
| Eldrazi                     |     10.00% |          8 |      47.50 |   17 |     27 |     0 | 38.64% |                    25.72% |                    53.38% |       51.03% |          37.50% |          50.10% |
| Red Stompy                  |      8.75% |          7 |      41.43 |   19 |     16 |     0 | 54.29% |                    38.19% |                    69.53% |       52.23% |          54.29% |          52.47% |
| Dimir Tempo                 |      7.50% |          6 |      33.33 |   21 |     17 |     0 | 55.26% |                    39.71% |                    69.85% |       54.51% |          55.88% |          50.65% |
| Red Painter                 |      7.50% |          6 |      30.00 |   23 |     19 |     0 | 54.76% |                    39.95% |                    68.78% |       53.56% |          55.26% |          53.90% |
| Mystic Forge Combo          |      5.00% |          4 |      35.50 |   15 |      9 |     0 | 62.50% |                    42.71% |                    78.84% |       53.95% |          65.00% |          56.29% |
| Cephalid Breakfast          |      3.75% |          3 |      49.67 |    6 |      6 |     0 | 50.00% |                    25.38% |                    74.62% |       46.02% |          50.00% |          57.96% |
| Doomsday                    |      3.75% |          3 |      64.67 |    3 |      7 |     0 | 30.00% |                    10.78% |                    60.32% |       60.93% |          25.00% |          56.31% |
| Nadu Combo                  |      3.75% |          3 |      42.67 |    8 |      9 |     0 | 47.06% |                    26.17% |                    69.04% |       52.02% |          47.06% |          44.94% |
| Jeskai Control              |      2.50% |          2 |      57.50 |    3 |      7 |     0 | 30.00% |                    10.78% |                    60.32% |       47.99% |          30.00% |          42.41% |
| Lands                       |      2.50% |          2 |      31.50 |    7 |      7 |     0 | 50.00% |                    26.80% |                    73.20% |       44.66% |          50.00% |          38.99% |
| The EPIC Gamble             |      2.50% |          2 |      35.00 |    6 |      7 |     0 | 46.15% |                    23.21% |                    70.86% |       40.12% |          46.15% |          49.62% |
| The EPIC Storm              |      2.50% |          2 |      47.50 |    4 |      5 |     0 | 44.44% |                    18.88% |                    73.33% |       41.95% |          44.44% |          53.52% |
| 4C Uro Control (Non-Yorion) |      1.25% |          1 |      44.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       50.00% |          28.57% |          28.57% |
| ANT                         |      1.25% |          1 |      66.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       49.63% |          25.00% |          47.62% |
| BR Reanimator               |      1.25% |          1 |      12.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       47.23% |          71.43% |          50.34% |
| Beanstalk Control (Yorion)  |      1.25% |          1 |      18.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       43.08% |          57.14% |          50.48% |
| Black Midrange              |      1.25% |          1 |      41.00 |    3 |      4 |     0 | 42.86% |                    15.82% |                    74.95% |       46.01% |          42.86% |          41.33% |
| Death and Taxes (Yorion)    |      1.25% |          1 |      59.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       46.21% |          25.00% |          45.51% |
| Elves                       |      1.25% |          1 |      22.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       56.51% |          57.14% |          58.61% |
| Esper Control               |      1.25% |          1 |      26.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       51.30% |          57.14% |          51.79% |
| Goblins (Vial)              |      1.25% |          1 |      71.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       36.00% |          25.00% |          37.50% |
| Golgari Depths              |      1.25% |          1 |      78.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       37.95% |           0.00% |          24.44% |
| Gruul Stompy                |      1.25% |          1 |      61.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       43.19% |          33.33% |          33.33% |
