Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
BLACK - FRI - 12:00 PM - Legacy Cup - MagicCon: Las Vegas (2024-10-25)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator                  |     13.82% |         17 |      61.53 |   51 |     45 |     7 | 52.91% |                    43.22% |                    62.79% |       55.80% |          53.23% |          52.12% |
| Unknown                        |     11.38% |         14 |      81.14 |   25 |     37 |     2 | 40.62% |                    29.02% |                    52.75% |       38.58% |          40.00% |          36.73% |
| Cephalid Breakfast             |      8.13% |         10 |      51.80 |   35 |     29 |     3 | 54.48% |                    42.57% |                    66.27% |       45.90% |          55.26% |          46.66% |
| Dimir Tempo                    |      8.13% |         10 |      46.00 |   35 |     29 |     5 | 54.35% |                    42.57% |                    66.27% |       55.60% |          54.48% |          54.96% |
| Red Painter                    |      4.88% |          6 |      40.00 |   23 |     14 |     1 | 61.84% |                    46.10% |                    75.94% |       50.46% |          62.50% |          54.49% |
| Red Stompy                     |      4.07% |          5 |      71.40 |   13 |     13 |     1 | 50.00% |                    32.06% |                    67.94% |       50.23% |          50.00% |          52.09% |
| GenericZoo                     |      3.25% |          4 |      38.25 |   17 |      6 |     2 | 72.00% |                    53.53% |                    87.45% |       62.62% |          72.00% |          72.87% |
| Jeskai Control                 |      3.25% |          4 |      55.50 |   13 |     13 |     2 | 50.00% |                    32.06% |                    67.94% |       51.58% |          50.00% |          52.98% |
| Stiflenought                   |      3.25% |          4 |      49.50 |   13 |     11 |     4 | 53.57% |                    35.07% |                    72.11% |       55.08% |          53.57% |          51.65% |
| Beseech Storm                  |      2.44% |          3 |      50.67 |   10 |     11 |     0 | 47.62% |                    28.34% |                    67.63% |       47.31% |          47.37% |          48.05% |
| Death and Taxes (Yorion)       |      2.44% |          3 |     103.67 |    4 |     15 |     2 | 23.81% |                     8.51% |                    43.33% |       44.37% |          23.81% |          42.65% |
| Doomsday                       |      2.44% |          3 |      34.33 |   12 |      7 |     0 | 63.16% |                    41.04% |                    80.85% |       52.61% |          63.16% |          57.23% |
| Eldrazi                        |      2.44% |          3 |      87.00 |    6 |     11 |     0 | 35.29% |                    17.31% |                    58.70% |       57.91% |          35.29% |          54.90% |
| Sneak and Show                 |      2.44% |          3 |      70.00 |    8 |     12 |     0 | 40.00% |                    21.88% |                    61.34% |       50.13% |          40.00% |          45.99% |
| BR Reanimator                  |      1.63% |          2 |     114.00 |    1 |      7 |     0 | 12.50% |                     2.24% |                    47.09% |       49.61% |          12.50% |          33.91% |
| Beanstalk Control (Non-Yorion) |      1.63% |          2 |      36.50 |    6 |      2 |     6 | 64.29% |                    40.93% |                    92.85% |       43.22% |          66.67% |          40.20% |
| Burn/Red Prowess               |      1.63% |          2 |     106.50 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       42.91% |          33.33% |          21.11% |
| Goblins (Vial)                 |      1.63% |          2 |      82.00 |    5 |      9 |     0 | 35.71% |                    16.34% |                    61.24% |       37.06% |          35.71% |          37.27% |
| Grixis Control                 |      1.63% |          2 |      44.00 |    7 |      6 |     1 | 53.57% |                    29.14% |                    76.79% |       44.43% |          53.57% |          54.88% |
| Grixis Tempo                   |      1.63% |          2 |      44.00 |    7 |      5 |     0 | 58.33% |                    31.95% |                    80.67% |       50.68% |          58.33% |          61.11% |
| Mystic Forge Combo             |      1.63% |          2 |      38.00 |    8 |      5 |     0 | 61.54% |                    35.52% |                    82.29% |       48.99% |          61.54% |          47.62% |
| Nadu Combo                     |      1.63% |          2 |      41.50 |    7 |      6 |     1 | 53.57% |                    29.14% |                    76.79% |       52.22% |          53.57% |          69.97% |
| Ninjas                         |      1.63% |          2 |      84.00 |    4 |      7 |     3 | 39.29% |                    15.17% |                    64.62% |       56.71% |          39.29% |          51.19% |
| Selesnya Depths                |      1.63% |          2 |      58.00 |    6 |      7 |     1 | 46.43% |                    23.21% |                    70.86% |       46.02% |          46.43% |          52.50% |
| Stoneblade                     |      1.63% |          2 |      53.00 |    8 |      6 |     3 | 55.88% |                    32.59% |                    78.62% |       56.34% |          55.88% |          57.67% |
| UR Delver                      |      1.63% |          2 |      81.50 |    5 |      7 |     0 | 41.67% |                    19.33% |                    68.05% |       47.56% |          41.67% |          50.00% |
| 8Cast                          |      0.81% |          1 |      39.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       50.08% |          57.14% |          48.64% |
| Black Stompy                   |      0.81% |          1 |      52.00 |    3 |      3 |     1 | 50.00% |                    18.76% |                    81.24% |       45.92% |          50.00% |          46.49% |
| Boros Stompy                   |      0.81% |          1 |      40.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       52.17% |          57.14% |          45.24% |
| Cradle Control                 |      0.81% |          1 |      61.00 |    3 |      4 |     0 | 42.86% |                    15.82% |                    74.95% |       43.98% |          42.86% |          44.64% |
| Death and Taxes (60 Card)      |      0.81% |          1 |     116.00 |    0 |      1 |     0 |  0.00% |                     0.00% |                    79.35% |       53.52% |           0.00% |          66.67% |
| Dredge                         |      0.81% |          1 |      96.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       55.43% |          28.57% |          30.19% |
| Esper Vial                     |      0.81% |          1 |      79.00 |    2 |      4 |     1 | 35.71% |                     9.68% |                    70.00% |       64.91% |          35.71% |          45.24% |
| High Tide                      |      0.81% |          1 |     101.00 |    1 |      5 |     1 | 21.43% |                     3.01% |                    56.35% |       33.33% |          21.43% |          21.43% |
| Jeskai Miracles                |      0.81% |          1 |      24.00 |    4 |      2 |     1 | 64.29% |                    30.00% |                    90.32% |       63.14% |          64.29% |          54.76% |
| Omni-Tell                      |      0.81% |          1 |      85.00 |    2 |      2 |     0 | 50.00% |                    15.00% |                    85.00% |       40.01% |          50.00% |          49.68% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
