Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
BLACK -SAT - 1:30 PM - Legacy for Original Magic Artwork (2024-10-26)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator                  |     15.07% |         11 |      37.00 |   30 |     25 |     2 | 54.39% |                    41.52% |                    66.97% |       55.15% |          54.90% |          55.64% |
| Unknown                        |     13.70% |         10 |      51.50 |    7 |     27 |     0 | 20.59% |                    10.35% |                    36.80% |       34.73% |          20.59% |          27.92% |
| Red Stompy                     |      8.22% |          6 |      23.33 |   22 |     15 |     3 | 58.75% |                    43.49% |                    73.65% |       47.42% |          59.72% |          51.86% |
| Red Painter                    |      6.85% |          5 |      28.00 |   17 |     15 |     0 | 53.12% |                    36.45% |                    69.13% |       53.34% |          53.12% |          52.11% |
| Beanstalk Control (Non-Yorion) |      4.11% |          3 |      57.33 |    3 |      7 |     0 | 30.00% |                    10.78% |                    60.32% |       44.33% |          30.00% |          52.63% |
| Cephalid Breakfast             |      4.11% |          3 |      27.33 |   11 |      6 |     1 | 63.89% |                    41.30% |                    82.69% |       48.51% |          63.89% |          48.16% |
| Cradle Control                 |      4.11% |          3 |      64.67 |    2 |      7 |     0 | 22.22% |                     6.32% |                    54.74% |       45.22% |          22.22% |          35.25% |
| Eldrazi                        |      4.11% |          3 |      46.33 |    5 |      8 |     0 | 38.46% |                    17.71% |                    64.48% |       57.36% |          38.46% |          52.14% |
| Grixis Tempo                   |      4.11% |          3 |      47.33 |    4 |     10 |     1 | 30.00% |                    11.72% |                    54.65% |       51.14% |          30.00% |          27.78% |
| Jeskai Control                 |      4.11% |          3 |      28.67 |    9 |      9 |     2 | 50.00% |                    29.03% |                    70.97% |       50.14% |          50.00% |          48.81% |
| Nadu Combo                     |      4.11% |          3 |      40.33 |    7 |      7 |     1 | 50.00% |                    26.80% |                    73.20% |       45.23% |          50.00% |          54.18% |
| Dimir Tempo                    |      2.74% |          2 |      16.00 |    9 |      5 |     1 | 63.33% |                    38.76% |                    83.66% |       54.90% |          63.33% |          53.21% |
| Esper Vial                     |      2.74% |          2 |      57.00 |    3 |      4 |     0 | 42.86% |                    15.82% |                    74.95% |       63.01% |          42.86% |          57.14% |
| GenericZoo                     |      2.74% |          2 |      20.50 |    8 |      4 |     1 | 65.38% |                    39.06% |                    86.19% |       68.72% |          65.38% |          63.72% |
| Sneak and Show                 |      2.74% |          2 |      25.00 |    7 |      5 |     1 | 57.69% |                    31.95% |                    80.67% |       53.63% |          57.69% |          53.58% |
| Beanstalk Control (Yorion)     |      1.37% |          1 |      14.00 |    4 |      2 |     1 | 64.29% |                    30.00% |                    90.32% |       59.73% |          64.29% |          71.43% |
| Beseech Storm                  |      1.37% |          1 |      31.00 |    3 |      4 |     0 | 42.86% |                    15.82% |                    74.95% |       48.69% |          42.86% |          52.96% |
| Death and Taxes (Yorion)       |      1.37% |          1 |      36.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       45.30% |          33.33% |          44.98% |
| Elves                          |      1.37% |          1 |       1.00 |    9 |      1 |     0 | 90.00% |                    59.58% |                    98.21% |       56.94% |          90.00% |          58.66% |
| Grixis Control                 |      1.37% |          1 |      26.00 |    3 |      3 |     1 | 50.00% |                    18.76% |                    81.24% |       42.43% |          50.00% |          33.57% |
| Jeskai Miracles                |      1.37% |          1 |      28.00 |    3 |      3 |     1 | 50.00% |                    18.76% |                    81.24% |       67.12% |          50.00% |          59.52% |
| Lands                          |      1.37% |          1 |      30.00 |    3 |      2 |     0 | 60.00% |                    23.07% |                    88.24% |       49.81% |          60.00% |          55.04% |
| Mystic Forge Combo             |      1.37% |          1 |      18.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       45.82% |          57.14% |          46.65% |
| Ninjas                         |      1.37% |          1 |      45.00 |    2 |      2 |     0 | 50.00% |                    15.00% |                    85.00% |       58.80% |          50.00% |          58.33% |
| RUG Cascade                    |      1.37% |          1 |      10.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       58.41% |          71.43% |          69.39% |
| Stiflenought                   |      1.37% |          1 |      54.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       54.34% |           0.00% |          38.57% |
| Stoneblade                     |      1.37% |          1 |      33.00 |    3 |      2 |     0 | 60.00% |                    23.07% |                    88.24% |       54.70% |          60.00% |          65.98% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
