Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Bazaar of Boxes 13 (2024-11-09)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| UB Reanimator                  |     11.02% |         13 |      55.46 |   40 |     36 |     0 | 52.63% |                    41.55% |                    63.46% |       53.09% |          53.97% |          53.43% |
| Jeskai Control                 |      5.08% |          6 |      85.17 |   11 |     14 |     0 | 44.00% |                    26.67% |                    62.93% |       51.53% |          44.00% |          42.23% |
| Red Stompy                     |      5.08% |          6 |      48.00 |   21 |     18 |     0 | 53.85% |                    38.57% |                    68.43% |       51.61% |          54.29% |          45.84% |
| Beseech Storm                  |      4.24% |          5 |      74.20 |   12 |     16 |     0 | 42.86% |                    26.51% |                    60.93% |       45.69% |          42.31% |          42.59% |
| Dimir Tempo                    |      4.24% |          5 |      51.00 |   17 |     15 |     0 | 53.12% |                    36.45% |                    69.13% |       55.77% |          53.33% |          56.85% |
| Eldrazi                        |      4.24% |          5 |      33.00 |   20 |     13 |     0 | 60.61% |                    43.68% |                    75.32% |       55.99% |          61.29% |          55.19% |
| Mystic Forge Combo             |      4.24% |          5 |      43.60 |   17 |     13 |     0 | 56.67% |                    39.20% |                    72.62% |       57.04% |          56.67% |          62.88% |
| Elves                          |      3.39% |          4 |      58.50 |   12 |     15 |     0 | 44.44% |                    27.59% |                    62.69% |       56.14% |          44.44% |          52.03% |
| Mono Green Cloudpost           |      3.39% |          4 |      74.75 |   11 |     15 |     0 | 42.31% |                    25.54% |                    61.05% |       52.64% |          42.31% |          54.03% |
| Ninjas                         |      3.39% |          4 |      56.50 |   12 |     13 |     0 | 48.00% |                    30.03% |                    66.50% |       44.09% |          48.00% |          39.89% |
| Stiflenought                   |      3.39% |          4 |      48.00 |   15 |     11 |     0 | 57.69% |                    38.95% |                    74.46% |       48.91% |          57.69% |          46.43% |
| Cradle Control                 |      2.54% |          3 |      81.00 |    6 |     11 |     0 | 35.29% |                    17.31% |                    58.70% |       43.45% |          35.29% |          45.78% |
| Doomsday                       |      2.54% |          3 |      20.00 |   18 |      6 |     0 | 75.00% |                    55.10% |                    88.00% |       61.92% |          80.00% |          63.20% |
| Merfolk                        |      2.54% |          3 |      64.33 |    8 |     11 |     0 | 42.11% |                    23.14% |                    63.72% |       49.12% |          42.11% |          52.02% |
| Red Painter                    |      2.54% |          3 |      56.33 |   10 |      9 |     0 | 52.63% |                    31.71% |                    72.67% |       52.74% |          52.63% |          48.81% |
| Selesnya Depths                |      2.54% |          3 |      68.67 |    7 |      8 |     0 | 46.67% |                    24.81% |                    69.88% |       42.01% |          46.67% |          38.14% |
| Sneak and Show                 |      2.54% |          3 |      79.33 |    7 |     13 |     0 | 35.00% |                    18.12% |                    56.71% |       53.31% |          33.33% |          50.92% |
| Beanstalk Control (Non-Yorion) |      1.69% |          2 |      81.00 |    5 |      8 |     0 | 38.46% |                    17.71% |                    64.48% |       39.37% |          38.46% |          32.46% |
| Boros Stompy                   |      1.69% |          2 |      37.50 |    7 |      3 |     0 | 70.00% |                    39.68% |                    89.22% |       51.16% |          70.00% |          58.33% |
| Cephalid Breakfast             |      1.69% |          2 |      92.00 |    3 |      7 |     0 | 30.00% |                    10.78% |                    60.32% |       47.60% |          30.00% |          46.73% |
| Death and Taxes (60 Card)      |      1.69% |          2 |      61.00 |    5 |      4 |     0 | 55.56% |                    26.67% |                    81.12% |       48.87% |          55.56% |          48.15% |
| Death and Taxes (Yorion)       |      1.69% |          2 |      72.00 |    4 |      6 |     0 | 40.00% |                    16.82% |                    68.73% |       41.61% |          40.00% |          41.30% |
| Dredge                         |      1.69% |          2 |      39.50 |    7 |      5 |     0 | 58.33% |                    31.95% |                    80.67% |       50.53% |          60.00% |          63.73% |
| Lands                          |      1.69% |          2 |      73.00 |    5 |      6 |     0 | 45.45% |                    21.27% |                    71.99% |       49.20% |          45.45% |          45.34% |
| Nadu Combo                     |      1.69% |          2 |      42.50 |    7 |      7 |     0 | 50.00% |                    26.80% |                    73.20% |       56.10% |          50.00% |          43.87% |
| Omni-Tell                      |      1.69% |          2 |      66.00 |    6 |      8 |     0 | 42.86% |                    21.38% |                    67.41% |       38.14% |          42.86% |          37.05% |
| Thought Lash Combo             |      1.69% |          2 |      66.50 |    6 |      8 |     0 | 42.86% |                    21.38% |                    67.41% |       41.84% |          41.67% |          45.00% |
| 8Cast                          |      0.85% |          1 |      15.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       50.32% |          71.43% |          59.52% |
| BUG Control                    |      0.85% |          1 |     113.00 |    1 |      6 |     0 | 14.29% |                     2.57% |                    51.31% |       43.36% |          14.29% |          21.43% |
| Beanstalk Control (Yorion)     |      0.85% |          1 |      59.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       47.54% |          50.00% |          53.33% |
| Black Stompy                   |      0.85% |          1 |      92.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       46.79% |          33.33% |          46.46% |
| Coveted Jewel Combo            |      0.85% |          1 |       5.00 |    6 |      2 |     0 | 75.00% |                    40.93% |                    92.85% |       57.63% |          75.00% |          75.00% |
| Enchantress                    |      0.85% |          1 |      82.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       41.53% |          33.33% |          33.33% |
| Goblins (Vial)                 |      0.85% |          1 |      40.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       37.85% |          57.14% |          48.92% |
| Golgari Depths                 |      0.85% |          1 |      97.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       37.51% |          40.00% |          43.39% |
| Grixis Control                 |      0.85% |          1 |      12.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       44.55% |          71.43% |          68.88% |
| Grixis Delver                  |      0.85% |          1 |     105.00 |    1 |      4 |     0 | 20.00% |                     3.62% |                    62.45% |       50.85% |          20.00% |          53.08% |
| Maverick                       |      0.85% |          1 |      22.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       46.53% |          71.43% |          64.29% |
| Mono Black Reanimator          |      0.85% |          1 |     102.00 |    0 |      5 |     0 |  0.00% |                     0.00% |                    43.45% |       34.94% |           0.00% |          21.67% |
| Oops All Spells                |      0.85% |          1 |      81.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       54.53% |          40.00% |          64.44% |
| Other Permanent Combo          |      0.85% |          1 |      96.00 |    2 |      5 |     0 | 28.57% |                     8.22% |                    64.11% |       34.33% |          28.57% |          31.08% |
| Other Tempo                    |      0.85% |          1 |       3.00 |    7 |      1 |     0 | 87.50% |                    52.91% |                    97.76% |       53.18% |          87.50% |          75.92% |
| Stoneblade                     |      0.85% |          1 |     104.00 |    1 |      2 |     0 | 33.33% |                     6.15% |                    79.23% |       49.81% |          33.33% |          41.67% |
| The EPIC Gamble                |      0.85% |          1 |      79.00 |    2 |      3 |     0 | 40.00% |                    11.76% |                    76.93% |       44.53% |          40.00% |          32.00% |
| Worldgorger                    |      0.85% |          1 |      16.00 |    4 |      3 |     0 | 57.14% |                    25.05% |                    84.18% |       44.65% |          66.67% |          42.86% |
| Yorion Zenith                  |      0.85% |          1 |      47.00 |    3 |      2 |     0 | 60.00% |                    23.07% |                    88.24% |       52.26% |          60.00% |          66.67% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
