Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
AnziD's Eternal Legacy Showdown (2024-11-10)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Dimir Tempo                    |     13.69% |         33 |     109.76 |  119 |    106 |     0 | 52.89% |                    46.37% |                    59.31% |       54.53% |          53.17% |          52.58% |
| UB Reanimator                  |     12.45% |         30 |     112.90 |  102 |     90 |     0 | 53.12% |                    46.07% |                    60.05% |       52.01% |          53.53% |          51.47% |
| Red Stompy                     |      9.13% |         22 |     106.95 |   77 |     77 |     0 | 50.00% |                    42.20% |                    57.80% |       51.23% |          50.00% |          49.26% |
| Mystic Forge Combo             |      7.88% |         19 |     132.42 |   50 |     50 |     0 | 50.00% |                    40.38% |                    59.62% |       51.45% |          50.00% |          52.00% |
| Eldrazi                        |      6.64% |         16 |     135.81 |   42 |     54 |     0 | 43.75% |                    34.26% |                    53.72% |       52.60% |          43.75% |          52.06% |
| Nadu Combo                     |      6.22% |         15 |     135.27 |   40 |     44 |     0 | 47.62% |                    37.28% |                    58.17% |       53.46% |          47.50% |          53.36% |
| Sneak and Show                 |      4.56% |         11 |     114.73 |   36 |     29 |     0 | 55.38% |                    43.34% |                    66.83% |       47.34% |          55.74% |          52.58% |
| Red Painter                    |      4.15% |         10 |     111.90 |   37 |     28 |     0 | 56.92% |                    44.83% |                    68.24% |       51.87% |          57.89% |          53.35% |
| Unknown Deck                   |      3.73% |          9 |     195.33 |    5 |     12 |     0 | 29.41% |                    13.28% |                    53.13% |       33.61% |          29.41% |          28.82% |
