Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Challenge 32 2024-11-17 - 2 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Red Stompy                     |     18.00% |          9 |      25.11 |   26 |     21 |     0 | 55.32% |                    41.25% |                    68.59% |       51.82% |          52.63% |          53.77% |
| Dimir Tempo                    |     12.00% |          6 |      34.83 |   11 |     16 |     0 | 40.74% |                    24.51% |                    59.27% |       52.95% |          40.00% |          55.02% |
| Doomsday                       |      6.00% |          3 |      20.00 |   11 |      8 |     0 | 57.89% |                    36.28% |                    76.86% |       55.50% |          57.89% |          62.37% |
| Eldrazi                        |      6.00% |          3 |      11.67 |   15 |      6 |     0 | 71.43% |                    50.04% |                    86.19% |       49.59% |          76.47% |          55.84% |
| Mystic Forge Combo             |      6.00% |          3 |      24.67 |    9 |      9 |     0 | 50.00% |                    29.03% |                    70.97% |       52.67% |          50.00% |          48.44% |
| UB Reanimator                  |      6.00% |          3 |      14.67 |   11 |      9 |     0 | 55.00% |                    34.21% |                    74.18% |       54.60% |          55.00% |          53.81% |
| Beanstalk Control (Non-Yorion) |      4.00% |          2 |      22.50 |    6 |      6 |     0 | 50.00% |                    25.38% |                    74.62% |       42.04% |          50.00% |          38.11% |
| Cradle Control                 |      4.00% |          2 |      29.00 |    4 |      5 |     0 | 44.44% |                    18.88% |                    73.33% |       41.64% |          44.44% |          46.03% |
| Elves                          |      4.00% |          2 |      28.00 |    5 |      5 |     0 | 50.00% |                    23.66% |                    76.34% |       57.85% |          50.00% |          57.58% |
| Nadu Combo                     |      4.00% |          2 |      12.00 |    8 |      6 |     0 | 57.14% |                    32.59% |                    78.62% |       49.51% |          57.14% |          45.77% |
| Oops All Spells                |      4.00% |          2 |      17.00 |    8 |      5 |     0 | 61.54% |                    35.52% |                    82.29% |       52.01% |          61.54% |          50.73% |
| Other Aggro                    |      4.00% |          2 |      23.00 |    6 |      6 |     0 | 50.00% |                    25.38% |                    74.62% |       37.96% |          50.00% |          38.06% |
| Red Painter                    |      4.00% |          2 |      42.50 |    1 |     10 |     0 |  9.09% |                     1.62% |                    37.74% |       50.40% |           9.09% |          41.56% |
| BR Reanimator                  |      2.00% |          1 |      36.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       42.91% |          50.00% |          39.60% |
| Cephalid Breakfast             |      2.00% |          1 |      26.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       48.44% |          50.00% |          52.79% |
| Golgari Depths                 |      2.00% |          1 |      23.00 |    3 |      3 |     0 | 50.00% |                    18.76% |                    81.24% |       45.17% |          50.00% |          46.59% |
| Jeskai Control                 |      2.00% |          1 |       8.00 |    5 |      2 |     0 | 71.43% |                    35.89% |                    91.78% |       48.61% |          71.43% |          41.40% |
| Lands                          |      2.00% |          1 |      40.00 |    1 |      3 |     0 | 25.00% |                     4.56% |                    69.94% |       45.70% |          25.00% |          54.76% |
| Other Permanent Combo          |      2.00% |          1 |      50.00 |    0 |      3 |     0 |  0.00% |                     0.00% |                    56.15% |       36.01% |           0.00% |          22.22% |
| Sneak and Show                 |      2.00% |          1 |      35.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       51.59% |          33.33% |          39.96% |
| Standstill                     |      2.00% |          1 |      32.00 |    2 |      2 |     0 | 50.00% |                    15.00% |                    85.00% |       61.00% |          50.00% |          50.00% |
| The EPIC Gamble                |      2.00% |          1 |      29.00 |    2 |      4 |     0 | 33.33% |                     9.68% |                    70.00% |       38.60% |          33.33% |          37.50% |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
