Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
Legacy Showcase Challenge 2024-11-17 (2024-11-17)
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                           | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+--------------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Dimir Tempo                    |     16.52% |         58 |     155.67 |  192 |    167 |     0 | 53.48% |                    48.31% |                    58.58% |       54.87% |          54.24% |          54.19% |
| UB Reanimator                  |     12.25% |         43 |     190.23 |  116 |    111 |     0 | 51.10% |                    44.63% |                    57.53% |       51.92% |          51.23% |          50.85% |
| Red Stompy                     |     10.54% |         37 |     186.05 |  101 |    117 |     0 | 46.33% |                    39.83% |                    52.96% |       50.92% |          45.70% |          50.79% |
| Eldrazi                        |      7.69% |         27 |     140.30 |  106 |     86 |     0 | 55.21% |                    48.14% |                    62.07% |       50.55% |          55.49% |          51.99% |
| Mystic Forge Combo             |      4.84% |         17 |     165.41 |   55 |     45 |     0 | 55.00% |                    45.24% |                    64.39% |       51.80% |          55.10% |          51.13% |
| Red Painter                    |      3.99% |         14 |     130.57 |   53 |     44 |     0 | 54.64% |                    44.74% |                    64.18% |       51.47% |          55.06% |          51.70% |
| Nadu Combo                     |      3.13% |         11 |     181.27 |   29 |     32 |     0 | 47.54% |                    35.53% |                    59.84% |       53.10% |          47.46% |          51.83% |
| Doomsday                       |      2.85% |         10 |     155.10 |   37 |     21 |     0 | 63.79% |                    50.93% |                    74.95% |       56.54% |          63.79% |          54.88% |
| Cephalid Breakfast             |      2.28% |          8 |     248.00 |    9 |     21 |     0 | 30.00% |                    16.66% |                    47.88% |       47.96% |          30.00% |          43.73% |
| Jeskai Control                 |      2.28% |          8 |     216.25 |   15 |     24 |     0 | 38.46% |                    24.89% |                    54.10% |       47.71% |          38.46% |          46.58% |
| Death and Taxes (Yorion)       |      1.99% |          7 |     200.43 |   17 |     20 |     0 | 45.95% |                    31.04% |                    61.62% |       45.59% |          45.95% |          47.29% |
| ANT                            |      1.71% |          6 |     259.17 |    6 |     11 |     0 | 35.29% |                    17.31% |                    58.70% |       47.95% |          35.29% |          47.01% |
| Beanstalk Control (Non-Yorion) |      1.71% |          6 |     230.33 |    8 |     21 |     0 | 27.59% |                    14.70% |                    45.72% |       41.07% |          27.59% |          35.90% |
| Lands                          |      1.71% |          6 |     107.83 |   26 |     23 |     0 | 53.06% |                    39.38% |                    66.30% |       48.54% |          53.06% |          46.20% |
| Oops All Spells                |      1.71% |          6 |     156.33 |   20 |     13 |     0 | 60.61% |                    43.68% |                    75.32% |       51.88% |          60.61% |          54.74% |
| Sneak and Show                 |      1.71% |          6 |     101.83 |   30 |     18 |     0 | 62.50% |                    48.36% |                    74.78% |       48.99% |          62.50% |          49.35% |
| Elves                          |      1.42% |          5 |     223.20 |   10 |     17 |     0 | 37.04% |                    21.53% |                    55.77% |       54.61% |          37.04% |          56.80% |
| Other Aggro                    |      1.42% |          5 |     254.20 |    4 |     11 |     0 | 26.67% |                    10.90% |                    51.95% |       36.63% |          26.67% |          29.43% |
| BR Reanimator                  |      1.14% |          4 |     249.75 |    5 |      8 |     0 | 38.46% |                    17.71% |                    64.48% |       44.98% |          38.46% |          45.25% |
| Ruby Storm                     |      1.14% |          4 |      88.50 |   21 |     15 |     0 | 58.33% |                    42.20% |                    72.86% |       47.80% |          58.82% |          59.74% |
| Unknown Deck                   |      1.14% |          4 |     308.75 |    0 |      4 |     0 |  0.00% |                     0.00% |                    48.99% |       30.59% |           0.00% |           4.17% |
| Dimir Delver                   |      0.85% |          3 |     143.00 |   11 |      7 |     0 | 61.11% |                    38.62% |                    79.69% |       54.51% |          61.11% |          62.04% |
| Dredge                         |      0.85% |          3 |     131.67 |   11 |     13 |     0 | 45.83% |                    27.89% |                    64.93% |       51.64% |          45.83% |          48.83% |
| Esper Control                  |      0.85% |          3 |     137.33 |   12 |     10 |     0 | 54.55% |                    34.66% |                    73.08% |       52.10% |          54.55% |          65.91% |
| Golgari Depths                 |      0.85% |          3 |     256.00 |    4 |     11 |     0 | 26.67% |                    10.90% |                    51.95% |       40.70% |          26.67% |          24.45% |
| Merfolk                        |      0.85% |          3 |     230.33 |    5 |      9 |     0 | 35.71% |                    16.34% |                    61.24% |       40.47% |          35.71% |          35.42% |
| Other Tempo                    |      0.85% |          3 |     234.67 |    5 |      9 |     0 | 35.71% |                    16.34% |                    61.24% |       49.18% |          35.71% |          42.15% |
| Stiflenought                   |      0.85% |          3 |     107.67 |   14 |     13 |     0 | 51.85% |                    33.99% |                    69.26% |       45.69% |          51.85% |          43.43% |
