Card	# of Decks	% of Decks	Record With	Win % With	# of Copies (Main)	# of Copies (Side)
Force of Will	48	0.585366	138-132-16	0.510490	192	0
Island	48	0.585366	139-133-16	0.510417	73	0
Consign to Memory	47	0.573171	134-128-16	0.510791	7	100
Force of Negation	47	0.573171	133-131-15	0.503584	32	59
Brainstorm	43	0.524390	121-118-15	0.505906	172	0
Ponder	42	0.512195	120-115-15	0.510000	165	0
Wasteland	38	0.463415	109-105-12	0.508850	135	1
Faerie Macabre	36	0.439024	113-104-6	0.520179	0	75
Flooded Strand	36	0.439024	103-97-14	0.514019	82	0
Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar	35	0.426829	96-100-10	0.490291	126	0
Thoughtseize	32	0.390244	96-93-8	0.507614	111	6
Polluted Delta	31	0.378049	92-85-12	0.518519	108	0
Misty Rainforest	30	0.365854	91-82-8	0.524862	73	0
Pithing Needle	30	0.365854	87-84-8	0.508380	17	16
Daze	29	0.353659	82-78-9	0.511834	91	0
Brazen Borrower // Petty Theft	27	0.329268	79-74-9	0.515432	47	9
Murktide Regent	27	0.329268	73-73-9	0.500000	66	2
Urza's Saga	27	0.329268	78-75-7	0.509375	104	0
Swords to Plowshares	26	0.317073	70-76-7	0.480392	89	13
Ancient Tomb	25	0.304878	72-71-4	0.503401	85	0
Barrowgoyf	25	0.304878	74-67-9	0.523333	9	56
Underground Sea	25	0.304878	70-71-8	0.496644	77	0
Disruptor Flute	24	0.292683	67-70-2	0.489209	6	55
Hydroblast	24	0.292683	71-65-9	0.520690	0	34
Swamp	24	0.292683	71-68-7	0.510274	26	0
Karakas	23	0.280488	68-67-5	0.503571	28	0
Lotus Petal	23	0.280488	68-66-2	0.507353	75	0
Scalding Tarn	22	0.268293	67-58-10	0.533333	38	0
Undercity Sewers	21	0.256098	63-58-6	0.519685	34	0
Plains	20	0.243902	50-61-6	0.452991	29	0
Null Rod	19	0.231707	54-53-7	0.504386	0	25
Prismatic Ending	19	0.231707	51-56-5	0.477679	15	19
Reanimate	19	0.231707	58-54-5	0.517094	64	2
Fatal Push	18	0.219512	57-49-6	0.535714	10	40
Pyroblast	18	0.219512	43-53-6	0.450980	16	30
Dismember	17	0.207317	60-49-3	0.549107	0	34
Force of Vigor	17	0.207317	53-50-2	0.514286	0	43
Surgical Extraction	17	0.207317	45-49-7	0.480198	5	28
Verdant Catacombs	17	0.207317	54-46-5	0.538095	28	0
Grafdigger's Cage	16	0.195122	38-43-5	0.470930	3	14
Orcish Bowmasters	16	0.195122	55-45-7	0.546729	39	6
Soul-Guide Lantern	16	0.195122	43-46-2	0.483516	15	3
Tormod's Crypt	16	0.195122	51-45-2	0.530612	6	17
Tundra	16	0.195122	42-44-6	0.489130	34	0
Atraxa, Grand Unifier	15	0.182927	44-41-4	0.516854	15	0
Engineered Explosives	15	0.182927	48-40-4	0.543478	0	18
Entomb	15	0.182927	44-41-4	0.516854	60	0
Forest	15	0.182927	46-43-2	0.516484	20	0
Lavaspur Boots	15	0.182927	37-44-3	0.458333	15	0
Animate Dead	14	0.170732	37-41-2	0.475000	18	0
Archon of Cruelty	14	0.170732	44-38-4	0.534884	15	0
Bloodstained Mire	14	0.170732	31-42-2	0.426667	20	0
Ensnaring Bridge	14	0.170732	38-39-1	0.493590	6	11
Marsh Flats	13	0.158537	41-35-7	0.536145	32	0
Mox Opal	13	0.158537	41-35-2	0.538462	25	0
Savannah	13	0.158537	39-35-2	0.526316	19	0
The One Ring	13	0.158537	37-38-1	0.493421	46	3
Mishra's Bauble	12	0.146341	37-30-5	0.548611	48	0
Tropical Island	12	0.146341	38-31-2	0.549296	21	0
Windswept Heath	12	0.146341	34-34-1	0.500000	35	0
Dauthi Voidwalker	11	0.134146	32-28-3	0.531746	4	31
Karn, the Great Creator	11	0.134146	34-31-1	0.522727	42	0
Mycosynth Lattice	11	0.134146	34-31-1	0.522727	0	11
Volcanic Island	11	0.134146	31-28-7	0.522727	34	0
Bitter Triumph	10	0.121951	38-24-4	0.606061	2	13
Collector Ouphe	10	0.121951	29-29-0	0.500000	3	8
Deafening Silence	10	0.121951	26-32-1	0.449153	0	23
Dryad Arbor	10	0.121951	29-29-0	0.500000	10	0
Endurance	10	0.121951	29-29-0	0.500000	16	6
Green Sun's Zenith	10	0.121951	29-29-0	0.500000	40	0
Lightning Bolt	10	0.121951	26-25-5	0.508929	36	0
Meticulous Archive	10	0.121951	23-27-6	0.464286	10	0
Mountain	10	0.121951	17-33-2	0.346154	40	0
Nadu, Winged Wisdom	10	0.121951	31-27-1	0.533898	40	0
Nomads en-Kor	10	0.121951	31-27-1	0.533898	38	0
Scrubland	10	0.121951	27-31-3	0.467213	16	0
Sylvan Safekeeper	10	0.121951	29-29-0	0.500000	10	0
Teferi, Time Raveler	10	0.121951	22-29-2	0.433962	12	1
Blood Moon	9	0.109756	21-24-4	0.469388	9	10
Boseiju, Who Endures	9	0.109756	28-25-2	0.527273	18	2
Kozilek's Command	9	0.109756	30-24-1	0.554545	36	0
Liquimetal Coating	9	0.109756	30-24-1	0.554545	0	9
Meltdown	9	0.109756	26-23-5	0.527778	0	11
Planar Nexus	9	0.109756	30-24-1	0.554545	36	0
Simian Spirit Guide	9	0.109756	23-27-0	0.460000	26	0
Urza's Tower	9	0.109756	30-24-1	0.554545	36	0
Abrade	8	0.097561	20-19-4	0.511628	0	10
Cabal Therapy	8	0.097561	26-27-1	0.490741	21	0
Clarion Conqueror	8	0.097561	23-23-5	0.500000	5	15
Grim Monolith	8	0.097561	26-21-1	0.552083	32	0
Hedge Maze	8	0.097561	27-21-1	0.561224	8	0
Leyline of the Void	8	0.097561	23-21-1	0.522222	0	31
Manifold Key	8	0.097561	26-21-1	0.552083	24	0
Noble Hierarch	8	0.097561	22-23-0	0.488889	20	0
Tezzeret, Cruel Captain	8	0.097561	26-21-1	0.552083	26	0
Urza's Workshop	8	0.097561	26-21-1	0.552083	32	0
Arid Mesa	7	0.085366	18-23-2	0.441860	21	0
Chalice of the Void	7	0.085366	20-21-1	0.488095	24	3
Dragon's Rage Channeler	7	0.085366	20-16-4	0.550000	28	0
Expedition Map	7	0.085366	26-20-1	0.563830	7	0
Fable of the Mirror-Breaker // Reflection of Kiki-Jiki	7	0.085366	11-22-0	0.333333	27	0
Fury	7	0.085366	11-22-0	0.333333	12	10
Glaring Fleshraker	7	0.085366	26-19-1	0.576087	28	0
Grindstone	7	0.085366	13-19-1	0.409091	13	1
Once Upon a Time	7	0.085366	16-22-0	0.421053	23	0
Painter's Servant	7	0.085366	13-19-1	0.409091	27	1
Portable Hole	7	0.085366	24-18-1	0.569767	6	4
Red Elemental Blast	7	0.085366	12-19-1	0.390625	2	8
Thassa's Oracle	7	0.085366	23-21-1	0.522222	7	5
Thundering Falls	7	0.085366	20-16-4	0.550000	7	0
Unholy Heat	7	0.085366	20-16-4	0.550000	8	3
Badlands	6	0.073171	14-22-2	0.394737	7	0
City of Traitors	6	0.073171	11-20-0	0.354839	16	0
Containment Priest	6	0.073171	15-18-3	0.458333	1	9
Cori-Steel Cutter	6	0.073171	18-13-4	0.571429	18	0
Delver of Secrets // Insectile Aberration	6	0.073171	18-13-4	0.571429	19	0
Dread Return	6	0.073171	19-18-1	0.513158	7	0
Dress Down	6	0.073171	14-18-4	0.444444	15	1
Lush Portico	6	0.073171	18-17-0	0.514286	6	0
Mishra's Research Desk	6	0.073171	21-14-1	0.597222	6	0
Mystic Forge	6	0.073171	24-16-1	0.597561	10	5
Narcomoeba	6	0.073171	19-18-1	0.513158	16	0
Outland Liberator // Frenzied Trapbreaker	6	0.073171	15-19-0	0.441176	0	6
Perilous Snare	6	0.073171	20-15-1	0.569444	0	6
Quantum Riddler	6	0.073171	12-16-3	0.435484	18	0
Shadowspear	6	0.073171	17-17-2	0.500000	0	6
Sink into Stupor // Soporific Springs	6	0.073171	22-16-1	0.576923	20	0
Voltaic Key	6	0.073171	16-16-0	0.500000	6	0
Wrath of the Skies	6	0.073171	13-18-3	0.426471	2	9
Aether Spellbomb	5	0.060976	17-14-1	0.546875	3	2
Bojuka Bog	5	0.060976	16-15-1	0.515625	5	0
Broadside Bombardiers	5	0.060976	15-16-0	0.483871	17	0
Candelabra of Tawnos	5	0.060976	14-14-1	0.500000	5	0
Carpet of Flowers	5	0.060976	17-14-0	0.548387	0	10
Cavern of Souls	5	0.060976	15-15-1	0.500000	7	3
Chaos Defiler	5	0.060976	8-15-0	0.347826	4	1
Crop Rotation	5	0.060976	16-15-1	0.515625	19	0
Cursed Totem	5	0.060976	10-15-1	0.403846	0	7
Dark Ritual	5	0.060976	18-16-0	0.529412	20	0
Delighted Halfling	5	0.060976	17-14-0	0.548387	9	0
Emry, Lurker of the Loch	5	0.060976	17-14-1	0.546875	19	0
Gaddock Teeg	5	0.060976	13-15-0	0.464286	1	4
Kaito, Bane of Nightmares	5	0.060976	11-16-2	0.413793	8	0
Keen-Eyed Curator	5	0.060976	12-15-0	0.444444	7	0
Memory's Journey	5	0.060976	17-14-1	0.546875	5	0
Mox Diamond	5	0.060976	16-14-2	0.531250	19	0
Otawara, Soaring City	5	0.060976	20-14-2	0.583333	5	0
Paradox Engine	5	0.060976	13-14-0	0.481481	0	5
Price of Progress	5	0.060976	12-14-2	0.464286	0	6
Seat of the Synod	5	0.060976	17-14-1	0.546875	20	0
Shadowy Backstreet	5	0.060976	16-17-1	0.485294	6	0
Ugin, Eye of the Storms	5	0.060976	21-13-1	0.614286	9	3
Uro, Titan of Nature's Wrath	5	0.060976	22-12-1	0.642857	1	4
Yavimaya, Cradle of Growth	5	0.060976	16-15-1	0.515625	14	0
Agatha's Soul Cauldron	4	0.048780	8-10-1	0.447368	9	1
Ajani, Nacatl Pariah // Ajani, Nacatl Avenger	4	0.048780	12-14-1	0.462963	16	0
Amped Raptor	4	0.048780	12-14-1	0.462963	16	0
Basalt Monolith	4	0.048780	8-12-0	0.400000	4	0
Birds of Paradise	4	0.048780	13-11-0	0.541667	13	0
Boggart Trawler // Boggart Bog	4	0.048780	13-12-0	0.520000	13	0
Bridge from Below	4	0.048780	14-13-0	0.518519	6	0
Chrome Mox	4	0.048780	10-14-0	0.416667	13	0
Damping Sphere	4	0.048780	5-12-0	0.294118	0	7
Dark Depths	4	0.048780	12-12-1	0.500000	14	0
Duress	4	0.048780	16-10-1	0.611111	0	10
Elvish Reclaimer	4	0.048780	12-12-1	0.500000	4	7
Elvish Spirit Guide	4	0.048780	16-12-0	0.571429	16	0
Gaea's Cradle	4	0.048780	9-12-0	0.428571	13	0
Ghost Quarter	4	0.048780	13-11-2	0.538462	4	0
Ghost Vacuum	4	0.048780	10-11-2	0.478261	2	2
Goblin Engineer	4	0.048780	4-12-0	0.250000	16	0
Goblin Welder	4	0.048780	4-12-0	0.250000	16	0
Great Furnace	4	0.048780	4-12-0	0.250000	9	0
Guide of Souls	4	0.048780	12-14-1	0.462963	16	0
Haywire Mite	4	0.048780	10-11-1	0.477273	0	4
Kappa Cannoneer	4	0.048780	13-11-1	0.540000	13	0
Life from the Loam	4	0.048780	13-11-2	0.538462	14	0
Magus of the Moon	4	0.048780	7-13-0	0.350000	10	2
Malevolent Rumble	4	0.048780	13-11-2	0.538462	15	0
Nihil Spellbomb	4	0.048780	14-11-1	0.557692	7	1
Ocelot Pride	4	0.048780	12-14-1	0.462963	16	0
Pact of Negation	4	0.048780	15-13-0	0.535714	12	1
Phelia, Exuberant Shepherd	4	0.048780	8-12-2	0.409091	14	0
Phyrexian Dragon Engine	4	0.048780	4-12-0	0.250000	4	0
Pinnacle Emissary	4	0.048780	13-11-1	0.540000	15	0
Plateau	4	0.048780	12-14-1	0.462963	8	0
Poxwalkers	4	0.048780	14-13-0	0.518519	7	0
Rest in Peace	4	0.048780	9-12-3	0.437500	0	7
Sejiri Steppe	4	0.048780	12-12-1	0.500000	4	0
Spell Pierce	4	0.048780	7-12-2	0.380952	7	0
Thespian's Stage	4	0.048780	12-12-1	0.500000	14	0
Thoughtcast	4	0.048780	15-11-1	0.574074	16	0
Urza's Bauble	4	0.048780	13-11-1	0.540000	12	0
Veil of Summer	4	0.048780	13-11-0	0.541667	0	5
Allosaurus Shepherd	3	0.036585	9-8-0	0.529412	6	0
Arena of Glory	3	0.036585	0-9-0	0.000000	3	0
Back to Basics	3	0.036585	3-9-2	0.285714	5	0
Balustrade Spy	3	0.036585	12-9-0	0.571429	12	0
Bayou	3	0.036585	9-7-2	0.555556	4	0
Cabal Ritual	3	0.036585	10-10-0	0.500000	7	0
Chord of Calling	3	0.036585	9-8-0	0.529412	12	0
Curie, Emergent Intelligence	3	0.036585	9-9-2	0.500000	8	0
Echoing Truth	3	0.036585	7-9-0	0.437500	2	5
Elegant Parlor	3	0.036585	8-11-1	0.425000	3	0
Exploration	3	0.036585	9-9-1	0.500000	12	0
Fiery Confluence	3	0.036585	7-10-0	0.411765	0	5
Fire Magic	3	0.036585	10-6-2	0.611111	0	3
Forth Eorlingas!	3	0.036585	8-11-1	0.425000	1	3
Frenzied Baloth	3	0.036585	4-10-0	0.285714	6	0
Genemorph Imago	3	0.036585	10-7-0	0.588235	3	0
Gilded Drake	3	0.036585	4-9-2	0.333333	3	0
Goblin Bombardment	3	0.036585	8-11-1	0.425000	7	0
Lavinia, Azorius Renegade	3	0.036585	8-8-1	0.500000	0	3
Leyline of Sanctity	3	0.036585	9-11-0	0.450000	0	11
Lion's Eye Diamond	3	0.036585	8-11-0	0.421053	5	1
Lórien Revealed	3	0.036585	10-9-2	0.523810	9	0
March of Otherworldly Light	3	0.036585	8-11-1	0.425000	1	5
Maze of Ith	3	0.036585	9-9-1	0.500000	3	0
Mystic Sanctuary	3	0.036585	8-8-1	0.500000	3	0
Narset, Parter of Veils	3	0.036585	5-10-3	0.361111	4	0
Path to Exile	3	0.036585	12-8-2	0.590909	0	5
Phyrexian Devourer	3	0.036585	4-8-0	0.333333	3	0
Phyrexian Dreadnought	3	0.036585	9-9-2	0.500000	10	0
Prismatic Vista	3	0.036585	7-9-2	0.444444	11	0
Pyrogoyf	3	0.036585	7-10-0	0.411765	10	0
Quirion Ranger	3	0.036585	9-8-0	0.529412	6	0
Scythecat Cub	3	0.036585	10-10-0	0.500000	3	0
Sheoldred's Edict	3	0.036585	9-10-1	0.475000	1	2
Snuff Out	3	0.036585	5-10-0	0.333333	0	4
Solitude	3	0.036585	10-7-1	0.583333	10	0
Springheart Nantuko	3	0.036585	9-8-0	0.529412	4	0
Sundering Eruption // Volcanic Fissure	3	0.036585	7-10-0	0.411765	9	0
The Tabernacle at Pendrell Vale	3	0.036585	9-9-1	0.500000	3	0
Toxic Deluge	3	0.036585	9-8-2	0.526316	0	4
Trinisphere	3	0.036585	8-10-0	0.444444	7	1
Undercity Informer	3	0.036585	12-9-0	0.571429	12	0
Voice of Victory	3	0.036585	8-11-1	0.425000	10	0
Walking Ballista	3	0.036585	12-8-1	0.595238	2	2
Wooded Foothills	3	0.036585	9-8-0	0.529412	6	0
Blue Elemental Blast	2	0.024390	5-5-0	0.500000	0	2
Bonecrusher Giant // Stomp	2	0.024390	6-6-0	0.500000	0	3
Cephalid Illusionist	2	0.024390	5-5-1	0.500000	8	0
Chain Lightning	2	0.024390	4-6-1	0.409091	2	0
Cling to Dust	2	0.024390	3-7-2	0.333333	3	0
Consider	2	0.024390	6-7-0	0.461538	2	0
Craterhoof Behemoth	2	0.024390	8-5-0	0.615385	2	0
Dead // Gone	2	0.024390	3-7-0	0.300000	0	4
Disciple of Freyalise // Garden of Freyalise	2	0.024390	7-7-0	0.500000	4	1
Disruptive Stormbrood // Petty Revenge	2	0.024390	7-7-0	0.500000	0	2
