Card Statistics over 82 Decks (DMV Legacy League Classic (2025-11-08))
+---------------------------------------------------------+-------+--------+------------+--------+-------------+-------------+
|                          Card                           | # of  |  % of  |   Record   | Win %  | # of Copies | # of Copies |
|                                                         | Decks | Decks  |    With    |  With  |   (Main)    |   (Side)    |
+---------------------------------------------------------+-------+--------+------------+--------+-------------+-------------+
| Force of Will                                           |    48 | 58.54% | 138-132-16 | 51.05% |         192 |           0 |
| Island                                                  |    48 | 58.54% | 139-133-16 | 51.04% |          73 |           0 |
| Consign to Memory                                       |    47 | 57.32% | 134-128-16 | 51.08% |           7 |         100 |
| Force of Negation                                       |    47 | 57.32% | 133-131-15 | 50.36% |          32 |          59 |
| Brainstorm                                              |    43 | 52.44% | 121-118-15 | 50.59% |         172 |           0 |
| Ponder                                                  |    42 | 51.22% | 120-115-15 | 51.00% |         165 |           0 |
| Wasteland                                               |    38 | 46.34% | 109-105-12 | 50.88% |         135 |           1 |
| Faerie Macabre                                          |    36 | 43.90% |  113-104-6 | 52.02% |           0 |          75 |
| Flooded Strand                                          |    36 | 43.90% |  103-97-14 | 51.40% |          82 |           0 |
| Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar |    35 | 42.68% |  96-100-10 | 49.03% |         126 |           0 |
| Thoughtseize                                            |    32 | 39.02% |    96-93-8 | 50.76% |         111 |           6 |
| Polluted Delta                                          |    31 | 37.80% |   92-85-12 | 51.85% |         108 |           0 |
| Misty Rainforest                                        |    30 | 36.59% |    91-82-8 | 52.49% |          73 |           0 |
| Pithing Needle                                          |    30 | 36.59% |    87-84-8 | 50.84% |          17 |          16 |
| Daze                                                    |    29 | 35.37% |    82-78-9 | 51.18% |          91 |           0 |
| Brazen Borrower // Petty Theft                          |    27 | 32.93% |    79-74-9 | 51.54% |          47 |           9 |
| Murktide Regent                                         |    27 | 32.93% |    73-73-9 | 50.00% |          66 |           2 |
| Urza's Saga                                             |    27 | 32.93% |    78-75-7 | 50.94% |         104 |           0 |
| Swords to Plowshares                                    |    26 | 31.71% |    70-76-7 | 48.04% |          89 |          13 |
| Ancient Tomb                                            |    25 | 30.49% |    72-71-4 | 50.34% |          85 |           0 |
| Barrowgoyf                                              |    25 | 30.49% |    74-67-9 | 52.33% |           9 |          56 |
| Underground Sea                                         |    25 | 30.49% |    70-71-8 | 49.66% |          77 |           0 |
| Disruptor Flute                                         |    24 | 29.27% |    67-70-2 | 48.92% |           6 |          55 |
| Hydroblast                                              |    24 | 29.27% |    71-65-9 | 52.07% |           0 |          34 |
| Swamp                                                   |    24 | 29.27% |    71-68-7 | 51.03% |          26 |           0 |
| Karakas                                                 |    23 | 28.05% |    68-67-5 | 50.36% |          28 |           0 |
| Lotus Petal                                             |    23 | 28.05% |    68-66-2 | 50.74% |          75 |           0 |
