Card	# of Decks	% of Decks	Record With	Win % With	# of Copies (Main)	# of Copies (Side)
Faerie Macabre	39	0.541667	99-100-8	0.497585	0	88
Force of Will	37	0.513889	99-98-8	0.502439	147	1
Island	36	0.500000	94-96-8	0.494949	57	0
Brainstorm	35	0.486111	91-94-6	0.492147	140	0
Consign to Memory	33	0.458333	91-84-8	0.519126	2	66
Force of Negation	33	0.458333	89-84-8	0.513812	16	45
Ponder	33	0.458333	84-89-6	0.486034	129	0
Disruptor Flute	31	0.430556	85-78-6	0.520710	6	71
Flooded Strand	30	0.416667	87-78-7	0.526163	72	0
Pithing Needle	29	0.402778	81-68-6	0.541935	14	21
Urza's Saga	29	0.402778	81-70-5	0.535256	103	0
Wasteland	29	0.402778	85-71-7	0.542945	103	2
Ancient Tomb	28	0.388889	72-70-4	0.506849	92	0
Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar	25	0.347222	63-62-5	0.503846	87	0
Karakas	24	0.333333	61-64-3	0.488281	29	0
Polluted Delta	24	0.333333	62-62-5	0.500000	83	0
Swords to Plowshares	24	0.333333	71-64-3	0.525362	81	13
Thoughtseize	24	0.333333	56-59-6	0.487603	79	8
Misty Rainforest	23	0.319444	61-64-2	0.488189	65	0
Daze	20	0.277778	51-51-5	0.500000	60	0
Lotus Petal	20	0.277778	51-53-2	0.490566	67	0
Pyroblast	19	0.263889	46-51-4	0.475248	12	29
Brazen Borrower // Petty Theft	18	0.250000	44-46-5	0.489474	30	6
Hydroblast	18	0.250000	48-48-4	0.500000	0	23
Plains	18	0.250000	48-48-3	0.500000	31	0
Scalding Tarn	18	0.250000	44-45-5	0.494681	30	0
Underground Sea	18	0.250000	43-45-4	0.489130	55	0
Barrowgoyf	17	0.236111	41-41-4	0.500000	9	34
Dismember	17	0.236111	30-42-2	0.418919	1	28
Null Rod	17	0.236111	50-47-3	0.515000	0	24
Prismatic Ending	17	0.236111	47-46-1	0.505319	14	17
Forest	16	0.222222	43-43-1	0.500000	23	0
Swamp	16	0.222222	38-41-6	0.482353	19	0
Tundra	16	0.222222	48-43-1	0.527174	37	0
Ensnaring Bridge	15	0.208333	37-36-1	0.506757	3	12
Force of Vigor	15	0.208333	41-40-1	0.506098	0	38
The One Ring	15	0.208333	38-36-3	0.512987	57	2
Undercity Sewers	15	0.208333	31-38-4	0.452055	26	0
Murktide Regent	14	0.194444	36-32-5	0.527397	33	1
Reanimate	14	0.194444	27-34-4	0.446154	44	2
Soul-Guide Lantern	14	0.194444	40-33-3	0.546053	14	2
Surgical Extraction	14	0.194444	31-38-4	0.452055	2	21
Windswept Heath	14	0.194444	35-41-0	0.460526	38	0
Atraxa, Grand Unifier	13	0.180556	31-32-3	0.492424	15	1
Orcish Bowmasters	13	0.180556	33-29-5	0.529851	30	5
Savannah	13	0.180556	36-37-1	0.493243	15	0
Tormod's Crypt	13	0.180556	32-31-1	0.507812	7	12
Fatal Push	12	0.166667	24-28-4	0.464286	5	20
