Card Statistics over 73 Decks (DMV Legacy League Invitational (2025-11-09))
+---------------------------------------------------------+-------+--------+----------+--------+-------------+-------------+
|                          Card                           | # of  |  % of  |  Record  | Win %  | # of Copies | # of Copies |
|                                                         | Decks | Decks  |   With   |  With  |   (Main)    |   (Side)    |
+---------------------------------------------------------+-------+--------+----------+--------+-------------+-------------+
| Faerie Macabre                                          |    39 | 54.17% | 99-100-8 | 49.76% |           0 |          88 |
| Force of Will                                           |    37 | 51.39% |  99-98-8 | 50.24% |         147 |           1 |
| Island                                                  |    36 | 50.00% |  94-96-8 | 49.49% |          57 |           0 |
| Brainstorm                                              |    35 | 48.61% |  91-94-6 | 49.21% |         140 |           0 |
| Consign to Memory                                       |    33 | 45.83% |  91-84-8 | 51.91% |           2 |          66 |
| Force of Negation                                       |    33 | 45.83% |  89-84-8 | 51.38% |          16 |          45 |
| Ponder                                                  |    33 | 45.83% |  84-89-6 | 48.60% |         129 |           0 |
| Disruptor Flute                                         |    31 | 43.06% |  85-78-6 | 52.07% |           6 |          71 |
| Flooded Strand                                          |    30 | 41.67% |  87-78-7 | 52.62% |          72 |           0 |
| Pithing Needle                                          |    29 | 40.28% |  81-68-6 | 54.19% |          14 |          21 |
| Urza's Saga                                             |    29 | 40.28% |  81-70-5 | 53.53% |         103 |           0 |
| Wasteland                                               |    29 | 40.28% |  85-71-7 | 54.29% |         103 |           2 |
| Ancient Tomb                                            |    28 | 38.89% |  72-70-4 | 50.68% |          92 |           0 |
| Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar |    25 | 34.72% |  63-62-5 | 50.38% |          87 |           0 |
| Karakas                                                 |    24 | 33.33% |  61-64-3 | 48.83% |          29 |           0 |
| Polluted Delta                                          |    24 | 33.33% |  62-62-5 | 50.00% |          83 |           0 |
| Swords to Plowshares                                    |    24 | 33.33% |  71-64-3 | 52.54% |          81 |          13 |
| Thoughtseize                                            |    24 | 33.33% |  56-59-6 | 48.76% |          79 |           8 |
| Misty Rainforest                                        |    23 | 31.94% |  61-64-2 | 48.82% |          65 |           0 |
| Daze                                                    |    20 | 27.78% |  51-51-5 | 50.00% |          60 |           0 |
| Lotus Petal                                             |    20 | 27.78% |  51-53-2 | 49.06% |          67 |           0 |
| Pyroblast                                               |    19 | 26.39% |  46-51-4 | 47.52% |          12 |          29 |
| Brazen Borrower // Petty Theft                          |    18 | 25.00% |  44-46-5 | 48.95% |          30 |           6 |
| Hydroblast                                              |    18 | 25.00% |  48-48-4 | 50.00% |           0 |          23 |
| Plains                                                  |    18 | 25.00% |  48-48-3 | 50.00% |          31 |           0 |
| Scalding Tarn                                           |    18 | 25.00% |  44-45-5 | 49.47% |          30 |           0 |
| Underground Sea                                         |    18 | 25.00% |  43-45-4 | 48.91% |          55 |           0 |
