Eternal Weekend 2024 Legacy Champs (2024-11-23)
+---------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Deck                      | % of Field | # in Field | Avg. Place | Wins | Losses | Draws |  Win % | Win % (95.0% lower bound) | Win % (95.0% upper bound) | EV vs. Field | Win % vs. Other | EV vs. Pairings |
+---------------------------+------------+------------+------------+------+--------+-------+--------+---------------------------+---------------------------+--------------+-----------------+-----------------+
| Dimir Reanimator          |     12.99% |        150 |     557.19 |  557 |    489 |    29 | 53.16% |                    50.22% |                    56.26% |       53.78% |          53.67% |          53.16% |
| Dimir Tempo               |      6.23% |         72 |     623.04 |  223 |    248 |    16 | 47.43% |                    42.88% |                    51.86% |       49.18% |          47.28% |          47.54% |
| Eldrazi Stompy            |      4.16% |         48 |     499.25 |  202 |    174 |     4 | 53.68% |                    48.67% |                    58.70% |       54.54% |          53.85% |          53.68% |
| Bant Nadu                 |      4.07% |         47 |     525.60 |  184 |    156 |     7 | 54.03% |                    48.80% |                    59.34% |       51.04% |          54.13% |          54.03% |
| Mono-Red Painter          |      3.98% |         46 |     508.65 |  186 |    163 |     5 | 53.25% |                    48.05% |                    58.47% |       51.42% |          53.40% |          53.25% |
| Cephalid Breakfast        |      3.90% |         45 |     547.00 |  172 |    158 |    12 | 52.05% |                    46.74% |                    57.46% |       53.17% |          52.11% |          53.45% |
| Mono-Red Prison           |      3.81% |         44 |     528.77 |  170 |    173 |     0 | 49.56% |                    44.31% |                    54.83% |       50.47% |          49.53% |          49.56% |
| Mystic Forge Combo        |      3.38% |         39 |     445.13 |  187 |    120 |     1 | 60.88% |                    55.35% |                    66.20% |       60.18% |          61.80% |          60.80% |
| Jeskai Control            |      2.86% |         33 |     730.97 |   79 |    116 |     6 | 40.80% |                    33.87% |                    47.52% |       41.42% |          40.41% |          41.70% |
| Mono-Red Aggro            |      2.86% |         33 |     588.70 |  115 |    121 |     1 | 48.73% |                    42.42% |                    55.08% |       52.11% |          48.70% |          48.73% |
| Sneak and Show            |      2.51% |         29 |     594.28 |  100 |    112 |     0 | 47.17% |                    40.56% |                    53.88% |       46.33% |          47.09% |          44.66% |
| Death and Taxes (Yorion)  |      2.16% |         25 |     632.20 |   81 |     79 |    12 | 50.58% |                    42.95% |                    58.27% |       48.52% |          50.60% |          48.91% |
| Unknown                   |      2.16% |         25 |     766.40 |   57 |     85 |     0 | 40.14% |                    32.44% |                    48.36% |       41.26% |          40.00% |          40.23% |
| Doomsday                  |      1.73% |         20 |     559.05 |   75 |     72 |     0 | 51.02% |                    43.02% |                    58.97% |       52.92% |          51.03% |          50.97% |
| Mono-Green Eldrazi        |      1.73% |         20 |     606.30 |   65 |     74 |     2 | 46.81% |                    38.67% |                    55.03% |       44.10% |          46.72% |          46.81% |
| Dimir Delver              |      1.65% |         19 |     573.89 |   70 |     66 |     1 | 51.46% |                    43.15% |                    59.71% |       51.79% |          51.48% |          51.87% |
| Cradle Control            |      1.56% |         18 |     524.06 |   69 |     63 |     4 | 52.21% |                    43.81% |                    60.61% |       49.42% |          52.21% |          51.13% |
| Azorius Dreadnought       |      1.39% |         16 |     539.19 |   61 |     60 |     3 | 50.40% |                    41.63% |                    59.17% |       52.60% |          50.41% |          50.40% |
| Dimir Tempo Doomsday      |      1.13% |         13 |     508.38 |   55 |     46 |     0 | 54.46% |                    44.76% |                    63.83% |       55.50% |          54.46% |          54.46% |
| Lands                     |      1.13% |         13 |     726.85 |   31 |     49 |     4 | 39.29% |                    28.82% |                    49.71% |       41.36% |          39.29% |          42.82% |
| Sultai Beans              |      1.04% |         12 |     529.75 |   50 |     44 |     0 | 53.19% |                    43.18% |                    62.95% |       53.95% |          53.49% |          53.19% |
| Esper Tempo               |      0.95% |         11 |     573.00 |   37 |     38 |     1 | 49.34% |                    38.33% |                    60.40% |       48.92% |          49.34% |          49.34% |
| Mono-Green Cloudpost      |      0.95% |         11 |     392.64 |   51 |     42 |     2 | 54.74% |                    44.73% |                    64.56% |       51.09% |          54.84% |          54.74% |
|  Jund Reanimator          |      0.87% |         10 |     666.20 |   29 |     34 |     0 | 46.03% |                    34.31% |                    58.21% |       48.42% |          46.03% |          46.03% |
| The Epic Storm            |      0.87% |         10 |     592.20 |   33 |     39 |     1 | 45.89% |                    34.83% |                    57.26% |       44.77% |          45.89% |          45.89% |
| Boros Painter             |      0.69% |          8 |     605.38 |   25 |     31 |     1 | 44.74% |                    32.39% |                    57.59% |       47.39% |          44.74% |          44.74% |
| Death and Taxes           |      0.69% |          8 |     701.62 |   21 |     30 |     3 | 41.67% |                    28.75% |                    54.83% |       41.87% |          41.67% |          41.67% |
| Esper Control             |      0.69% |          8 |     648.38 |   27 |     32 |     1 | 45.83% |                    33.70% |                    58.34% |       42.65% |          45.83% |          46.08% |
| Four-Color Nadu           |      0.69% |          8 |     399.00 |   38 |     31 |     1 | 55.00% |                    43.38% |                    66.23% |       51.07% |          55.00% |          55.00% |
| Oops! All Spells!         |      0.69% |          8 |     536.12 |   31 |     24 |     0 | 56.36% |                    43.27% |                    68.63% |       58.27% |          56.36% |          56.36% |
| Reanimator                |      0.69% |          8 |     522.88 |   31 |     32 |     2 | 49.23% |                    37.27% |                    61.24% |       47.12% |          49.23% |          49.23% |
| Elves                     |      0.61% |          7 |     512.43 |   29 |     30 |     1 | 49.17% |                    36.84% |                    61.56% |       48.01% |          49.17% |          45.17% |
| Grixis Delver             |      0.61% |          7 |     725.14 |   18 |     26 |     1 | 41.11% |                    27.69% |                    55.59% |       41.62% |          41.11% |          39.96% |
| Naya Depths               |      0.61% |          7 |     548.43 |   25 |     25 |     2 | 50.00% |                    36.64% |                    63.36% |       54.37% |          50.00% |          51.60% |
| Storm                     |      0.61% |          7 |     615.14 |   27 |     34 |     1 | 44.35% |                    32.51% |                    56.70% |       43.76% |          44.17% |          44.35% |
| Bant Lands                |      0.52% |          6 |     508.83 |   24 |     18 |     2 | 56.82% |                    42.21% |                    70.88% |       51.83% |          56.82% |          56.82% |
| Beanstalk Control         |      0.52% |          6 |     845.33 |    9 |     20 |     2 | 32.26% |                    17.28% |                    49.23% |       35.87% |          32.26% |          32.26% |
| Dimir Midrange            |      0.52% |          6 |     329.00 |   33 |     19 |     2 | 62.96% |                    49.87% |                    75.20% |       55.08% |          62.96% |          62.96% |
| 4-color Loam              |      0.43% |          5 |     426.20 |   24 |     21 |     3 | 53.12% |                    39.08% |                    67.06% |       54.76% |          53.12% |          53.12% |
| Ad Nauseam Tendrils       |      0.43% |          5 |     524.00 |   22 |     24 |     0 | 47.83% |                    34.12% |                    61.86% |       43.23% |          47.73% |          47.83% |
| Dimir Combo               |      0.43% |          5 |     333.60 |   26 |     19 |     1 | 57.61% |                    43.30% |                    71.03% |       54.75% |          57.61% |          57.61% |
| Esper Vial                |      0.43% |          5 |     627.00 |   15 |     16 |     1 | 48.44% |                    31.97% |                    65.16% |       51.04% |          48.44% |          52.60% |
| Maverick                  |      0.43% |          5 |     606.80 |   17 |     21 |     1 | 44.87% |                    30.15% |                    60.29% |       43.46% |          44.87% |          42.74% |
| Mono-Blue Jewel           |      0.43% |          5 |     603.80 |   17 |     24 |     0 | 41.46% |                    27.76% |                    56.63% |       42.81% |          41.46% |          41.46% |
| Mono-Green 12-Post        |      0.43% |          5 |     696.80 |   13 |     18 |     0 | 41.94% |                    26.42% |                    59.23% |       42.70% |          41.94% |          41.94% |
| Rakdos Painter            |      0.43% |          5 |     291.80 |   30 |     17 |     1 | 63.54% |                    49.54% |                    76.03% |       59.36% |          63.54% |          63.54% |
| Red Prison                |      0.43% |          5 |     677.60 |   15 |     17 |     1 | 46.97% |                    30.87% |                    63.55% |       43.15% |          46.97% |          46.97% |
| Aluren                    |      0.35% |          4 |     593.50 |   13 |     15 |     1 | 46.55% |                    29.53% |                    64.19% |       49.08% |          46.55% |          46.55% |
| Azorius Control           |      0.35% |          4 |     717.00 |    9 |     12 |     3 | 43.75% |                    24.47% |                    63.45% |       44.40% |          43.75% |          43.75% |
| Azorius Miracles          |      0.35% |          4 |     592.75 |   13 |     17 |     1 | 43.55% |                    27.38% |                    60.80% |       43.96% |          43.55% |          43.55% |
| Dimir Ninjas              |      0.35% |          4 |     815.50 |    7 |     12 |     1 | 37.50% |                    19.15% |                    58.96% |       38.31% |          37.50% |          37.50% |
| Dimir ReScaminator        |      0.35% |          4 |     517.50 |   15 |     15 |     0 | 50.00% |                    33.15% |                    66.85% |       48.44% |          50.00% |          50.00% |
| Esper Midrange            |      0.35% |          4 |     468.25 |   17 |     16 |     1 | 51.47% |                    35.22% |                    67.50% |       45.45% |          51.47% |          51.47% |
| Esper Stoneblade          |      0.35% |          4 |     773.75 |    8 |     11 |     0 | 42.11% |                    23.14% |                    63.72% |       42.21% |          42.11% |          42.11% |
| Four-color Beans          |      0.35% |          4 |     703.25 |   10 |     15 |     3 | 41.07% |                    23.40% |                    59.26% |       47.01% |          41.07% |          41.07% |
| Golgari Reanimator        |      0.35% |          4 |     580.00 |   15 |     19 |     0 | 44.12% |                    28.88% |                    60.55% |       45.96% |          44.12% |          44.12% |
| Grixis Control            |      0.35% |          4 |     482.50 |   14 |     12 |     7 | 53.03% |                    35.46% |                    71.24% |       52.72% |          53.03% |          54.12% |
| High Tide                 |      0.35% |          4 |     838.00 |    8 |     15 |     0 | 34.78% |                    18.81% |                    55.11% |       36.32% |          34.78% |          34.78% |
| Rakdos Goblins            |      0.35% |          4 |     909.75 |    5 |     12 |     0 | 29.41% |                    13.28% |                    53.13% |       46.58% |          29.41% |          29.41% |
| Sultai Combo              |      0.35% |          4 |     714.50 |   10 |     11 |     0 | 47.62% |                    28.34% |                    67.63% |       44.63% |          47.62% |          47.62% |
| 10-Rack                   |      0.26% |          3 |     487.00 |   12 |     10 |     1 | 54.35% |                    34.66% |                    73.08% |       49.91% |          54.35% |          54.35% |
| Dimir Aggro               |      0.26% |          3 |     217.00 |   19 |      9 |     3 | 66.13% |                    49.34% |                    82.07% |       53.03% |          66.13% |          66.13% |
| Dimir Death's Shadow      |      0.26% |          3 |     304.00 |   16 |     13 |     0 | 55.17% |                    37.55% |                    71.59% |       62.21% |          55.17% |          55.17% |
| Izzet Delver              |      0.26% |          3 |     625.33 |    9 |     17 |     0 | 34.62% |                    19.41% |                    53.78% |       39.87% |          34.62% |          34.62% |
| Mono-Black Control        |      0.26% |          3 |     800.00 |    5 |      8 |     0 | 38.46% |                    17.71% |                    64.48% |       44.68% |          38.46% |          38.46% |
| Mono-Black Reanimator     |      0.26% |          3 |     821.67 |    6 |     13 |     0 | 31.58% |                    15.36% |                    53.99% |       42.58% |          31.58% |          31.58% |
| Mono-Blue Merfolk         |      0.26% |          3 |     356.00 |   15 |     12 |     0 | 55.56% |                    37.31% |                    72.41% |       53.02% |          55.56% |          55.56% |
| Mono-Red Burn             |      0.26% |          3 |     605.00 |    8 |      6 |     0 | 57.14% |                    32.59% |                    78.62% |       56.88% |          57.14% |          57.14% |
| Omni-Tell                 |      0.26% |          3 |     800.00 |    5 |     11 |     0 | 31.25% |                    14.16% |                    55.60% |       40.52% |          31.25% |          31.25% |
| Rakdos Reanimator         |      0.26% |          3 |     636.00 |   10 |      9 |     0 | 52.63% |                    31.71% |                    72.67% |       48.56% |          52.63% |          52.63% |
