47 events: Legacy Challenge 32 2025-07-30 (2025-07-30), Legacy Challenge 32 2025-08-01 (2025-08-01), Legacy Challenge 32 2025-08-02 (2025-08-02), Buffalo Chicken Dip Legacy Open 4 (2025-08-02), Legacy Challenge 32 2025-08-03 - 1 (2025-08-03), Legacy Showcase Challenge 2025-08-03 (2025-08-03), Buffalo Chicken Dip Legacy Win-A-Mox Diamond (2025-08-03), Legacy Challenge 32 2025-08-06 (2025-08-06), Legacy Challenge 32 2025-08-08 (2025-08-08), Eternal Mania - Friday Legacy (2025-08-08), Legacy Challenge 32 2025-08-09 (2025-08-09), Legacy Challenge 32 2025-08-10 - 1 (2025-08-10), Legacy Challenge 32 2025-08-10 - 2 (2025-08-10), European Legacy Masters 2025 (2025-08-10), Legacy Last Chance 2025-08-11 (2025-08-11), Legacy Last Chance 2025-08-11 (2025-08-11), Legacy Last Chance 2025-08-12 (2025-08-12), Legacy Last Chance 2025-08-13 (2025-08-13), Legacy Challenge 32 2025-08-13 (2025-08-13), Legacy Challenge 32 2025-08-15 (2025-08-15), Legacy Challenge 32 2025-08-16 (2025-08-16), Legacy Challenge 32 2025-08-17 - 1 (2025-08-17), Legacy Challenge 32 2025-08-17 - 2 (2025-08-17), Legacy Showcase Qualifier 2025-08-17 (2025-08-17), Legacy Challenge 32 2025-08-20 (2025-08-20), Legacy Challenge 32 2025-08-22 (2025-08-22), Legacy Challenge 32 2025-08-23 (2025-08-23), Legacy Challenge 32 2025-08-24 - 1 (2025-08-24), Legacy Challenge 32 2025-08-24 - 2 (2025-08-24), Legacy Challenge 32 2025-08-27 (2025-08-27), Legacy Challenge 32 2025-08-29 (2025-08-29), Legacy Challenge 32 2025-08-30 (2025-08-30), Legacy Challenge 32 2025-08-31 - 1 (2025-08-31), Legacy Challenge 32 2025-08-31 - 2 (2025-08-31), Legacy Challenge 32 2025-09-03 (2025-09-03), Legacy Challenge 32 2025-09-06 (2025-09-06), Legacy Challenge 32 2025-09-07 - 2 (2025-09-07), Legacy Challenge 32 2025-09-10 (2025-09-10), Legacy Challenge 32 2025-09-12 (2025-09-12), Legacy Challenge 32 2025-09-13 (2025-09-13), Legacy Challenge 32 2025-09-14 - 1 (2025-09-14), Legacy Challenge 32 2025-09-14 - 2 (2025-09-14), Legacy Challenge 32 2025-09-17 (2025-09-17), Legacy Challenge 32 2025-09-19 (2025-09-19), Legacy Challenge 32 2025-09-20 (2025-09-20), Legacy Challenge 32 2025-09-21 - 1 (2025-09-21), Legacy Challenge 32 2025-09-21 - 2 (2025-09-21)
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck               |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                 | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Dimir Reanimator                | 17.56% |   489 |     53.66% | 1424 |   1223 |     0 | 53.80% |    54.65% | 54.36% |   53.80% |
| Red Stompy                      |  7.08% |   197 |     50.09% |  552 |    544 |     0 | 50.36% |    50.39% | 50.72% |   50.36% |
| Mystic Forge Combo              |  6.79% |   189 |     51.75% |  535 |    508 |     0 | 51.29% |    51.39% | 51.93% |   51.29% |
| Dimir Tempo                     |  6.50% |   181 |     50.17% |  514 |    485 |     0 | 51.45% |    51.55% | 51.74% |   51.45% |
| Izzet Tempo                     |  6.03% |   168 |     44.17% |  413 |    470 |     0 | 46.77% |    46.58% | 47.06% |   46.77% |
| Oops All Spells                 |  4.71% |   131 |     50.40% |  349 |    355 |     0 | 49.57% |    49.55% | 50.03% |   49.57% |
| Lands                           |  3.77% |   105 |     48.97% |  286 |    283 |     0 | 50.26% |    50.18% | 49.15% |   50.26% |
| Cephalid Breakfast              |  3.63% |   101 |     50.97% |  301 |    269 |     0 | 52.81% |    52.90% | 51.48% |   52.81% |
| Eldrazi                         |  3.56% |    99 |     54.03% |  306 |    246 |     0 | 55.43% |    55.64% | 55.70% |   55.43% |
| Jeskai Control                  |  3.09% |    86 |     48.51% |  221 |    216 |     0 | 50.57% |    50.58% | 50.57% |   50.57% |
| Sneak and Show                  |  3.02% |    84 |     40.65% |  176 |    229 |     0 | 43.46% |    43.26% | 44.36% |   43.46% |
| Nadu Midrange Combo             |  2.95% |    82 |     50.83% |  221 |    211 |     0 | 51.16% |    51.18% | 50.56% |   51.16% |
| Beanstalk Control (Non-Yorion)  |  2.30% |    64 |     41.46% |  146 |    194 |     0 | 42.94% |    42.77% | 42.59% |   42.94% |
| Doomsday                        |  1.76% |    49 |     42.45% |  110 |    127 |     0 | 46.41% |    46.38% | 45.32% |   46.41% |
| Omni-Tell                       |  1.65% |    46 |     51.81% |  136 |    131 |     0 | 50.94% |    50.94% | 48.11% |   50.94% |
| Other Aggro                     |  1.51% |    42 |     59.16% |  149 |    116 |     0 | 56.23% |    56.23% | 56.28% |   56.23% |
| Red Painter                     |  1.47% |    41 |     46.45% |  106 |    130 |     0 | 44.92% |    44.87% | 44.84% |   44.92% |
| Death and Taxes - BW (Yorion)   |  1.44% |    40 |     58.72% |  138 |    113 |     0 | 54.98% |    55.10% | 53.54% |   54.98% |
| Cradle Control                  |  1.40% |    39 |     51.59% |  117 |    111 |     0 | 51.32% |    51.34% | 49.01% |   51.32% |
| Saga Storm                      |  1.33% |    37 |     53.11% |  108 |    111 |     0 | 49.32% |    49.30% | 50.13% |   49.32% |
