137 events: Legacy Challenge 32 2025-04-02 (2025-04-02), Legacy Last Chance 2025-04-02 - 1 (2025-04-02), Legacy Last Chance 2025-04-02 - 2 (2025-04-02), Legacy Challenge 32 2025-04-04 (2025-04-04), Legacy Challenge 32 2025-04-05 (2025-04-05), Legacy Challenge 32 2025-04-06 - 1 (2025-04-06), Legacy Challenge 32 2025-04-06 - 2 (2025-04-06), Legacy Showcase Qualifier 2025-04-06 (2025-04-06), Legacy Challenge 32 2025-04-09 (2025-04-09), Legacy Challenge 32 2025-04-11 (2025-04-11), Legacy Challenge 32 2025-04-12 (2025-04-12), Legacy Challenge 32 2025-04-13 (2025-04-13), Legacy Challenge 32 2025-04-18 (2025-04-18), Legacy Challenge 32 2025-04-19 (2025-04-19), Legacy Challenge 32 2025-04-20 - 1 (2025-04-20), Legacy Challenge 32 2025-04-20 - 2 (2025-04-20), Legacy Challenge 32 2025-04-23 (2025-04-23), Legacy Challenge 32 2025-04-25 (2025-04-25), Legacy Challenge 32 2025-04-26 (2025-04-26), Buffalo Chicken Dip Legacy 21 (2025-04-26), Legacy Challenge 32 2025-04-27 - 1 (2025-04-27), Legacy Challenge 32 2025-04-27 - 2 (2025-04-27), Legacy Challenge 32 2025-04-30 (2025-04-30), Legacy Challenge 32 2025-05-02 (2025-05-02), Legacy Challenge 32 2025-05-03 (2025-05-03), Bazaar of Boxes Series 15 (2025-05-03), Legacy Challenge 32 2025-05-04 - 1 (2025-05-04), Legacy Challenge 32 2025-05-04 - 2 (2025-05-04), Legacy Challenge 32 2025-05-07 (2025-05-07), Legacy Challenge 32 2025-05-09 (2025-05-09), Legacy Challenge 32 2025-05-10 (2025-05-10), Legacy Challenge 32 2025-05-11 - 1 (2025-05-11), Legacy Challenge 32 2025-05-11 - 2 (2025-05-11), Legacy Challenge 32 2025-05-14 (2025-05-14), Legacy Challenge 32 2025-05-16 (2025-05-16), Legacy Challenge 32 2025-05-17 (2025-05-17), Legacy Challenge 32 2025-05-18 - 1 (2025-05-18), Legacy Challenge 32 2025-05-18 - 2 (2025-05-18), Legacy Challenge 32 2025-05-21 (2025-05-21), Legacy Challenge 32 2025-05-23 (2025-05-23), Legacy Challenge 32 2025-05-24 (2025-05-24), Legacy Challenge 32 2025-05-25 - 1 (2025-05-25), Legacy Challenge 32 2025-06-01 - 1 (2025-06-01), Legacy Challenge 32 2025-06-01 - 2 (2025-06-01), Legacy Challenge 32 2025-06-06 (2025-06-06), Legacy Challenge 32 2025-06-07 (2025-06-07), Legacy Challenge 32 2025-06-08 - 1 (2025-06-08), Legacy Showcase Challenge 2025-06-08 (2025-06-08), Legacy Challenge 32 2025-06-11 (2025-06-11), Legacy Challenge 32 2025-06-13 (2025-06-13), Legacy Challenge 32 2025-06-14 (2025-06-14), Legacy Challenge 32 2025-06-15 - 1 (2025-06-15), Legacy Challenge 32 2025-06-15 - 2 (2025-06-15), Legacy Challenge 32 2025-06-20 (2025-06-20), Legacy RC Qualifier 2025-06-20 (2025-06-20), Legacy Challenge 32 2025-06-21 (2025-06-21), Legacy Challenge 32 2025-06-22 - 1 (2025-06-22), Legacy Challenge 32 2025-06-22 - 2 (2025-06-22), Legacy Challenge 32 2025-06-27 (2025-06-27), Legacy Challenge 32 2025-06-28 (2025-06-28), Buffalo Chicken Dip Legacy 22 (2025-06-28), Legacy Challenge 32 2025-06-29 - 1 (2025-06-29), Legacy Challenge 32 2025-06-29 - 2 (2025-06-29), Legacy Challenge 32 2025-07-02 (2025-07-02), Legacy Challenge 32 2025-07-04 (2025-07-04), Legacy Challenge 32 2025-07-05 (2025-07-05), Legacy Challenge 32 2025-07-06 - 1 (2025-07-06), Legacy Showcase Challenge 2025-07-06 (2025-07-06), Legacy Challenge 32 2025-07-09 (2025-07-09), Legacy Challenge 32 2025-07-11 (2025-07-11), Legacy Challenge 32 2025-07-12 (2025-07-12), Legacy Challenge 32 2025-07-13 - 1 (2025-07-13), Legacy Challenge 32 2025-07-13 - 2 (2025-07-13), Legacy Challenge 32 2025-07-16 (2025-07-16), Legacy Challenge 32 2025-07-18 (2025-07-18), Legacy Challenge 32 2025-07-19 (2025-07-19), Oklahoma Land Run '25 Legacy Open (2025-07-19), Legacy Challenge 32 2025-07-20 - 1 (2025-07-20), Legacy Challenge 32 2025-07-20 - 2 (2025-07-20), Legacy Challenge 32 2025-07-23 (2025-07-23), Legacy Challenge 32 2025-07-25 (2025-07-25), Legacy Challenge 32 2025-07-26 (2025-07-26), Legacy Challenge 32 2025-07-27 - 1 (2025-07-27), Legacy Challenge 32 2025-07-27 - 2 (2025-07-27), Legacy Challenge 32 2025-07-30 (2025-07-30), Legacy Challenge 32 2025-08-01 (2025-08-01), Legacy Challenge 32 2025-08-02 (2025-08-02), Buffalo Chicken Dip Legacy Open 4 (2025-08-02), Legacy Challenge 32 2025-08-03 - 1 (2025-08-03), Legacy Showcase Challenge 2025-08-03 (2025-08-03), Buffalo Chicken Dip Legacy Win-A-Mox Diamond (2025-08-03), Legacy Challenge 32 2025-08-06 (2025-08-06), Legacy Challenge 32 2025-08-08 (2025-08-08), Eternal Mania - Friday Legacy (2025-08-08), Legacy Challenge 32 2025-08-09 (2025-08-09), Legacy Challenge 32 2025-08-10 - 1 (2025-08-10), Legacy Challenge 32 2025-08-10 - 2 (2025-08-10), European Legacy Masters 2025 (2025-08-10), Legacy Last Chance 2025-08-11 (2025-08-11), Legacy Last Chance 2025-08-11 (2025-08-11), Legacy Last Chance 2025-08-12 (2025-08-12), Legacy Last Chance 2025-08-13 (2025-08-13), Legacy Challenge 32 2025-08-13 (2025-08-13), Legacy Challenge 32 2025-08-15 (2025-08-15), Legacy Challenge 32 2025-08-16 (2025-08-16), Legacy Challenge 32 2025-08-17 - 1 (2025-08-17), Legacy Challenge 32 2025-08-17 - 2 (2025-08-17), Legacy Showcase Qualifier 2025-08-17 (2025-08-17), Legacy Challenge 32 2025-08-20 (2025-08-20), Legacy Challenge 32 2025-08-22 (2025-08-22), Legacy Challenge 32 2025-08-23 (2025-08-23), Legacy Challenge 32 2025-08-24 - 1 (2025-08-24), Legacy Challenge 32 2025-08-24 - 2 (2025-08-24), Legacy Challenge 32 2025-08-27 (2025-08-27), Legacy Challenge 32 2025-08-29 (2025-08-29), Legacy Challenge 32 2025-08-30 (2025-08-30), Legacy Challenge 32 2025-08-31 - 1 (2025-08-31), Legacy Challenge 32 2025-08-31 - 2 (2025-08-31), Legacy Challenge 32 2025-09-03 (2025-09-03), Legacy Challenge 32 2025-09-06 (2025-09-06), Legacy Challenge 32 2025-09-07 - 2 (2025-09-07), Legacy Challenge 32 2025-09-10 (2025-09-10), Legacy Challenge 32 2025-09-12 (2025-09-12), Legacy Challenge 32 2025-09-13 (2025-09-13), Legacy Challenge 32 2025-09-14 - 1 (2025-09-14), Legacy Challenge 32 2025-09-14 - 2 (2025-09-14), Legacy Challenge 32 2025-09-17 (2025-09-17), Legacy Challenge 32 2025-09-19 (2025-09-19), Legacy Challenge 32 2025-09-20 (2025-09-20), Legacy Challenge 32 2025-09-21 - 1 (2025-09-21), Legacy Challenge 32 2025-09-21 - 2 (2025-09-21), Legacy Challenge 32 2025-10-01 (2025-10-01), Legacy Challenge 32 2025-10-04 (2025-10-04), Legacy Challenge 32 2025-10-05 - 1 (2025-10-05), Legacy Challenge 32 2025-10-05 - 2 (2025-10-05), Legacy Showcase Challenge 2025-10-05 (2025-10-05), Legacy Challenge 2025-10-08 (2025-10-08)
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck               |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                 | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Dimir Reanimator                | 15.29% |  1175 |     54.17% | 3592 |   2989 |     1 | 54.58% |    55.69% | 55.67% |   54.58% |
| Dimir Tempo                     |  7.00% |   538 |     51.25% | 1551 |   1447 |     0 | 51.73% |    51.89% | 51.87% |   51.73% |
| Izzet Tempo                     |  6.90% |   530 |     46.38% | 1384 |   1410 |     2 | 49.54% |    49.50% | 49.66% |   49.54% |
| Red Stompy                      |  6.44% |   495 |     48.83% | 1331 |   1399 |     3 | 48.76% |    48.67% | 49.25% |   48.76% |
| Oops All Spells                 |  5.95% |   457 |     49.50% | 1243 |   1283 |     0 | 49.21% |    49.15% | 49.49% |   49.21% |
| Mystic Forge Combo              |  4.81% |   370 |     52.27% | 1092 |   1024 |     0 | 51.61% |    51.69% | 52.08% |   51.61% |
| Lands                           |  3.16% |   243 |     52.09% |  726 |    645 |     1 | 52.95% |    52.98% | 53.75% |   52.95% |
| Cephalid Breakfast              |  2.94% |   226 |     49.41% |  640 |    624 |     0 | 50.63% |    50.65% | 49.72% |   50.63% |
| Beanstalk Control (Non-Yorion)  |  2.93% |   225 |     42.83% |  530 |    655 |     0 | 44.73% |    44.52% | 44.15% |   44.73% |
| Sneak and Show                  |  2.93% |   225 |     48.23% |  574 |    614 |     1 | 48.32% |    48.27% | 48.29% |   48.32% |
| Jeskai Control                  |  2.59% |   199 |     45.39% |  477 |    526 |     0 | 47.56% |    47.51% | 47.35% |   47.56% |
| Nadu Midrange Combo             |  2.52% |   194 |     47.71% |  493 |    492 |     1 | 50.05% |    50.05% | 50.35% |   50.05% |
| Eldrazi                         |  2.17% |   167 |     52.67% |  513 |    445 |     0 | 53.55% |    53.74% | 53.72% |   53.55% |
| Omni-Tell                       |  2.07% |   159 |     48.29% |  429 |    450 |     0 | 48.81% |    48.76% | 47.60% |   48.81% |
| Doomsday                        |  2.03% |   156 |     45.77% |  391 |    408 |     0 | 48.94% |    48.91% | 49.18% |   48.94% |
| Grixis Tempo                    |  1.68% |   129 |     52.41% |  374 |    322 |     2 | 53.72% |    53.90% | 53.46% |   53.72% |
| Death and Taxes - BW (Yorion)   |  1.67% |   128 |     55.37% |  413 |    360 |     0 | 53.43% |    53.48% | 52.70% |   53.43% |
| Red Painter                     |  1.55% |   119 |     49.56% |  319 |    363 |     0 | 46.77% |    46.70% | 46.34% |   46.77% |
| Mono Black Reanimator           |  1.51% |   116 |     50.61% |  328 |    305 |     0 | 51.82% |    51.86% | 52.68% |   51.82% |
| Stiflenought                    |  1.34% |   103 |     45.87% |  268 |    307 |     0 | 46.61% |    46.55% | 45.72% |   46.61% |
| Cradle Control                  |  1.28% |    98 |     50.08% |  282 |    300 |     0 | 48.45% |    48.43% | 48.40% |   48.45% |
| Saga Storm                      |  1.18% |    91 |     54.00% |  285 |    259 |     0 | 52.39% |    52.46% | 51.95% |   52.39% |
| Blue Painter                    |  1.17% |    90 |     41.08% |  201 |    262 |     0 | 43.41% |    43.33% | 43.68% |   43.41% |
| Grixis Control                  |  1.13% |    87 |     57.30% |  289 |    251 |     1 | 53.51% |    53.56% | 53.95% |   53.51% |
| Black Midrange                  |  1.04% |    80 |     41.56% |  175 |    235 |     0 | 42.68% |    42.65% | 41.56% |   42.68% |
| Other Aggro                     |  1.04% |    80 |     54.56% |  252 |    222 |     0 | 53.16% |    53.21% | 53.40% |   53.16% |
| Selesnya Depths                 |  0.83% |    64 |     47.95% |  179 |    170 |     0 | 51.29% |    51.30% | 51.76% |   51.29% |
| Esper Control                   |  0.72% |    55 |     44.59% |  134 |    153 |     2 | 46.71% |    46.67% | 47.65% |   46.71% |
| 8Cast                           |  0.69% |    53 |     42.96% |  105 |    136 |     0 | 43.57% |    43.51% | 46.40% |   43.57% |
| Mono Green Cloudpost            |  0.66% |    51 |     51.49% |  155 |    149 |     0 | 50.99% |    51.00% | 51.81% |   50.99% |
| Goblins (Vial)                  |  0.52% |    40 |     19.08% |   34 |    100 |     0 | 25.37% |    25.37% | 28.41% |   25.37% |
| Golgari Depths                  |  0.49% |    38 |     31.22% |   63 |    129 |     0 | 32.81% |    32.81% | 32.17% |   32.81% |
| Black Stompy                    |  0.47% |    36 |     42.13% |   78 |    111 |     0 | 41.27% |    41.08% | 39.14% |   41.27% |
| Unknown Deck                    |  0.47% |    36 |     15.44% |   17 |     56 |     0 | 23.29% |    23.29% | 27.52% |   23.29% |
| Nadu Cradle Combo               |  0.44% |    34 |     49.29% |   97 |    101 |     0 | 48.99% |    48.98% | 46.54% |   48.99% |
| Beanstalk Control (Yorion)      |  0.42% |    32 |     43.49% |   77 |    101 |     0 | 43.26% |    43.26% | 45.88% |   43.26% |
| Esper Vial                      |  0.39% |    30 |     37.89% |   59 |     79 |     0 | 42.75% |    42.65% | 45.14% |   42.75% |
| Maverick                        |  0.38% |    29 |     34.47% |   49 |     84 |     0 | 36.84% |    36.84% | 39.08% |   36.84% |
| Dredge                          |  0.36% |    28 |     40.08% |   62 |     85 |     0 | 42.18% |    42.07% | 41.94% |   42.18% |
| Stoneblade                      |  0.36% |    28 |     45.91% |   59 |     82 |     0 | 41.84% |    41.84% | 43.51% |   41.84% |
| Necrodominance Combo            |  0.35% |    27 |     48.64% |   78 |     81 |     0 | 49.06% |    49.04% | 45.77% |   49.06% |
| Death and Taxes (60 Card)       |  0.34% |    26 |     35.91% |   48 |     85 |     0 | 36.09% |    36.09% | 38.27% |   36.09% |
| Naya Stompy                     |  0.34% |    26 |     60.16% |   84 |     68 |     0 | 55.26% |    55.26% | 53.67% |   55.26% |
| Creative Technique              |  0.33% |    25 |     41.96% |   60 |     80 |     0 | 42.86% |    42.86% | 43.25% |   42.86% |
| White Stompy                    |  0.33% |    25 |     44.53% |   61 |     75 |     0 | 44.85% |    44.85% | 46.87% |   44.85% |
| Boros Stompy                    |  0.30% |    23 |     47.85% |   64 |     64 |     0 | 50.00% |    50.00% | 50.39% |   50.00% |
| Colorless Cloudpost             |  0.30% |    23 |     43.99% |   56 |     61 |     0 | 47.86% |    47.86% | 47.32% |   47.86% |
| Ninjas                          |  0.30% |    23 |     59.42% |   76 |     66 |     0 | 53.52% |    53.52% | 52.68% |   53.52% |
| The EPIC Storm                  |  0.29% |    22 |     50.88% |   63 |     74 |     0 | 45.99% |    45.99% | 47.08% |   45.99% |
| ANT                             |  0.27% |    21 |     39.55% |   50 |     67 |     0 | 42.74% |    42.74% | 41.72% |   42.74% |
| Other Permanent Combo           |  0.25% |    19 |     55.67% |   61 |     57 |     0 | 51.69% |    51.69% | 52.58% |   51.69% |
| Other Stompy                    |  0.25% |    19 |     57.94% |   63 |     58 |     0 | 52.07% |    52.07% | 54.17% |   52.07% |
| Other Control                   |  0.23% |    18 |     60.42% |   66 |     52 |     0 | 55.93% |    56.03% | 55.53% |   55.93% |
| Boros Energy                    |  0.22% |    17 |     56.31% |   54 |     48 |     0 | 52.94% |    52.94% | 50.05% |   52.94% |
| Gruul Stompy                    |  0.22% |    17 |     49.24% |   43 |     44 |     0 | 49.43% |    49.43% | 40.95% |   49.43% |
| Infect                          |  0.21% |    16 |     36.83% |   34 |     42 |     0 | 44.74% |    44.74% | 43.93% |   44.74% |
| Nic Fit                         |  0.21% |    16 |     29.10% |   25 |     52 |     0 | 32.47% |    32.47% | 36.76% |   32.47% |
| Coveted Jewel Combo             |  0.20% |    15 |     46.44% |   37 |     42 |     0 | 46.84% |    46.84% | 43.11% |   46.84% |
