8Cast -- 1.63% of field, won 44.74% of matches
+---------------------------------+----------------+---------------+----------+----------+
|           8Cast vs.             |  September +   |  September +  | Post-EoE | Post-EoE |
|                                 | October Record | October Win % |  Record  |  Win %   |
+---------------------------------+----------------+---------------+----------+----------+
| Dimir Reanimator                |     5-2-0      |        71.43% | 12-20-0  |   37.50% |
| Red Stompy                      |     1-2-0      |        33.33% |  7-6-0   |   53.85% |
| Eldrazi                         |     0-0-0      |           --- |  1-5-0   |   16.67% |
| Mystic Forge Combo              |     1-2-0      |        33.33% |  5-9-0   |   35.71% |
| Izzet Tempo                     |     0-0-0      |           --- |  2-2-0   |   50.00% |
| Dimir Tempo                     |     0-0-0      |           --- |  5-4-0   |   55.56% |
| Jeskai Control                  |     2-0-0      |       100.00% |  3-0-0   |  100.00% |
| Cephalid Breakfast              |     0-4-0      |         0.00% |  0-7-0   |    0.00% |
| Oops All Spells                 |     1-1-0      |        50.00% |  6-6-0   |   50.00% |
| Lands                           |     0-1-0      |         0.00% |  2-1-0   |   66.67% |
| Sneak and Show                  |     0-1-0      |         0.00% |  3-3-0   |   50.00% |
| Nadu Midrange Combo             |     0-0-0      |           --- |  2-2-0   |   50.00% |
| Doomsday                        |     1-0-0      |       100.00% |  2-3-0   |   40.00% |
| Grixis Control                  |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Death and Taxes - BW (Yorion)   |     0-1-0      |         0.00% |  2-2-0   |   50.00% |
| Saga Storm                      |     0-0-0      |           --- |  0-0-0   |      --- |
| Beanstalk Control (Non-Yorion)  |     1-0-0      |       100.00% |  4-1-0   |   80.00% |
| Other Aggro                     |     0-0-0      |           --- |  0-2-0   |    0.00% |
| Grixis Tempo                    |     1-1-0      |        50.00% |  2-2-0   |   50.00% |
| Omni-Tell                       |     2-0-0      |       100.00% |  4-2-0   |   66.67% |
| Mono Black Reanimator           |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Red Painter                     |     0-0-0      |           --- |  2-1-0   |   66.67% |
| Death and Taxes (60 Card)       |     0-1-0      |         0.00% |  0-2-0   |    0.00% |
| Creative Technique              |     0-0-0      |           --- |  0-0-0   |      --- |
| Mono Green Cloudpost            |     1-0-0      |       100.00% |  2-1-0   |   66.67% |
| Blue Painter                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Selesnya Depths                 |     0-1-0      |         0.00% |  1-1-0   |   50.00% |
| Sultai Tempo                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Cradle Control                  |     0-1-0      |         0.00% |  0-2-0   |    0.00% |
| Nadu Cradle Combo               |     0-0-0      |           --- |  0-0-0   |      --- |
| Unknown Deck                    |     0-0-0      |           --- |  2-0-0   |  100.00% |
| The EPIC Storm                  |     0-0-0      |           --- |  0-1-0   |    0.00% |
