Black Midrange -- 1.41% of field, won 45.83% of matches
+---------------------------------+----------------+---------------+----------+----------+
|       Black Midrange vs.        |  September +   |  September +  | Post-EoE | Post-EoE |
|                                 | October Record | October Win % |  Record  |  Win %   |
+---------------------------------+----------------+---------------+----------+----------+
| Dimir Reanimator                |     1-5-0      |        16.67% |  2-14-0  |   12.50% |
| Red Stompy                      |     0-1-0      |         0.00% |  5-7-0   |   41.67% |
| Eldrazi                         |     1-0-0      |       100.00% |  3-2-0   |   60.00% |
| Mystic Forge Combo              |     0-1-0      |         0.00% |  3-6-0   |   33.33% |
| Izzet Tempo                     |     0-1-0      |         0.00% |  5-4-0   |   55.56% |
| Dimir Tempo                     |     0-3-0      |         0.00% |  2-14-0  |   12.50% |
| Jeskai Control                  |     2-1-0      |        66.67% |  4-3-0   |   57.14% |
| Cephalid Breakfast              |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Oops All Spells                 |     1-0-0      |       100.00% |  3-6-0   |   33.33% |
| Lands                           |     0-0-0      |           --- |  1-4-0   |   20.00% |
| Sneak and Show                  |     0-0-0      |           --- |  3-6-0   |   33.33% |
| Nadu Midrange Combo             |     1-0-0      |       100.00% |  3-3-0   |   50.00% |
| Doomsday                        |     0-0-0      |           --- |  1-1-0   |   50.00% |
| Grixis Control                  |     0-0-0      |           --- |  3-0-0   |  100.00% |
| Death and Taxes - BW (Yorion)   |     0-1-0      |         0.00% |  1-3-0   |   25.00% |
| Saga Storm                      |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Beanstalk Control (Non-Yorion)  |     0-0-0      |           --- |  1-2-0   |   33.33% |
| Other Aggro                     |     0-0-0      |           --- |  1-2-0   |   33.33% |
| Grixis Tempo                    |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Omni-Tell                       |     1-0-0      |       100.00% |  4-4-0   |   50.00% |
| Mono Black Reanimator           |     0-0-0      |           --- |  0-0-0   |      --- |
| Red Painter                     |     1-0-0      |       100.00% |  3-0-0   |  100.00% |
| Death and Taxes (60 Card)       |     1-0-0      |       100.00% |  2-0-0   |  100.00% |
| Creative Technique              |     0-0-0      |           --- |  0-0-0   |      --- |
| Mono Green Cloudpost            |     0-0-0      |           --- |  1-1-0   |   50.00% |
| Blue Painter                    |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Selesnya Depths                 |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Sultai Tempo                    |     0-0-0      |           --- |  0-0-0   |      --- |
| 8Cast                           |     0-0-0      |           --- |  0-0-0   |      --- |
| Cradle Control                  |     0-0-0      |           --- |  1-1-0   |   50.00% |
| Nadu Cradle Combo               |     0-0-0      |           --- |  0-0-0   |      --- |
| Unknown Deck                    |     0-0-0      |           --- |  1-0-0   |  100.00% |
