Death and Taxes (60 Card) -- 2.23% of field, won 33.33% of matches
+---------------------------------+----------------+---------------+----------+----------+
| Death and Taxes (60 Card) vs.   |  September +   |  September +  | Post-EoE | Post-EoE |
|                                 | October Record | October Win % |  Record  |  Win %   |
+---------------------------------+----------------+---------------+----------+----------+
| Dimir Reanimator                |     4-12-0     |        25.00% |  7-19-0  |   26.92% |
| Red Stompy                      |     0-0-0      |           --- |  3-4-0   |   42.86% |
| Eldrazi                         |     1-3-0      |        25.00% |  3-5-0   |   37.50% |
| Mystic Forge Combo              |     2-2-0      |        50.00% |  2-5-0   |   28.57% |
| Izzet Tempo                     |     0-0-0      |           --- |  2-4-0   |   33.33% |
| Dimir Tempo                     |     1-2-0      |        33.33% |  2-4-0   |   33.33% |
| Jeskai Control                  |     1-1-0      |        50.00% |  1-3-0   |   25.00% |
| Cephalid Breakfast              |     1-2-0      |        33.33% |  1-2-0   |   33.33% |
| Oops All Spells                 |     1-3-0      |        25.00% |  2-3-0   |   40.00% |
| Lands                           |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Sneak and Show                  |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Nadu Midrange Combo             |     0-0-0      |           --- |  0-0-0   |      --- |
| Doomsday                        |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Grixis Control                  |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Death and Taxes - BW (Yorion)   |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Saga Storm                      |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Beanstalk Control (Non-Yorion)  |     0-2-0      |         0.00% |  0-3-0   |    0.00% |
| Other Aggro                     |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Grixis Tempo                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Omni-Tell                       |     1-0-0      |       100.00% |  1-1-0   |   50.00% |
| Mono Black Reanimator           |     0-0-0      |           --- |  0-0-0   |      --- |
| Red Painter                     |     0-0-0      |           --- |  0-0-0   |      --- |
| Creative Technique              |     0-1-0      |         0.00% |  0-1-0   |    0.00% |
| Mono Green Cloudpost            |     1-1-0      |        50.00% |  2-2-0   |   50.00% |
| Blue Painter                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Selesnya Depths                 |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Sultai Tempo                    |     0-0-0      |           --- |  0-0-0   |      --- |
| 8Cast                           |     1-0-0      |       100.00% |  2-0-0   |  100.00% |
| Cradle Control                  |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Nadu Cradle Combo               |     0-0-0      |           --- |  0-0-0   |      --- |
| Unknown Deck                    |     0-0-0      |           --- |  0-0-0   |      --- |
| The EPIC Storm                  |     0-0-0      |           --- |  0-0-0   |      --- |
