Dimir Reanimator -- 19.12% of field, won 51.65% of matches
+---------------------------------+----------------+---------------+-----------+----------+
|      Dimir Reanimator vs.       |  September +   |  September +  | Post-EoE  | Post-EoE |
|                                 | October Record | October Win % |  Record   |  Win %   |
+---------------------------------+----------------+---------------+-----------+----------+
| Red Stompy                      |    40-56-0     |        41.67% | 106-128-0 |   45.30% |
| Eldrazi                         |    26-32-0     |        44.83% |  56-72-0  |   43.75% |
| Mystic Forge Combo              |    34-29-0     |        53.97% | 123-93-0  |   56.94% |
| Izzet Tempo                     |    27-33-0     |        45.00% |  91-74-0  |   55.15% |
| Dimir Tempo                     |    23-39-0     |        37.10% | 119-109-0 |   52.19% |
| Jeskai Control                  |    29-14-0     |        67.44% |  57-39-0  |   59.38% |
| Cephalid Breakfast              |    26-20-0     |        56.52% |  60-56-0  |   51.72% |
| Oops All Spells                 |    26-13-0     |        66.67% |  96-52-0  |   64.86% |
| Lands                           |    17-18-0     |        48.57% |  60-50-0  |   54.55% |
| Sneak and Show                  |     26-7-0     |        78.79% |  58-18-0  |   76.32% |
| Nadu Midrange Combo             |    10-11-0     |        47.62% |  39-37-0  |   51.32% |
| Doomsday                        |     9-7-0      |        56.25% |  31-14-0  |   68.89% |
| Grixis Control                  |    11-15-0     |        42.31% |  15-24-0  |   38.46% |
| Death and Taxes - BW (Yorion)   |     8-10-0     |        44.44% |  18-26-0  |   40.91% |
| Saga Storm                      |     7-7-0      |        50.00% |  32-19-0  |   62.75% |
| Beanstalk Control (Non-Yorion)  |     8-9-0      |        47.06% |  42-24-0  |   63.64% |
| Other Aggro                     |     5-9-0      |        35.71% |  19-35-0  |   35.19% |
| Grixis Tempo                    |     5-4-0      |        55.56% |  14-14-0  |   50.00% |
| Omni-Tell                       |     6-2-0      |        75.00% |  27-10-0  |   72.97% |
| Mono Black Reanimator           |     10-4-0     |        71.43% |  19-6-0   |   76.00% |
| Red Painter                     |     6-6-0      |        50.00% |  15-21-0  |   41.67% |
| Death and Taxes (60 Card)       |     12-4-0     |        75.00% |  19-7-0   |   73.08% |
| Creative Technique              |     8-5-0      |        61.54% |   8-5-0   |   61.54% |
| Mono Green Cloudpost            |     6-3-0      |        66.67% |  20-16-0  |   55.56% |
| Blue Painter                    |     4-1-0      |        80.00% |   7-2-0   |   77.78% |
| Selesnya Depths                 |     2-6-0      |        25.00% |  10-10-0  |   50.00% |
| Sultai Tempo                    |     8-6-0      |        57.14% |   9-9-0   |   50.00% |
| 8Cast                           |     2-5-0      |        28.57% |  20-12-0  |   62.50% |
| Cradle Control                  |     3-6-0      |        33.33% |  27-27-0  |   50.00% |
| Nadu Cradle Combo               |     3-4-0      |        42.86% |  6-12-0   |   33.33% |
| Unknown Deck                    |     3-0-0      |       100.00% |   5-2-0   |   71.43% |
