Doomsday -- 2.42% of field, won 44.30% of matches
+---------------------------------+----------------+---------------+----------+----------+
|          Doomsday vs.           |  September +   |  September +  | Post-EoE | Post-EoE |
|                                 | October Record | October Win % |  Record  |  Win %   |
+---------------------------------+----------------+---------------+----------+----------+
| Dimir Reanimator                |     7-9-0      |        43.75% | 14-31-0  |   31.11% |
| Red Stompy                      |     1-2-0      |        33.33% |  11-8-0  |   57.89% |
| Eldrazi                         |     4-4-0      |        50.00% |  7-7-0   |   50.00% |
| Mystic Forge Combo              |     4-1-0      |        80.00% | 12-10-0  |   54.55% |
| Izzet Tempo                     |     2-3-0      |        40.00% |  5-7-0   |   41.67% |
| Dimir Tempo                     |     1-1-0      |        50.00% |  6-9-0   |   40.00% |
| Jeskai Control                  |     1-1-0      |        50.00% |  1-5-0   |   16.67% |
| Cephalid Breakfast              |     2-5-0      |        28.57% |  5-8-0   |   38.46% |
| Oops All Spells                 |     0-1-0      |         0.00% |  3-8-0   |   27.27% |
| Lands                           |     2-0-0      |       100.00% |  5-2-0   |   71.43% |
| Sneak and Show                  |     0-1-0      |         0.00% |  4-4-0   |   50.00% |
| Nadu Midrange Combo             |     1-1-0      |        50.00% |  2-4-0   |   33.33% |
| Grixis Control                  |     1-3-0      |        25.00% |  1-3-0   |   25.00% |
| Death and Taxes - BW (Yorion)   |     0-1-0      |         0.00% |  1-2-0   |   33.33% |
| Saga Storm                      |     2-0-0      |       100.00% |  3-1-0   |   75.00% |
| Beanstalk Control (Non-Yorion)  |     1-1-0      |        50.00% |  5-3-0   |   62.50% |
| Other Aggro                     |     0-0-0      |           --- |  1-1-0   |   50.00% |
| Grixis Tempo                    |     1-0-0      |       100.00% |  1-1-0   |   50.00% |
| Omni-Tell                       |     0-0-0      |           --- |  1-2-0   |   33.33% |
| Mono Black Reanimator           |     1-1-0      |        50.00% |  5-2-0   |   71.43% |
| Red Painter                     |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Death and Taxes (60 Card)       |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Creative Technique              |     0-0-0      |           --- |  0-0-0   |      --- |
| Mono Green Cloudpost            |     0-0-0      |           --- |  1-1-0   |   50.00% |
| Blue Painter                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Selesnya Depths                 |     0-0-0      |           --- |  0-0-0   |      --- |
| Sultai Tempo                    |     0-1-0      |         0.00% |  0-2-0   |    0.00% |
| 8Cast                           |     0-1-0      |         0.00% |  3-2-0   |   60.00% |
| Cradle Control                  |     0-0-0      |           --- |  3-2-0   |   60.00% |
| Nadu Cradle Combo               |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Unknown Deck                    |     0-0-0      |           --- |  0-1-0   |    0.00% |
| The EPIC Storm                  |     0-0-0      |           --- |  0-0-0   |      --- |
