Grixis Tempo -- 2.83% of field, won 47.89% of matches
+---------------------------------+----------------+---------------+----------+----------+
|        Grixis Tempo vs.         |  September +   |  September +  | Post-EoE | Post-EoE |
|                                 | October Record | October Win % |  Record  |  Win %   |
+---------------------------------+----------------+---------------+----------+----------+
| Dimir Reanimator                |     4-5-0      |        44.44% | 14-14-0  |   50.00% |
| Red Stompy                      |     0-4-0      |         0.00% |  3-6-0   |   33.33% |
| Eldrazi                         |     2-0-0      |       100.00% |  2-1-0   |   66.67% |
| Mystic Forge Combo              |     1-2-0      |        33.33% |  2-4-0   |   33.33% |
| Izzet Tempo                     |     0-0-0      |           --- |  3-1-0   |   75.00% |
| Dimir Tempo                     |     4-2-0      |        66.67% |  5-4-0   |   55.56% |
| Jeskai Control                  |     2-4-0      |        33.33% |  3-5-0   |   37.50% |
| Cephalid Breakfast              |     1-1-0      |        50.00% |  2-2-0   |   50.00% |
| Oops All Spells                 |     3-2-0      |        60.00% |  4-4-0   |   50.00% |
| Lands                           |     0-1-0      |         0.00% |  1-1-0   |   50.00% |
| Sneak and Show                  |     1-1-0      |        50.00% |  2-2-0   |   50.00% |
| Nadu Midrange Combo             |     0-2-0      |         0.00% |  0-6-0   |    0.00% |
| Doomsday                        |     0-1-0      |         0.00% |  1-1-0   |   50.00% |
| Grixis Control                  |     0-0-0      |           --- |  0-0-0   |      --- |
| Death and Taxes - BW (Yorion)   |     0-0-0      |           --- |  0-0-0   |      --- |
| Saga Storm                      |     0-1-0      |         0.00% |  1-1-0   |   50.00% |
| Beanstalk Control (Non-Yorion)  |     0-1-0      |         0.00% |  1-3-0   |   25.00% |
| Other Aggro                     |     2-0-0      |       100.00% |  2-2-0   |   50.00% |
| Omni-Tell                       |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Mono Black Reanimator           |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Red Painter                     |     1-0-0      |       100.00% |  3-0-0   |  100.00% |
| Death and Taxes (60 Card)       |     0-0-0      |           --- |  0-0-0   |      --- |
| Creative Technique              |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Mono Green Cloudpost            |     0-0-0      |           --- |  0-0-0   |      --- |
| Blue Painter                    |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Selesnya Depths                 |     0-0-0      |           --- |  0-0-0   |      --- |
| Sultai Tempo                    |     0-1-0      |         0.00% |  1-1-0   |   50.00% |
| 8Cast                           |     1-1-0      |        50.00% |  2-2-0   |   50.00% |
| Cradle Control                  |     2-2-0      |        50.00% |  2-2-0   |   50.00% |
| Nadu Cradle Combo               |     2-0-0      |       100.00% |  2-0-0   |  100.00% |
| Unknown Deck                    |     0-0-0      |           --- |  0-0-0   |      --- |
