Izzet Tempo -- 5.72% of field, won 52.90% of matches
+---------------------------------+----------------+---------------+----------+----------+
|        Izzet Tempo vs.          |  September +   |  September +  | Post-EoE | Post-EoE |
|                                 | October Record | October Win % |  Record  |  Win %   |
+---------------------------------+----------------+---------------+----------+----------+
| Dimir Reanimator                |    33-27-0     |        55.00% | 74-91-0  |   44.85% |
| Red Stompy                      |     18-6-0     |        75.00% | 46-23-0  |   66.67% |
| Eldrazi                         |    17-19-0     |        47.22% | 25-37-0  |   40.32% |
| Mystic Forge Combo              |     5-7-0      |        41.67% | 27-31-0  |   46.55% |
| Dimir Tempo                     |     7-8-0      |        46.67% | 21-27-0  |   43.75% |
| Jeskai Control                  |     4-14-0     |        22.22% | 11-25-0  |   30.56% |
| Cephalid Breakfast              |     8-1-0      |        88.89% | 18-14-0  |   56.25% |
| Oops All Spells                 |     10-3-0     |        76.92% | 30-20-0  |   60.00% |
| Lands                           |     2-5-0      |        28.57% |  5-27-0  |   15.62% |
| Sneak and Show                  |     5-4-0      |        55.56% | 15-12-0  |   55.56% |
| Nadu Midrange Combo             |     2-3-0      |        40.00% | 10-12-0  |   45.45% |
| Doomsday                        |     3-2-0      |        60.00% |  7-5-0   |   58.33% |
| Grixis Control                  |     4-4-0      |        50.00% |  8-9-0   |   47.06% |
| Death and Taxes - BW (Yorion)   |     4-2-0      |        66.67% | 12-11-0  |   52.17% |
| Saga Storm                      |     4-3-0      |        57.14% | 10-11-0  |   47.62% |
| Beanstalk Control (Non-Yorion)  |     4-2-0      |        66.67% | 11-11-0  |   50.00% |
| Other Aggro                     |     3-5-0      |        37.50% | 12-16-0  |   42.86% |
| Grixis Tempo                    |     0-0-0      |           --- |  1-3-0   |   25.00% |
| Omni-Tell                       |     0-0-0      |           --- |  10-8-0  |   55.56% |
| Mono Black Reanimator           |     2-1-0      |        66.67% |  3-3-0   |   50.00% |
| Red Painter                     |     2-2-0      |        50.00% |  10-5-0  |   66.67% |
| Death and Taxes (60 Card)       |     0-0-0      |           --- |  4-2-0   |   66.67% |
| Creative Technique              |     2-0-0      |       100.00% |  4-0-0   |  100.00% |
| Mono Green Cloudpost            |     1-1-0      |        50.00% |  3-5-0   |   37.50% |
| Blue Painter                    |     1-2-0      |        33.33% |  1-2-0   |   33.33% |
| Selesnya Depths                 |     0-1-0      |         0.00% |  2-6-0   |   25.00% |
| Sultai Tempo                    |     2-1-0      |        66.67% |  3-1-0   |   75.00% |
| 8Cast                           |     0-0-0      |           --- |  2-2-0   |   50.00% |
| Cradle Control                  |     0-0-0      |           --- |  5-7-0   |   41.67% |
| Nadu Cradle Combo               |     0-1-0      |         0.00% |  3-3-0   |   50.00% |
| Unknown Deck                    |     0-0-0      |           --- |  1-0-0   |  100.00% |
