Mono Green Cloudpost -- 2.12% of field, won 42.55% of matches
+---------------------------------+----------------+---------------+----------+----------+
|    Mono Green Cloudpost vs.     |  September +   |  September +  | Post-EoE | Post-EoE |
|                                 | October Record | October Win % |  Record  |  Win %   |
+---------------------------------+----------------+---------------+----------+----------+
| Dimir Reanimator                |     3-6-0      |        33.33% | 16-20-0  |   44.44% |
| Red Stompy                      |     1-0-0      |       100.00% |  6-5-0   |   54.55% |
| Eldrazi                         |     3-1-0      |        75.00% |  5-1-0   |   83.33% |
| Mystic Forge Combo              |     2-2-0      |        50.00% |  7-7-0   |   50.00% |
| Izzet Tempo                     |     1-1-0      |        50.00% |  5-3-0   |   62.50% |
| Dimir Tempo                     |     0-2-0      |         0.00% |  8-8-0   |   50.00% |
| Jeskai Control                  |     1-0-0      |       100.00% |  3-2-0   |   60.00% |
| Cephalid Breakfast              |     2-0-0      |       100.00% |  5-5-0   |   50.00% |
| Oops All Spells                 |     0-0-0      |           --- |  4-2-0   |   66.67% |
| Lands                           |     1-2-0      |        33.33% |  6-2-0   |   75.00% |
| Sneak and Show                  |     0-1-0      |         0.00% |  1-1-0   |   50.00% |
| Nadu Midrange Combo             |     0-1-0      |         0.00% |  0-2-0   |    0.00% |
| Doomsday                        |     0-0-0      |           --- |  1-1-0   |   50.00% |
| Grixis Control                  |     1-0-0      |       100.00% |  2-0-0   |  100.00% |
| Death and Taxes - BW (Yorion)   |     0-0-0      |           --- |  2-0-0   |  100.00% |
| Saga Storm                      |     1-1-0      |        50.00% |  1-1-0   |   50.00% |
| Beanstalk Control (Non-Yorion)  |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Other Aggro                     |     0-1-0      |         0.00% |  0-5-0   |    0.00% |
| Grixis Tempo                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Omni-Tell                       |     0-0-0      |           --- |  0-0-0   |      --- |
| Mono Black Reanimator           |     0-0-0      |           --- |  0-0-0   |      --- |
| Red Painter                     |     0-2-0      |         0.00% |  4-4-0   |   50.00% |
| Death and Taxes (60 Card)       |     1-1-0      |        50.00% |  2-2-0   |   50.00% |
| Creative Technique              |     0-0-0      |           --- |  0-0-0   |      --- |
| Blue Painter                    |     1-0-0      |       100.00% |  1-1-0   |   50.00% |
| Selesnya Depths                 |     0-0-0      |           --- |  2-1-0   |   66.67% |
| Sultai Tempo                    |     0-0-0      |           --- |  0-0-0   |      --- |
| 8Cast                           |     0-1-0      |         0.00% |  1-2-0   |   33.33% |
| Cradle Control                  |     1-2-0      |        33.33% |  3-3-0   |   50.00% |
| Nadu Cradle Combo               |     0-1-0      |         0.00% |  1-1-0   |   50.00% |
| Unknown Deck                    |     0-0-0      |           --- |  0-0-0   |      --- |
| The EPIC Storm                  |     0-0-0      |           --- |  0-1-0   |    0.00% |
