Mystic Forge Combo -- 5.71% of field, won 53.01% of matches
+---------------------------------+----------------+---------------+----------+----------+
|     Mystic Forge Combo vs.      |  September +   |  September +  | Post-EoE | Post-EoE |
|                                 | October Record | October Win % |  Record  |  Win %   |
+---------------------------------+----------------+---------------+----------+----------+
| Dimir Reanimator                |    29-34-0     |        46.03% | 93-123-0 |   43.06% |
| Red Stompy                      |    17-12-0     |        58.62% | 57-29-0  |   66.28% |
| Eldrazi                         |     7-6-0      |        53.85% | 23-17-0  |   57.50% |
| Izzet Tempo                     |     7-5-0      |        58.33% | 31-27-0  |   53.45% |
| Dimir Tempo                     |     7-7-0      |        50.00% | 29-35-0  |   45.31% |
| Jeskai Control                  |     4-5-0      |        44.44% | 14-15-0  |   48.28% |
| Cephalid Breakfast              |     9-12-0     |        42.86% | 26-32-0  |   44.83% |
| Oops All Spells                 |     7-9-0      |        43.75% | 25-37-0  |   40.32% |
| Lands                           |     10-3-0     |        76.92% | 30-18-0  |   62.50% |
| Sneak and Show                  |     5-5-0      |        50.00% | 19-15-0  |   55.88% |
| Nadu Midrange Combo             |     3-4-0      |        42.86% | 15-19-0  |   44.12% |
| Doomsday                        |     1-4-0      |        20.00% | 10-12-0  |   45.45% |
| Grixis Control                  |     8-1-0      |        88.89% |  14-8-0  |   63.64% |
| Death and Taxes - BW (Yorion)   |     5-0-0      |       100.00% |  13-2-0  |   86.67% |
| Saga Storm                      |     2-1-0      |        66.67% |  3-7-0   |   30.00% |
| Beanstalk Control (Non-Yorion)  |     1-2-0      |        33.33% |  8-16-0  |   33.33% |
| Other Aggro                     |     1-2-0      |        33.33% |  15-7-0  |   68.18% |
| Grixis Tempo                    |     2-1-0      |        66.67% |  4-2-0   |   66.67% |
| Omni-Tell                       |     2-3-0      |        40.00% |  8-17-0  |   32.00% |
| Mono Black Reanimator           |     3-7-0      |        30.00% |  5-9-0   |   35.71% |
| Red Painter                     |     0-1-0      |         0.00% |  11-4-0  |   73.33% |
| Death and Taxes (60 Card)       |     2-2-0      |        50.00% |  5-2-0   |   71.43% |
| Creative Technique              |     1-3-0      |        25.00% |  1-3-0   |   25.00% |
| Mono Green Cloudpost            |     2-2-0      |        50.00% |  7-7-0   |   50.00% |
| Blue Painter                    |     5-2-0      |        71.43% |  6-3-0   |   66.67% |
| Selesnya Depths                 |     0-0-0      |           --- |  6-5-0   |   54.55% |
| Sultai Tempo                    |     2-2-0      |        50.00% |  2-3-0   |   40.00% |
| 8Cast                           |     2-1-0      |        66.67% |  9-5-0   |   64.29% |
| Cradle Control                  |     1-0-0      |       100.00% |  9-5-0   |   64.29% |
| Nadu Cradle Combo               |     1-3-0      |        25.00% |  2-6-0   |   25.00% |
| Unknown Deck                    |     0-0-0      |           --- |  0-0-0   |      --- |
