Nadu Midrange Combo -- 2.75% of field, won 45.69% of matches
+---------------------------------+----------------+---------------+----------+----------+
|    Nadu Midrange Combo vs.      |  September +   |  September +  | Post-EoE | Post-EoE |
|                                 | October Record | October Win % |  Record  |  Win %   |
+---------------------------------+----------------+---------------+----------+----------+
| Dimir Reanimator                |    11-10-0     |        52.38% | 37-39-0  |   48.68% |
| Red Stompy                      |     1-8-0      |        11.11% | 10-22-0  |   31.25% |
| Eldrazi                         |     2-2-0      |        50.00% |  8-10-0  |   44.44% |
| Mystic Forge Combo              |     4-3-0      |        57.14% | 19-15-0  |   55.88% |
| Izzet Tempo                     |     3-2-0      |        60.00% | 12-10-0  |   54.55% |
| Dimir Tempo                     |     2-3-0      |        40.00% | 17-12-0  |   58.62% |
| Jeskai Control                  |     2-2-0      |        50.00% |  4-4-0   |   50.00% |
| Cephalid Breakfast              |     0-5-0      |         0.00% |  5-14-0  |   26.32% |
| Oops All Spells                 |     1-4-0      |        20.00% | 12-11-0  |   52.17% |
| Lands                           |     2-1-0      |        66.67% |  6-10-0  |   37.50% |
| Sneak and Show                  |     3-1-0      |        75.00% |  9-9-0   |   50.00% |
| Doomsday                        |     1-1-0      |        50.00% |  4-2-0   |   66.67% |
| Grixis Control                  |     0-2-0      |         0.00% |  1-2-0   |   33.33% |
| Death and Taxes - BW (Yorion)   |     1-2-0      |        33.33% |  3-3-0   |   50.00% |
| Saga Storm                      |     1-0-0      |       100.00% |  2-3-0   |   40.00% |
| Beanstalk Control (Non-Yorion)  |     1-0-0      |       100.00% |  8-4-0   |   66.67% |
| Other Aggro                     |     1-0-0      |       100.00% |  2-1-0   |   66.67% |
| Grixis Tempo                    |     2-0-0      |       100.00% |  6-0-0   |  100.00% |
| Omni-Tell                       |     1-3-0      |        25.00% |  5-6-0   |   45.45% |
| Mono Black Reanimator           |     0-0-0      |           --- |  1-1-0   |   50.00% |
| Red Painter                     |     2-1-0      |        66.67% |  3-2-0   |   60.00% |
| Death and Taxes (60 Card)       |     0-0-0      |           --- |  0-0-0   |      --- |
| Creative Technique              |     0-0-0      |           --- |  0-0-0   |      --- |
| Mono Green Cloudpost            |     1-0-0      |       100.00% |  2-0-0   |  100.00% |
| Blue Painter                    |     1-0-0      |       100.00% |  2-0-0   |  100.00% |
| Selesnya Depths                 |     1-2-0      |        33.33% |  3-4-0   |   42.86% |
| Sultai Tempo                    |     1-0-0      |       100.00% |  1-1-0   |   50.00% |
| 8Cast                           |     0-0-0      |           --- |  2-2-0   |   50.00% |
| Cradle Control                  |     0-0-0      |           --- |  4-3-0   |   57.14% |
| Nadu Cradle Combo               |     0-0-0      |           --- |  0-2-0   |    0.00% |
| Unknown Deck                    |     0-0-0      |           --- |  1-0-0   |  100.00% |
