Nic Fit -- 0.77% of field, won 36.36% of matches
+---------------------------------+----------------+---------------+----------+----------+
|          Nic Fit vs.            |  September +   |  September +  | Post-EoE | Post-EoE |
|                                 | October Record | October Win % |  Record  |  Win %   |
+---------------------------------+----------------+---------------+----------+----------+
| Dimir Reanimator                |     0-2-0      |         0.00% |  0-4-0   |    0.00% |
| Red Stompy                      |     1-1-0      |        50.00% |  1-3-0   |   25.00% |
| Eldrazi                         |     0-1-0      |         0.00% |  0-2-0   |    0.00% |
| Mystic Forge Combo              |     0-0-0      |           --- |  0-0-0   |      --- |
| Izzet Tempo                     |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Dimir Tempo                     |     0-0-0      |           --- |  2-2-0   |   50.00% |
| Jeskai Control                  |     0-0-0      |           --- |  0-0-0   |      --- |
| Cephalid Breakfast              |     0-0-0      |           --- |  0-0-0   |      --- |
| Oops All Spells                 |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Lands                           |     0-0-0      |           --- |  0-0-0   |      --- |
| Sneak and Show                  |     0-1-0      |         0.00% |  0-2-0   |    0.00% |
| Nadu Midrange Combo             |     1-0-0      |       100.00% |  1-1-0   |   50.00% |
| Doomsday                        |     0-0-0      |           --- |  0-0-0   |      --- |
| Grixis Control                  |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Death and Taxes - BW (Yorion)   |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Saga Storm                      |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Beanstalk Control (Non-Yorion)  |     1-0-0      |       100.00% |  1-1-0   |   50.00% |
| Other Aggro                     |     0-0-0      |           --- |  0-0-0   |      --- |
| Grixis Tempo                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Omni-Tell                       |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Mono Black Reanimator           |     0-0-0      |           --- |  0-0-0   |      --- |
| Red Painter                     |     0-0-0      |           --- |  0-0-0   |      --- |
| Death and Taxes (60 Card)       |     0-0-0      |           --- |  0-0-0   |      --- |
| Creative Technique              |     0-0-0      |           --- |  0-0-0   |      --- |
| Mono Green Cloudpost            |     0-0-0      |           --- |  0-0-0   |      --- |
| Blue Painter                    |     0-0-0      |           --- |  0-0-0   |      --- |
| Selesnya Depths                 |     0-0-0      |           --- |  0-0-0   |      --- |
| Sultai Tempo                    |     0-0-0      |           --- |  0-0-0   |      --- |
| 8Cast                           |     0-0-0      |           --- |  0-0-0   |      --- |
| Cradle Control                  |     0-0-0      |           --- |  0-0-0   |      --- |
| Nadu Cradle Combo               |     0-0-0      |           --- |  0-0-0   |      --- |
| Unknown Deck                    |     0-0-0      |           --- |  0-0-0   |      --- |
| The EPIC Storm                  |     0-0-0      |           --- |  0-1-0   |    0.00% |
