Omni-Tell -- 2.47% of field, won 44.93% of matches
+---------------------------------+----------------+---------------+----------+----------+
|         Omni-Tell vs.           |  September +   |  September +  | Post-EoE | Post-EoE |
|                                 | October Record | October Win % |  Record  |  Win %   |
+---------------------------------+----------------+---------------+----------+----------+
| Dimir Reanimator                |     2-6-0      |        25.00% | 10-27-0  |   27.03% |
| Red Stompy                      |     4-0-0      |       100.00% |  12-5-0  |   70.59% |
| Eldrazi                         |     5-0-0      |       100.00% |  8-4-0   |   66.67% |
| Mystic Forge Combo              |     3-2-0      |        60.00% |  17-8-0  |   68.00% |
| Izzet Tempo                     |     0-0-0      |           --- |  8-10-0  |   44.44% |
| Dimir Tempo                     |     1-1-0      |        50.00% |  6-14-0  |   30.00% |
| Jeskai Control                  |     3-1-0      |        75.00% |  7-2-0   |   77.78% |
| Cephalid Breakfast              |     0-3-0      |         0.00% |  5-10-0  |   33.33% |
| Oops All Spells                 |     0-3-0      |         0.00% |  3-9-0   |   25.00% |
| Lands                           |     0-1-0      |         0.00% |  6-7-0   |   46.15% |
| Sneak and Show                  |     1-1-0      |        50.00% |  4-4-0   |   50.00% |
| Nadu Midrange Combo             |     3-1-0      |        75.00% |  6-5-0   |   54.55% |
| Doomsday                        |     0-0-0      |           --- |  2-1-0   |   66.67% |
| Grixis Control                  |     0-3-0      |         0.00% |  0-5-0   |    0.00% |
| Death and Taxes - BW (Yorion)   |     1-0-0      |       100.00% |  1-2-0   |   33.33% |
| Saga Storm                      |     0-1-0      |         0.00% |  3-3-0   |   50.00% |
| Beanstalk Control (Non-Yorion)  |     0-0-0      |           --- |  7-4-0   |   63.64% |
| Other Aggro                     |     1-2-0      |        33.33% |  4-3-0   |   57.14% |
| Grixis Tempo                    |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Mono Black Reanimator           |     0-0-0      |           --- |  2-0-0   |  100.00% |
| Red Painter                     |     1-0-0      |       100.00% |  1-1-0   |   50.00% |
| Death and Taxes (60 Card)       |     0-1-0      |         0.00% |  1-1-0   |   50.00% |
| Creative Technique              |     1-1-0      |        50.00% |  1-1-0   |   50.00% |
| Mono Green Cloudpost            |     0-0-0      |           --- |  0-0-0   |      --- |
| Blue Painter                    |     0-0-0      |           --- |  2-0-0   |  100.00% |
| Selesnya Depths                 |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Sultai Tempo                    |     1-0-0      |       100.00% |  2-1-0   |   66.67% |
| 8Cast                           |     0-2-0      |         0.00% |  2-4-0   |   33.33% |
| Cradle Control                  |     0-0-0      |           --- |  4-2-0   |   66.67% |
| Nadu Cradle Combo               |     1-2-0      |        33.33% |  3-2-0   |   60.00% |
| Unknown Deck                    |     0-0-0      |           --- |  1-0-0   |  100.00% |
