Other Aggro -- 2.29% of field, won 51.81% of matches
+---------------------------------+----------------+---------------+----------+----------+
|        Other Aggro vs.          |  September +   |  September +  | Post-EoE | Post-EoE |
|                                 | October Record | October Win % |  Record  |  Win %   |
+---------------------------------+----------------+---------------+----------+----------+
| Dimir Reanimator                |     9-5-0      |        64.29% | 35-19-0  |   64.81% |
| Red Stompy                      |     1-5-0      |        16.67% |  7-14-0  |   33.33% |
| Eldrazi                         |     3-3-0      |        50.00% |  7-5-0   |   58.33% |
| Mystic Forge Combo              |     2-1-0      |        66.67% |  7-15-0  |   31.82% |
| Izzet Tempo                     |     5-3-0      |        62.50% | 16-12-0  |   57.14% |
| Dimir Tempo                     |     2-3-0      |        40.00% |  12-6-0  |   66.67% |
| Jeskai Control                  |     1-1-0      |        50.00% |  3-4-0   |   42.86% |
| Cephalid Breakfast              |     2-1-0      |        66.67% |  5-1-0   |   83.33% |
| Oops All Spells                 |     3-0-0      |       100.00% |  6-5-0   |   54.55% |
| Lands                           |     1-2-0      |        33.33% |  6-5-0   |   54.55% |
| Sneak and Show                  |     2-0-0      |       100.00% |  8-5-0   |   61.54% |
| Nadu Midrange Combo             |     0-1-0      |         0.00% |  1-2-0   |   33.33% |
| Doomsday                        |     0-0-0      |           --- |  1-1-0   |   50.00% |
| Grixis Control                  |     1-2-0      |        33.33% |  2-2-0   |   50.00% |
| Death and Taxes - BW (Yorion)   |     1-0-0      |       100.00% |  4-1-0   |   80.00% |
| Saga Storm                      |     0-1-0      |         0.00% |  3-2-0   |   60.00% |
| Beanstalk Control (Non-Yorion)  |     0-0-0      |           --- |  2-1-0   |   66.67% |
| Grixis Tempo                    |     0-2-0      |         0.00% |  2-2-0   |   50.00% |
| Omni-Tell                       |     2-1-0      |        66.67% |  3-4-0   |   42.86% |
| Mono Black Reanimator           |     0-1-0      |         0.00% |  2-1-0   |   66.67% |
| Red Painter                     |     1-2-0      |        33.33% |  4-4-0   |   50.00% |
| Death and Taxes (60 Card)       |     0-1-0      |         0.00% |  0-1-0   |    0.00% |
| Creative Technique              |     0-0-0      |           --- |  0-0-0   |      --- |
| Mono Green Cloudpost            |     1-0-0      |       100.00% |  5-0-0   |  100.00% |
| Blue Painter                    |     3-0-0      |       100.00% |  4-0-0   |  100.00% |
| Selesnya Depths                 |     0-0-0      |           --- |  2-2-0   |   50.00% |
| Sultai Tempo                    |     0-0-0      |           --- |  0-0-0   |      --- |
| 8Cast                           |     0-0-0      |           --- |  2-0-0   |  100.00% |
| Cradle Control                  |     1-0-0      |       100.00% |  4-1-0   |   80.00% |
| Nadu Cradle Combo               |     0-1-0      |         0.00% |  0-3-0   |    0.00% |
| Unknown Deck                    |     0-0-0      |           --- |  0-0-0   |      --- |
