Saga Storm -- 2.59% of field, won 50.00% of matches
+---------------------------------+----------------+---------------+----------+----------+
|         Saga Storm vs.          |  September +   |  September +  | Post-EoE | Post-EoE |
|                                 | October Record | October Win % |  Record  |  Win %   |
+---------------------------------+----------------+---------------+----------+----------+
| Dimir Reanimator                |     7-7-0      |        50.00% | 19-32-0  |   37.25% |
| Red Stompy                      |     6-7-0      |        46.15% | 13-12-0  |   52.00% |
| Eldrazi                         |     4-5-0      |        44.44% |  4-8-0   |   33.33% |
| Mystic Forge Combo              |     1-2-0      |        33.33% |  7-3-0   |   70.00% |
| Izzet Tempo                     |     3-4-0      |        42.86% | 11-10-0  |   52.38% |
| Dimir Tempo                     |     2-2-0      |        50.00% |  4-8-0   |   33.33% |
| Jeskai Control                  |     3-2-0      |        60.00% |  4-3-0   |   57.14% |
| Cephalid Breakfast              |     2-2-0      |        50.00% |  5-4-0   |   55.56% |
| Oops All Spells                 |     3-1-0      |        75.00% |  8-4-0   |   66.67% |
| Lands                           |     1-2-0      |        33.33% |  9-5-0   |   64.29% |
| Sneak and Show                  |     2-2-0      |        50.00% |  2-4-0   |   33.33% |
| Nadu Midrange Combo             |     0-1-0      |         0.00% |  3-2-0   |   60.00% |
| Doomsday                        |     0-2-0      |         0.00% |  1-3-0   |   25.00% |
| Grixis Control                  |     1-0-0      |       100.00% |  2-1-0   |   66.67% |
| Death and Taxes - BW (Yorion)   |     1-0-0      |       100.00% |  2-0-0   |  100.00% |
| Beanstalk Control (Non-Yorion)  |     0-2-0      |         0.00% |  4-4-0   |   50.00% |
| Other Aggro                     |     1-0-0      |       100.00% |  2-3-0   |   40.00% |
| Grixis Tempo                    |     1-0-0      |       100.00% |  1-1-0   |   50.00% |
| Omni-Tell                       |     1-0-0      |       100.00% |  3-3-0   |   50.00% |
| Mono Black Reanimator           |     0-0-0      |           --- |  0-0-0   |      --- |
| Red Painter                     |     0-0-0      |           --- |  1-1-0   |   50.00% |
| Death and Taxes (60 Card)       |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Creative Technique              |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Mono Green Cloudpost            |     1-1-0      |        50.00% |  1-1-0   |   50.00% |
| Blue Painter                    |     0-1-0      |         0.00% |  0-2-0   |    0.00% |
| Selesnya Depths                 |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Sultai Tempo                    |     1-0-0      |       100.00% |  3-1-0   |   75.00% |
| 8Cast                           |     0-0-0      |           --- |  0-0-0   |      --- |
| Cradle Control                  |     0-0-0      |           --- |  2-1-0   |   66.67% |
| Nadu Cradle Combo               |     1-0-0      |       100.00% |  1-1-0   |   50.00% |
| Unknown Deck                    |     0-0-0      |           --- |  1-1-0   |   50.00% |
