Stiflenought -- 2.33% of field, won 20.00% of matches
+---------------------------------+----------------+---------------+----------+----------+
|        Stiflenought vs.         |  September +   |  September +  | Post-EoE | Post-EoE |
|                                 | October Record | October Win % |  Record  |  Win %   |
+---------------------------------+----------------+---------------+----------+----------+
| Dimir Reanimator                |     1-0-0      |       100.00% | 13-12-0  |   52.00% |
| Red Stompy                      |     0-0-0      |           --- | 10-10-0  |   50.00% |
| Eldrazi                         |     0-1-0      |         0.00% |  1-7-0   |   12.50% |
| Mystic Forge Combo              |     0-0-0      |           --- |  7-9-0   |   43.75% |
| Izzet Tempo                     |     0-0-0      |           --- |  5-6-0   |   45.45% |
| Dimir Tempo                     |     0-1-0      |         0.00% |  2-11-0  |   15.38% |
| Jeskai Control                  |     0-0-0      |           --- |  2-2-0   |   50.00% |
| Cephalid Breakfast              |     0-0-0      |           --- |  1-4-0   |   20.00% |
| Oops All Spells                 |     0-0-0      |           --- |  5-4-0   |   55.56% |
| Lands                           |     0-0-0      |           --- |  2-5-0   |   28.57% |
| Sneak and Show                  |     0-0-0      |           --- |  6-1-0   |   85.71% |
| Nadu Midrange Combo             |     0-0-0      |           --- |  2-0-0   |  100.00% |
| Doomsday                        |     0-0-0      |           --- |  2-1-0   |   66.67% |
| Grixis Control                  |     0-0-0      |           --- |  2-1-0   |   66.67% |
| Death and Taxes - BW (Yorion)   |     0-1-0      |         0.00% |  1-1-0   |   50.00% |
| Saga Storm                      |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Beanstalk Control (Non-Yorion)  |     0-0-0      |           --- |  0-4-0   |    0.00% |
| Other Aggro                     |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Grixis Tempo                    |     0-0-0      |           --- |  0-3-0   |    0.00% |
| Omni-Tell                       |     0-0-0      |           --- |  1-2-0   |   33.33% |
| Mono Black Reanimator           |     0-0-0      |           --- |  0-0-0   |      --- |
| Red Painter                     |     0-0-0      |           --- |  1-3-0   |   25.00% |
| Death and Taxes (60 Card)       |     0-0-0      |           --- |  0-0-0   |      --- |
| Creative Technique              |     0-0-0      |           --- |  0-0-0   |      --- |
| Mono Green Cloudpost            |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Blue Painter                    |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Selesnya Depths                 |     0-0-0      |           --- |  1-2-0   |   33.33% |
| Sultai Tempo                    |     0-0-0      |           --- |  1-0-0   |  100.00% |
| 8Cast                           |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Cradle Control                  |     0-0-0      |           --- |  0-2-0   |    0.00% |
| Nadu Cradle Combo               |     0-1-0      |         0.00% |  0-1-0   |    0.00% |
| Unknown Deck                    |     0-0-0      |           --- |  1-1-0   |   50.00% |
