The EPIC Storm -- 1.40% of field, won 42.11% of matches
+---------------------------------+----------------+---------------+----------+----------+
|       The EPIC Storm vs.        |  September +   |  September +  | Post-EoE | Post-EoE |
|                                 | October Record | October Win % |  Record  |  Win %   |
+---------------------------------+----------------+---------------+----------+----------+
| Dimir Reanimator                |     1-4-0      |        20.00% |  2-8-0   |   20.00% |
| Red Stompy                      |     2-1-0      |        66.67% |  2-2-0   |   50.00% |
| Eldrazi                         |     1-3-0      |        25.00% |  1-3-0   |   25.00% |
| Mystic Forge Combo              |     2-1-0      |        66.67% |  3-2-0   |   60.00% |
| Izzet Tempo                     |     2-0-0      |       100.00% |  2-1-0   |   66.67% |
| Dimir Tempo                     |     0-0-0      |           --- |  2-2-0   |   50.00% |
| Jeskai Control                  |     0-1-0      |         0.00% |  3-1-0   |   75.00% |
| Cephalid Breakfast              |     1-1-0      |        50.00% |  1-2-0   |   33.33% |
| Oops All Spells                 |     0-1-0      |         0.00% |  0-2-0   |    0.00% |
| Lands                           |     0-0-0      |           --- |  3-1-0   |   75.00% |
| Sneak and Show                  |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Nadu Midrange Combo             |     1-1-0      |        50.00% |  1-2-0   |   33.33% |
| Doomsday                        |     0-0-0      |           --- |  0-0-0   |      --- |
| Grixis Control                  |     1-1-0      |        50.00% |  1-1-0   |   50.00% |
| Death and Taxes - BW (Yorion)   |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Saga Storm                      |     0-2-0      |         0.00% |  0-2-0   |    0.00% |
| Beanstalk Control (Non-Yorion)  |     0-0-0      |           --- |  0-0-0   |      --- |
| Other Aggro                     |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Grixis Tempo                    |     1-0-0      |       100.00% |  1-0-0   |  100.00% |
| Omni-Tell                       |     0-0-0      |           --- |  0-0-0   |      --- |
| Mono Black Reanimator           |     0-0-0      |           --- |  0-0-0   |      --- |
| Red Painter                     |     0-0-0      |           --- |  0-0-0   |      --- |
| Death and Taxes (60 Card)       |     0-0-0      |           --- |  0-0-0   |      --- |
| Creative Technique              |     2-0-0      |       100.00% |  2-0-0   |  100.00% |
| Mono Green Cloudpost            |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Blue Painter                    |     0-1-0      |         0.00% |  0-1-0   |    0.00% |
| Selesnya Depths                 |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Sultai Tempo                    |     0-0-0      |           --- |  0-0-0   |      --- |
| 8Cast                           |     0-0-0      |           --- |  1-0-0   |  100.00% |
| Cradle Control                  |     0-0-0      |           --- |  0-1-0   |    0.00% |
| Nadu Cradle Combo               |     0-0-0      |           --- |  0-0-0   |      --- |
| Unknown Deck                    |     0-0-0      |           --- |  0-0-0   |      --- |
