23 events: Legacy Challenge 32 2025-04-02 (2025-04-02), Legacy Last Chance 2025-04-02 - 1 (2025-04-02), Legacy Last Chance 2025-04-02 - 2 (2025-04-02), Legacy Challenge 32 2025-04-04 (2025-04-04), Legacy Challenge 32 2025-04-05 (2025-04-05), Legacy Challenge 32 2025-04-06 - 1 (2025-04-06), Legacy Challenge 32 2025-04-06 - 2 (2025-04-06), Legacy Showcase Qualifier 2025-04-06 (2025-04-06), Legacy Challenge 32 2025-04-09 (2025-04-09), Legacy Challenge 32 2025-04-11 (2025-04-11), Legacy Challenge 32 2025-04-12 (2025-04-12), Legacy Challenge 32 2025-04-13 (2025-04-13), Legacy Challenge 32 2025-04-18 (2025-04-18), Legacy Challenge 32 2025-04-19 (2025-04-19), Legacy Challenge 32 2025-04-20 - 1 (2025-04-20), Legacy Challenge 32 2025-04-20 - 2 (2025-04-20), Legacy Challenge 32 2025-04-23 (2025-04-23), Legacy Challenge 32 2025-04-25 (2025-04-25), Legacy Challenge 32 2025-04-26 (2025-04-26), Buffalo Chicken Dip Legacy 21 (2025-04-26), Legacy Challenge 32 2025-04-27 - 1 (2025-04-27), Legacy Challenge 32 2025-04-27 - 2 (2025-04-27), Legacy Challenge 32 2025-04-30 (2025-04-30)
+---------------------------------+-------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck               | % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                 | Field | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+---------------------------------+-------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Oops All Spells                 | 7.72% |    78 |     55.53% |  248 |    211 |     0 | 54.03% |    54.48% | 55.20% |   54.03% |
| Izzet Tempo                     | 6.73% |    68 |     49.97% |  189 |    173 |     2 | 52.20% |    52.33% | 52.60% |   52.20% |
| Red Stompy                      | 6.44% |    65 |     44.53% |  152 |    191 |     2 | 44.35% |    43.93% | 44.62% |   44.35% |
| Dimir Tempo                     | 6.34% |    64 |     60.48% |  207 |    156 |     0 | 57.02% |    58.10% | 56.38% |   57.02% |
| Grixis Tempo                    | 5.74% |    58 |     50.51% |  146 |    131 |     2 | 52.69% |    52.92% | 52.08% |   52.69% |
| Omni-Tell                       | 5.05% |    51 |     44.03% |  113 |    139 |     0 | 44.84% |    44.40% | 45.95% |   44.84% |
| Beanstalk Control (Non-Yorion)  | 4.85% |    49 |     48.50% |  129 |    127 |     0 | 50.39% |    50.42% | 50.56% |   50.39% |
| Dimir Reanimator                | 3.56% |    36 |     46.27% |   93 |     97 |     0 | 48.95% |    48.88% | 50.38% |   48.95% |
| Mono Black Reanimator           | 3.37% |    34 |     56.65% |  104 |     83 |     0 | 55.61% |    55.80% | 53.37% |   55.61% |
| Nadu Midrange Combo             | 3.07% |    31 |     46.11% |   71 |     76 |     1 | 48.31% |    48.31% | 50.34% |   48.31% |
| Sneak and Show                  | 2.97% |    30 |     54.55% |   87 |     69 |     1 | 55.73% |    55.73% | 52.71% |   55.73% |
| Blue Painter                    | 2.87% |    29 |     45.09% |   70 |     75 |     0 | 48.28% |    48.23% | 47.00% |   48.28% |
| Cephalid Breakfast              | 2.57% |    26 |     53.67% |   76 |     66 |     0 | 53.52% |    53.68% | 49.88% |   53.52% |
| Jeskai Control                  | 2.48% |    25 |     43.63% |   52 |     59 |     0 | 46.85% |    46.79% | 46.24% |   46.85% |
| Stiflenought                    | 2.18% |    22 |     46.70% |   56 |     57 |     0 | 49.56% |    49.55% | 47.45% |   49.56% |
