19 events: Legacy Challenge 32 2025-05-02 (2025-05-02), Legacy Challenge 32 2025-05-03 (2025-05-03), Bazaar of Boxes Series 15 (2025-05-03), Legacy Challenge 32 2025-05-04 - 1 (2025-05-04), Legacy Challenge 32 2025-05-04 - 2 (2025-05-04), Legacy Challenge 32 2025-05-07 (2025-05-07), Legacy Challenge 32 2025-05-09 (2025-05-09), Legacy Challenge 32 2025-05-10 (2025-05-10), Legacy Challenge 32 2025-05-11 - 1 (2025-05-11), Legacy Challenge 32 2025-05-11 - 2 (2025-05-11), Legacy Challenge 32 2025-05-14 (2025-05-14), Legacy Challenge 32 2025-05-16 (2025-05-16), Legacy Challenge 32 2025-05-17 (2025-05-17), Legacy Challenge 32 2025-05-18 - 1 (2025-05-18), Legacy Challenge 32 2025-05-18 - 2 (2025-05-18), Legacy Challenge 32 2025-05-21 (2025-05-21), Legacy Challenge 32 2025-05-23 (2025-05-23), Legacy Challenge 32 2025-05-24 (2025-05-24), Legacy Challenge 32 2025-05-25 - 1 (2025-05-25)
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck              |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Dimir Tempo                    | 10.42% |    95 |     48.66% |  258 |    248 |     0 | 50.99% |    51.08% | 51.33% |   50.99% |
| Oops All Spells                |  8.22% |    75 |     49.73% |  207 |    219 |     0 | 48.59% |    48.42% | 47.96% |   48.59% |
| Izzet Tempo                    |  7.68% |    70 |     53.33% |  205 |    187 |     0 | 52.30% |    52.54% | 53.41% |   52.30% |
| Dimir Reanimator               |  6.25% |    57 |     59.28% |  195 |    138 |     1 | 58.53% |    59.31% | 56.85% |   58.53% |
| Beanstalk Control (Non-Yorion) |  5.15% |    47 |     43.64% |  116 |    135 |     0 | 46.22% |    46.09% | 46.82% |   46.22% |
| Red Stompy                     |  4.06% |    37 |     48.26% |  100 |     98 |     1 | 50.50% |    50.51% | 47.28% |   50.50% |
| Sneak and Show                 |  3.51% |    32 |     56.90% |  100 |     87 |     0 | 53.48% |    53.67% | 52.89% |   53.48% |
| Grixis Tempo                   |  3.40% |    31 |     54.32% |   97 |     75 |     0 | 56.40% |    56.63% | 56.83% |   56.40% |
| Mystic Forge Combo             |  3.40% |    31 |     52.23% |   95 |     84 |     0 | 53.07% |    53.07% | 52.24% |   53.07% |
| Stiflenought                   |  2.74% |    25 |     47.57% |   64 |     62 |     0 | 50.79% |    50.82% | 53.90% |   50.79% |
| Lands                          |  2.63% |    24 |     52.73% |   74 |     63 |     0 | 54.01% |    54.01% | 53.25% |   54.01% |
| Mono Black Reanimator          |  2.63% |    24 |     44.82% |   60 |     66 |     0 | 47.62% |    47.58% | 46.09% |   47.62% |
| Death and Taxes - BW (Yorion)  |  2.52% |    23 |     59.73% |   79 |     60 |     0 | 56.83% |    56.93% | 55.86% |   56.83% |
| Black Midrange                 |  2.41% |    22 |     40.45% |   51 |     66 |     0 | 43.59% |    43.59% | 43.89% |   43.59% |
| Blue Painter                   |  2.30% |    21 |     43.35% |   51 |     63 |     0 | 44.74% |    44.74% | 47.13% |   44.74% |
| Cephalid Breakfast             |  2.30% |    21 |     54.08% |   65 |     56 |     0 | 53.72% |    53.91% | 52.02% |   53.72% |
| Omni-Tell                      |  2.19% |    20 |     43.56% |   47 |     59 |     0 | 44.34% |    43.88% | 40.70% |   44.34% |
