21 events: Legacy Challenge 32 2025-06-01 - 1 (2025-06-01), Legacy Challenge 32 2025-06-01 - 2 (2025-06-01), Legacy Challenge 32 2025-06-06 (2025-06-06), Legacy Challenge 32 2025-06-07 (2025-06-07), Legacy Challenge 32 2025-06-08 - 1 (2025-06-08), Legacy Showcase Challenge 2025-06-08 (2025-06-08), Legacy Challenge 32 2025-06-11 (2025-06-11), Legacy Challenge 32 2025-06-13 (2025-06-13), Legacy Challenge 32 2025-06-14 (2025-06-14), Legacy Challenge 32 2025-06-15 - 1 (2025-06-15), Legacy Challenge 32 2025-06-15 - 2 (2025-06-15), Legacy Challenge 32 2025-06-20 (2025-06-20), Legacy RC Qualifier 2025-06-20 (2025-06-20), Legacy Challenge 32 2025-06-21 (2025-06-21), Legacy Challenge 32 2025-06-22 - 1 (2025-06-22), Legacy Challenge 32 2025-06-22 - 2 (2025-06-22), Legacy Challenge 32 2025-06-27 (2025-06-27), Legacy Challenge 32 2025-06-28 (2025-06-28), Buffalo Chicken Dip Legacy 22 (2025-06-28), Legacy Challenge 32 2025-06-29 - 1 (2025-06-29), Legacy Challenge 32 2025-06-29 - 2 (2025-06-29)
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck               |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                 | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Dimir Reanimator                | 17.46% |   216 |     56.40% |  710 |    562 |     0 | 55.82% |    57.30% | 56.94% |   55.82% |
| Izzet Tempo                     |  8.73% |   108 |     45.96% |  286 |    277 |     0 | 50.80% |    50.89% | 51.10% |   50.80% |
| Dimir Tempo                     |  8.49% |   105 |     51.57% |  310 |    287 |     0 | 51.93% |    52.09% | 52.38% |   51.93% |
| Oops All Spells                 |  7.19% |    89 |     45.71% |  214 |    254 |     0 | 45.73% |    45.48% | 46.45% |   45.73% |
| Red Stompy                      |  5.34% |    66 |     49.07% |  170 |    185 |     0 | 47.89% |    47.75% | 48.53% |   47.89% |
| Mystic Forge Combo              |  3.64% |    45 |     51.16% |  131 |    134 |     0 | 49.43% |    49.42% | 50.98% |   49.43% |
| Lands                           |  3.48% |    43 |     62.66% |  161 |    107 |     0 | 60.07% |    60.23% | 59.91% |   60.07% |
| Sneak and Show                  |  3.07% |    38 |     48.34% |   95 |    114 |     0 | 45.45% |    45.32% | 43.28% |   45.45% |
| Beanstalk Control (Non-Yorion)  |  2.67% |    33 |     36.24% |   62 |     90 |     0 | 40.79% |    40.67% | 39.46% |   40.79% |
| Nadu Midrange Combo             |  2.67% |    33 |     38.29% |   69 |     84 |     0 | 45.10% |    45.03% | 45.30% |   45.10% |
| Doomsday                        |  2.59% |    32 |     48.78% |   85 |     86 |     0 | 49.71% |    49.69% | 51.00% |   49.71% |
| Cephalid Breakfast              |  2.51% |    31 |     42.35% |   72 |     91 |     0 | 44.17% |    44.10% | 41.18% |   44.17% |
| Red Painter                     |  2.02% |    25 |     48.38% |   64 |     76 |     0 | 45.71% |    45.52% | 48.89% |   45.71% |
| Mono Black Reanimator           |  1.86% |    23 |     49.18% |   63 |     56 |     0 | 52.94% |    52.99% | 47.12% |   52.94% |
| Grixis Control                  |  1.62% |    20 |     54.67% |   63 |     68 |     0 | 48.09% |    48.03% | 49.49% |   48.09% |
| Saga Storm                      |  1.62% |    20 |     59.09% |   78 |     50 |     0 | 60.94% |    61.48% | 59.95% |   60.94% |
