22 events: Legacy Challenge 32 2025-07-02 (2025-07-02), Legacy Challenge 32 2025-07-04 (2025-07-04), Legacy Challenge 32 2025-07-05 (2025-07-05), Legacy Challenge 32 2025-07-06 - 1 (2025-07-06), Legacy Showcase Challenge 2025-07-06 (2025-07-06), Legacy Challenge 32 2025-07-09 (2025-07-09), Legacy Challenge 32 2025-07-11 (2025-07-11), Legacy Challenge 32 2025-07-12 (2025-07-12), Legacy Challenge 32 2025-07-13 - 1 (2025-07-13), Legacy Challenge 32 2025-07-13 - 2 (2025-07-13), Legacy Challenge 32 2025-07-16 (2025-07-16), Legacy Challenge 32 2025-07-18 (2025-07-18), Legacy Challenge 32 2025-07-19 (2025-07-19), Oklahoma Land Run '25 Legacy Open (2025-07-19), Legacy Challenge 32 2025-07-20 - 1 (2025-07-20), Legacy Challenge 32 2025-07-20 - 2 (2025-07-20), Legacy Challenge 32 2025-07-23 (2025-07-23), Legacy Challenge 32 2025-07-25 (2025-07-25), Legacy Challenge 32 2025-07-26 (2025-07-26), Legacy Challenge 32 2025-07-27 - 1 (2025-07-27), Legacy Challenge 32 2025-07-27 - 2 (2025-07-27), Legacy Challenge 32 2025-07-30 (2025-07-30)
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck              |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Dimir Reanimator               | 22.68% |   308 |     52.28% |  923 |    776 |     0 | 54.33% |    55.68% | 55.09% |   54.33% |
| Izzet Tempo                    |  7.29% |    99 |     41.78% |  232 |    262 |     0 | 46.96% |    46.70% | 46.12% |   46.96% |
| Red Stompy                     |  7.07% |    96 |     50.22% |  267 |    284 |     0 | 48.46% |    48.32% | 48.37% |   48.46% |
| Dimir Tempo                    |  5.82% |    79 |     48.80% |  216 |    230 |     0 | 48.43% |    48.26% | 47.65% |   48.43% |
| Oops All Spells                |  5.23% |    71 |     46.38% |  186 |    202 |     0 | 47.94% |    47.81% | 50.53% |   47.94% |
| Mystic Forge Combo             |  4.93% |    67 |     56.20% |  219 |    185 |     0 | 54.21% |    54.50% | 55.51% |   54.21% |
| Lands                          |  4.05% |    55 |     48.63% |  153 |    156 |     0 | 49.51% |    49.49% | 48.39% |   49.51% |
| Jeskai Control                 |  2.95% |    40 |     48.92% |  111 |    115 |     0 | 49.12% |    49.09% | 49.78% |   49.12% |
| Eldrazi                        |  2.50% |    34 |     53.69% |  108 |     94 |     0 | 53.47% |    53.85% | 53.43% |   53.47% |
| Nadu Midrange Combo            |  2.43% |    33 |     56.97% |  107 |     79 |     0 | 57.53% |    57.95% | 54.11% |   57.53% |
| Cephalid Breakfast             |  2.36% |    32 |     45.74% |   83 |     90 |     0 | 47.98% |    47.93% | 47.17% |   47.98% |
| Sneak and Show                 |  2.36% |    32 |     52.18% |   90 |     89 |     0 | 50.28% |    50.28% | 49.22% |   50.28% |
| Doomsday                       |  2.21% |    30 |     48.99% |   83 |     76 |     0 | 52.20% |    52.23% | 51.42% |   52.20% |
| Beanstalk Control (Non-Yorion) |  1.84% |    25 |     45.71% |   65 |     88 |     0 | 42.48% |    42.18% | 42.02% |   42.48% |
| Death and Taxes - BW (Yorion)  |  1.77% |    24 |     48.31% |   66 |     71 |     0 | 48.18% |    48.12% | 49.88% |   48.18% |
| Omni-Tell                      |  1.55% |    21 |     56.18% |   73 |     63 |     0 | 53.68% |    53.68% | 46.36% |   53.68% |
