33 events: Legacy Challenge 32 2025-08-01 (2025-08-01), Legacy Challenge 32 2025-08-02 (2025-08-02), Buffalo Chicken Dip Legacy Open 4 (2025-08-02), Legacy Challenge 32 2025-08-03 - 1 (2025-08-03), Legacy Showcase Challenge 2025-08-03 (2025-08-03), Buffalo Chicken Dip Legacy Win-A-Mox Diamond (2025-08-03), Legacy Challenge 32 2025-08-06 (2025-08-06), Legacy Challenge 32 2025-08-08 (2025-08-08), Eternal Mania - Friday Legacy (2025-08-08), Legacy Challenge 32 2025-08-09 (2025-08-09), Legacy Challenge 32 2025-08-10 - 1 (2025-08-10), Legacy Challenge 32 2025-08-10 - 2 (2025-08-10), European Legacy Masters 2025 (2025-08-10), Legacy Last Chance 2025-08-11 (2025-08-11), Legacy Last Chance 2025-08-11 (2025-08-11), Legacy Last Chance 2025-08-12 (2025-08-12), Legacy Last Chance 2025-08-13 (2025-08-13), Legacy Challenge 32 2025-08-13 (2025-08-13), Legacy Challenge 32 2025-08-15 (2025-08-15), Legacy Challenge 32 2025-08-16 (2025-08-16), Legacy Challenge 32 2025-08-17 - 1 (2025-08-17), Legacy Challenge 32 2025-08-17 - 2 (2025-08-17), Legacy Showcase Qualifier 2025-08-17 (2025-08-17), Legacy Challenge 32 2025-08-20 (2025-08-20), Legacy Challenge 32 2025-08-22 (2025-08-22), Legacy Challenge 32 2025-08-23 (2025-08-23), Legacy Challenge 32 2025-08-24 - 1 (2025-08-24), Legacy Challenge 32 2025-08-24 - 2 (2025-08-24), Legacy Challenge 32 2025-08-27 (2025-08-27), Legacy Challenge 32 2025-08-29 (2025-08-29), Legacy Challenge 32 2025-08-30 (2025-08-30), Legacy Challenge 32 2025-08-31 - 1 (2025-08-31), Legacy Challenge 32 2025-08-31 - 2 (2025-08-31)
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck               |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                 | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Dimir Reanimator                | 16.87% |   359 |     55.84% | 1093 |    875 |     0 | 55.54% |    56.79% | 56.30% |   55.54% |
| Mystic Forge Combo              |  7.05% |   150 |     50.83% |  420 |    407 |     0 | 50.79% |    50.85% | 50.93% |   50.79% |
| Red Stompy                      |  7.05% |   150 |     46.51% |  386 |    433 |     0 | 47.13% |    46.94% | 47.35% |   47.13% |
| Dimir Tempo                     |  6.95% |   148 |     48.57% |  401 |    405 |     0 | 49.75% |    49.73% | 50.77% |   49.75% |
| Izzet Tempo                     |  6.25% |   133 |     42.10% |  308 |    365 |     0 | 45.77% |    45.50% | 45.49% |   45.77% |
| Oops All Spells                 |  4.89% |   104 |     51.89% |  286 |    278 |     0 | 50.71% |    50.76% | 51.08% |   50.71% |
| Lands                           |  3.67% |    78 |     50.99% |  219 |    205 |     0 | 51.65% |    51.57% | 51.02% |   51.65% |
| Cephalid Breakfast              |  3.52% |    75 |     51.86% |  228 |    201 |     0 | 53.15% |    53.27% | 51.79% |   53.15% |
| Eldrazi                         |  3.01% |    64 |     53.51% |  192 |    154 |     0 | 55.49% |    55.69% | 55.49% |   55.49% |
| Sneak and Show                  |  2.96% |    63 |     40.50% |  131 |    163 |     0 | 44.56% |    44.41% | 45.84% |   44.56% |
| Nadu Midrange Combo             |  2.91% |    62 |     50.68% |  164 |    160 |     0 | 50.62% |    50.64% | 50.25% |   50.62% |
| Jeskai Control                  |  2.68% |    57 |     49.50% |  143 |    136 |     0 | 51.25% |    51.27% | 52.07% |   51.25% |
| Beanstalk Control (Non-Yorion)  |  2.58% |    55 |     40.69% |  124 |    166 |     0 | 42.76% |    42.55% | 42.61% |   42.76% |
| Omni-Tell                       |  1.88% |    40 |     51.55% |  120 |    116 |     0 | 50.85% |    50.85% | 47.24% |   50.85% |
