13 events: Legacy Challenge 32 2025-09-03 (2025-09-03), Legacy Challenge 32 2025-09-06 (2025-09-06), Legacy Challenge 32 2025-09-07 - 2 (2025-09-07), Legacy Challenge 32 2025-09-10 (2025-09-10), Legacy Challenge 32 2025-09-12 (2025-09-12), Legacy Challenge 32 2025-09-13 (2025-09-13), Legacy Challenge 32 2025-09-14 - 1 (2025-09-14), Legacy Challenge 32 2025-09-14 - 2 (2025-09-14), Legacy Challenge 32 2025-09-17 (2025-09-17), Legacy Challenge 32 2025-09-19 (2025-09-19), Legacy Challenge 32 2025-09-20 (2025-09-20), Legacy Challenge 32 2025-09-21 - 1 (2025-09-21), Legacy Challenge 32 2025-09-21 - 2 (2025-09-21)
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck              |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Dimir Reanimator               | 19.84% |   121 |     47.79% |  309 |    326 |     0 | 48.66% |    48.37% | 49.22% |   48.66% |
| Red Stompy                     |  7.54% |    46 |     61.51% |  163 |    108 |     0 | 60.15% |    60.96% | 58.81% |   60.15% |
| Izzet Tempo                    |  5.41% |    33 |     50.26% |   96 |    101 |     0 | 48.73% |    48.66% | 50.85% |   48.73% |
| Dimir Tempo                    |  5.25% |    32 |     57.12% |  109 |     78 |     0 | 58.29% |    58.76% | 55.38% |   58.29% |
| Eldrazi                        |  5.25% |    32 |     55.23% |  106 |     85 |     0 | 55.50% |    55.68% | 55.48% |   55.50% |
| Mystic Forge Combo             |  5.25% |    32 |     55.26% |   94 |     83 |     0 | 53.11% |    53.29% | 54.21% |   53.11% |
| Jeskai Control                 |  4.43% |    27 |     49.52% |   78 |     76 |     0 | 50.65% |    50.66% | 49.10% |   50.65% |
| Lands                          |  4.26% |    26 |     41.52% |   63 |     75 |     0 | 45.65% |    45.59% | 45.69% |   45.65% |
| Cephalid Breakfast             |  3.93% |    24 |     51.05% |   71 |     64 |     0 | 52.59% |    52.63% | 49.40% |   52.59% |
| Oops All Spells                |  3.77% |    23 |     43.10% |   53 |     66 |     0 | 44.54% |    44.54% | 44.03% |   44.54% |
| Sneak and Show                 |  3.28% |    20 |     40.99% |   43 |     62 |     0 | 40.95% |    40.59% | 43.52% |   40.95% |
| Nadu Midrange Combo            |  2.95% |    18 |     47.81% |   45 |     48 |     0 | 48.39% |    48.39% | 48.95% |   48.39% |
| Death and Taxes - BW (Yorion)  |  1.97% |    12 |     55.69% |   38 |     38 |     0 | 50.00% |    50.00% | 51.05% |   50.00% |
| Doomsday                       |  1.64% |    10 |     45.20% |   23 |     24 |     0 | 48.94% |    48.94% | 45.82% |   48.94% |
| Red Painter                    |  1.64% |    10 |     49.44% |   26 |     28 |     0 | 48.15% |    48.15% | 50.47% |   48.15% |
| Other Aggro                    |  1.48% |     9 |     49.05% |   27 |     26 |     0 | 50.94% |    50.94% | 50.11% |   50.94% |
| Saga Storm                     |  1.48% |     9 |     45.88% |   23 |     24 |     0 | 48.94% |    48.94% | 49.69% |   48.94% |
| Beanstalk Control (Non-Yorion) |  1.31% |     8 |     39.99% |   15 |     26 |     0 | 36.59% |    36.59% | 38.28% |   36.59% |
| Mono Black Reanimator          |  1.31% |     8 |     49.67% |   25 |     22 |     0 | 53.19% |    53.33% | 51.23% |   53.19% |
