6 events: Legacy Challenge 32 2025-10-01 (2025-10-01), Legacy Challenge 32 2025-10-04 (2025-10-04), Legacy Challenge 32 2025-10-05 - 1 (2025-10-05), Legacy Challenge 32 2025-10-05 - 2 (2025-10-05), Legacy Showcase Challenge 2025-10-05 (2025-10-05), Legacy Challenge 2025-10-08 (2025-10-08)
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
|              Deck               |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  |
|                                 | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings |
+---------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+
| Dimir Reanimator                | 18.10% |    78 |     57.59% |  269 |    215 |     0 | 55.58% |    57.11% | 56.89% |   55.58% |
| Red Stompy                      |  8.12% |    35 |     46.50% |   93 |    100 |     0 | 48.19% |    48.04% | 49.16% |   48.19% |
| Eldrazi                         |  5.80% |    25 |     51.99% |   80 |     70 |     0 | 53.33% |    53.62% | 54.03% |   53.33% |
| Mystic Forge Combo              |  5.80% |    25 |     54.75% |   82 |     73 |     0 | 52.90% |    52.98% | 52.13% |   52.90% |
| Izzet Tempo                     |  4.41% |    19 |     57.35% |   68 |     45 |     0 | 60.18% |    60.75% | 61.04% |   60.18% |
| Cephalid Breakfast              |  3.94% |    17 |     43.72% |   45 |     56 |     0 | 44.55% |    44.33% | 44.47% |   44.55% |
| Grixis Control                  |  3.94% |    17 |     55.16% |   56 |     50 |     0 | 52.83% |    52.94% | 47.65% |   52.83% |
| Jeskai Control                  |  3.94% |    17 |     39.33% |   34 |     47 |     0 | 41.98% |    41.77% | 40.07% |   41.98% |
| Oops All Spells                 |  3.94% |    17 |     47.82% |   49 |     53 |     0 | 48.04% |    48.00% | 47.84% |   48.04% |
| Dimir Tempo                     |  3.48% |    15 |     52.70% |   50 |     43 |     0 | 53.76% |    53.76% | 52.86% |   53.76% |
| Sneak and Show                  |  2.32% |    10 |     51.69% |   28 |     30 |     0 | 48.28% |    48.21% | 47.35% |   48.28% |
| Doomsday                        |  2.09% |     9 |     29.99% |   12 |     20 |     0 | 37.50% |    37.50% | 43.04% |   37.50% |
| Beanstalk Control (Non-Yorion)  |  1.86% |     8 |     39.16% |   19 |     23 |     0 | 45.24% |    45.24% | 49.67% |   45.24% |
| Grixis Tempo                    |  1.86% |     8 |     39.33% |   19 |     20 |     0 | 48.72% |    48.65% | 47.77% |   48.72% |
| Omni-Tell                       |  1.86% |     8 |     34.88% |   18 |     26 |     0 | 40.91% |    40.48% | 39.29% |   40.91% |
| Saga Storm                      |  1.86% |     8 |     50.67% |   25 |     24 |     0 | 51.02% |    51.02% | 51.32% |   51.02% |
| Creative Technique              |  1.62% |     7 |     34.32% |   13 |     21 |     0 | 38.24% |    38.24% | 42.69% |   38.24% |
| Death and Taxes (60 Card)       |  1.39% |     6 |     46.03% |   15 |     20 |     0 | 42.86% |    42.86% | 46.13% |   42.86% |
| Death and Taxes - BW (Yorion)   |  1.39% |     6 |     32.54% |   10 |     14 |     0 | 41.67% |    41.67% | 42.69% |   41.67% |
| Lands                           |  1.39% |     6 |     58.17% |   21 |     18 |     0 | 53.85% |    53.85% | 48.05% |   53.85% |
| Nadu Midrange Combo             |  1.39% |     6 |     26.69% |    8 |     15 |     0 | 34.78% |    33.33% | 46.06% |   34.78% |
| Mono Green Cloudpost            |  1.16% |     5 |     47.93% |   14 |     16 |     0 | 46.67% |    46.67% | 56.46% |   46.67% |
