2025 North America Legacy Championship (2025-10-12)
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+-----+---------+---------+
|              Deck              |  % of  | # in  |    Avg.    | Wins | Losses | Draws | Win %  |   Win %   | EV vs. |  EV vs.  | Top |  % of   | Top 217 |
|                                | Field  | Field | Percentile |      |        |       |        | vs. Other | Field  | Pairings | 217 | Top 217 |  Pen.   |
+--------------------------------+--------+-------+------------+------+--------+-------+--------+-----------+--------+----------+-----+---------+---------+
| Dimir Reanimator               | 14.62% |   138 |     54.46% |  647 |    571 |     0 | 53.12% |    53.68% | 54.23% |   53.39% |  41 |  18.89% |  29.71% |
| Mystic Forge Combo             |  9.22% |    87 |     53.72% |  412 |    356 |     0 | 53.65% |    54.08% | 52.49% |   51.32% |  23 |  10.60% |  26.44% |
| Dimir Tempo                    |  6.67% |    63 |     43.19% |  209 |    258 |     0 | 44.75% |    44.42% | 49.77% |   48.80% |  12 |   5.53% |  19.05% |
| Cephalid Breakfast             |  6.57% |    62 |     55.89% |  289 |    269 |     0 | 51.79% |    51.94% | 51.85% |   51.15% |  18 |   8.29% |  29.03% |
| Izzet Tempo                    |  5.40% |    51 |     48.40% |  205 |    205 |     0 | 50.00% |    50.00% | 49.18% |   49.50% |  10 |   4.61% |  19.61% |
| Red Stompy                     |  4.87% |    46 |     46.11% |  188 |    192 |     0 | 49.47% |    49.44% | 50.49% |   49.87% |  10 |   4.61% |  21.74% |
| Nadu Midrange Combo            |  3.92% |    37 |     58.16% |  191 |    151 |     0 | 55.85% |    56.13% | 53.39% |   52.52% |  13 |   5.99% |  35.14% |
| Lands                          |  3.39% |    32 |     47.28% |  127 |    151 |     0 | 45.68% |    45.49% | 49.57% |   48.77% |   8 |   3.69% |  25.00% |
| Red Painter                    |  2.97% |    28 |     50.89% |  121 |    119 |     0 | 50.42% |    50.43% | 47.45% |   47.23% |   7 |   3.23% |  25.00% |
| Eldrazi                        |  2.65% |    25 |     52.08% |  106 |    117 |     0 | 47.53% |    47.42% | 55.39% |   52.15% |   7 |   3.23% |  28.00% |
| Sneak and Show                 |  2.33% |    22 |     52.07% |   96 |     99 |     0 | 49.23% |    49.21% | 44.84% |   45.73% |   6 |   2.76% |  27.27% |
| Stiflenought                   |  2.22% |    21 |     43.26% |   71 |     85 |     0 | 45.51% |    45.45% | 43.17% |   45.75% |   4 |   1.84% |  19.05% |
| Beanstalk Control (Non-Yorion) |  1.91% |    18 |     37.30% |   50 |     76 |     0 | 39.68% |    39.34% | 42.31% |   39.06% |   1 |   0.46% |   5.56% |
| Blue Cloudpost                 |  1.59% |    15 |     62.49% |   79 |     58 |     0 | 57.66% |    57.66% | 57.28% |   57.66% |   3 |   1.38% |  20.00% |
| Jeskai Control                 |  1.59% |    15 |     40.99% |   48 |     65 |     0 | 42.48% |    42.48% | 47.33% |   45.29% |   2 |   0.92% |  13.33% |
| Doomsday                       |  1.48% |    14 |     56.12% |   62 |     59 |     0 | 51.24% |    51.24% | 46.35% |   49.67% |   2 |   0.92% |  14.29% |
| Omni-Tell                      |  1.48% |    14 |     46.56% |   49 |     56 |     0 | 46.67% |    46.60% | 49.34% |   50.59% |   1 |   0.46% |   7.14% |
| Cradle Control                 |  1.38% |    13 |     54.60% |   60 |     56 |     0 | 51.72% |    51.72% | 50.06% |   47.39% |   4 |   1.84% |  30.77% |
| Oops All Spells                |  1.38% |    13 |     58.18% |   64 |     62 |     0 | 50.79% |    50.81% | 50.09% |   50.11% |   5 |   2.30% |  38.46% |
| Grixis Control                 |  1.27% |    12 |     51.11% |   48 |     46 |     0 | 51.06% |    51.09% | 51.16% |   55.12% |   3 |   1.38% |  25.00% |
| Other Control                  |  1.27% |    12 |     50.66% |   46 |     44 |     0 | 51.11% |    51.14% | 52.73% |   54.32% |   1 |   0.46% |   8.33% |
| The EPIC Storm                 |  1.27% |    12 |     40.41% |   35 |     50 |     0 | 41.18% |    40.96% | 43.69% |   41.18% |   0 |   0.00% |   0.00% |
| Other Aggro                    |  1.17% |    11 |     48.25% |   44 |     44 |     0 | 50.00% |    50.00% | 53.31% |   56.73% |   2 |   0.92% |  18.18% |
| ANT                            |  1.06% |    10 |     55.67% |   41 |     44 |     0 | 48.24% |    48.15% | 43.05% |   46.98% |   2 |   0.92% |  20.00% |
