Player	Archetype	Round 1		Round 2		Round 3		Round 4		Round 5		Round 6		Round 7		Round 8		Round 9		Round 10		Round 11		Round 12		Round 13		Round 14		Round 15	
Johan Larsson	W-U-B-G Cephalid Breakfast	paul lynch	2-1	Skyler Preedy	2-0	Evan Jasinkiewicz	2-1	Benny Zeoli	2-1	Ander12	2-0	Dan Atkins	2-1	Jaeden Woltjer	2-1	Ramy Mansour	2-1	rlesko	1-1	Paul Raynes	2-1	Adam Kulp	2-1	Jon Barber	0-2	dukevitro	1-2	Sergei Pourmal	2-0	Roland Chang	2-1
Jon Barber	Mono-White Mystic Forge Combo		Bye	James Connolly	2-1	Lirek Kulik	2-1	Warren Cocke	2-0	David Barentsen	2-0	Pieter Tubergen	2-1	Matthew Vook	2-1	Sam Castrucci	2-1	Paul Raynes	0-2	Michael Puchkov	2-1	Shadowuni	2-1	Johan Larsson	2-0	Roland Chang	1-2	Steven Borakove	2-1	Hans Jacob Goddik	0-0
Hans Jacob Goddik	W-U-B-G Reanimator		Bye	Jacob Edwards	2-0	Spesnor	2-0	Jack Kitchen	2-1	Tom Basketball	2-0	Jaeden Woltjer	0-2	Jesse Campbell	2-0	Scott Blumenthal	2-1	Kelvin Wallace	2-1	Ramy Mansour	2-0	Paul Raynes	1-2	RizhengSun	2-1	Eric Ratkowski	2-0	Adam Kulp	2-1	Jon Barber	0-0
Tom Basketball	Mono-White	Craig Roblyer	2-0	Timothy Stephens	2-1	Amiracle	2-0	Matthew Storie	2-1	Hans Jacob Goddik	0-2	llmcfadde	0-2	Jaeseok Cho	2-1	Oren Shoemaker	2-0	Zack Chatel	2-0	Yackobo1421	2-0	David Barentsen	2-0	cmwilson252	2-0	Dan Atkins	2-0	Roland Chang	2-1	Tommy Wray	0-0
Tommy Wray	W-U-B-G		Bye	Winston Wood	1-2	Steve Rogers	1-2	Kenneth Frye	2-0	William Lerch	2-0	mark kitchenman	2-0	TarenD	2-1	Benjamin Landers	2-0	llmcfadde	2-0	Mario Martinez	2-1	Ben Fraley	2-1	Avi Lessure	2-1	Sam Lowe	2-0	dukevitro	2-0	Tom Basketball	0-0
Eric Ratkowski	W-U-B-G Reanimator	chrisdew4	2-0	Roland Chang	1-2	TimWilder	2-0	Ethan Mcgillis	2-1	varelandrew	2-1	Peter Gustafson	2-0	Ben Hewitt	2-0	Tom Hertfelder	2-1	Shadowuni	0-2	LeianXu	2-1	Michael Puchkov	2-1	Camari Bolger	2-1	Hans Jacob Goddik	0-2	hrwk	2-1	Hank Zhong	2-1
Jacob Murray	Golgari	Dan Nelson	2-0	Adam Sensenig	2-0	Jared Lefkowitz	2-1	llmcfadde	2-1	Mark Hollaar	2-1	Michael Puchkov	2-0	Shadowuni	0-2	Zack Kerkman	2-0	Gabe Hoppe	2-0	Hank Zhong	2-1	Roland Chang	1-2	ZeeSeeKay	0-2	Julian Jakobovits	2-0	Justice Wright	2-0	Jacob Kolessar	2-0
Michael Puchkov	Colorless	TayR9	2-0	Eli Billings	2-1	rgreen42	2-1	Trevor Cordingley	2-1	JaajWiiw	2-1	Jacob Murray	0-2	kwschlosser	2-1	UrPalAndrew	2-0	Spencer Asral	2-1	Jon Barber	1-2	Eric Ratkowski	1-2	Jakob Heckert	2-1	Ramy Mansour	2-1	Thomas Genzman	2-0	Tony Morris	2-1
Adam Kulp	Rakdos Reanimator	ciscokid42	2-0	Kyle Dorgan	1-2	David Jimenez	2-1	Ryan Copple	2-0	Evan Timmons	2-1	Ander12	2-0	Justice Wright	2-0	Steven Porter	2-1	Aaron Smith	2-0	Wyland Tregear	2-0	Johan Larsson	1-2	Ross Berkowitz	2-1	ZeeSeeKay	2-1	Hans Jacob Goddik	1-2	Kieran MacDuff	2-0
dukevitro	Sultai	David Tobias	1-2	James Robertson	2-0	Angelo Corsi	0-2	tullygarberg	2-1	Matt Gausebeck	2-0	impico	2-0	andrewslafreniere	2-0	TonyScapone	2-0	Jeff Jao	2-1	Eric Farmer	2-0	Spencer Asral	2-0	Ramy Mansour	2-1	Johan Larsson	2-1	Tommy Wray	0-2	Trevor Sharp	2-0
