Player	Archetype	Round 1		Round 2		Round 3		Round 4		Round 5		Round 6		Round 7		Round 8		Round 9		Round 10		Round 11		Round 12		Round 13		Round 14		Round 15		Round 16		Round 17	
Yuji Ichimura	Izzet Delver	Candyrainbow	0-2	hanyuu-yuusuke	2-1	wongyu456	2-1	LemonLazy	2-0	Naoto Kusakawa	2-0	hideki komiyama	2-0	Wataru Yoshimura	2-0	KosukeOsano	2-1	yukio eguchi	2-0	Jon Barber	2-1	PugsAndPorridge	2-1	AcrowBya	2-1	Yuya Nakamura	2-1	Tsz Kin Ho	0-0	katsuhiro mori	2-0	Yuta Yanagisawa	2-1	AcrowBya	2-1
AcrowBya	Cradle Control	Ryoma Okamura	2-0	Jinghao Deng	2-1	PugsAndPorridge	0-2	Naoki Harita	2-1	ClaT	2-0	JeremyDanckert	2-1	wasaki	2-1	SafronoV_V	2-1	Eugene Wong	2-0	RICHMOND TAN	2-0	DAISUKE NAKAMICHI	2-0	Yuji Ichimura	1-2	kazuyaterasawa	2-1	Nunotani_Akira	0-0	Tsz Kin Ho	2-0	Yuya Nakamura	2-1	Yuji Ichimura	1-2
Yuya Nakamura	Affinity	tkkiswd	2-0	Tom Hertfelder	2-1	Hiroya Sekine	2-1	Moto2222	2-1	Jon Prehn	2-1	Wataru Yoshimura	2-1	Nunotani_Akira	2-1	katsuhiro mori	2-0	RICHMOND TAN	2-1	Tsz Kin Ho	1-2	hayato ito	2-0	kazuyaterasawa	2-0	Yuji Ichimura	1-2	Yuta Yanagisawa	0-0	KosukeOsano	2-1	AcrowBya	1-2		
Yuta Yanagisawa	Azorius Stoneblade	Toshikazu Matsumura	2-1	Yuuki Ichikawa	2-1	Dai Maeda	2-1	Eugene Wong	2-0	wizardpasta	2-0	PugsAndPorridge	2-1	TakumaSugimoto	2-1	Tsz Kin Ho	1-2	ThePrinceofPauper83	2-0	DAISUKE NAKAMICHI	0-2	EVA15ROARTOTHEFUTURE	2-0	Jon Barber	2-1	Nunotani_Akira	2-0	Yuya Nakamura	0-0	Tom Hertfelder	2-1	Yuji Ichimura	1-2		
Tsz Kin Ho	Dimir Tempo	TakumaSugimoto	2-0	mitu333	2-0	Akulen	2-0	SafronoV_V	2-0	Gou Saitou	2-1	Atsuya Okuno	2-1	zilozilo7	2-0	Yuta Yanagisawa	2-1	GreaterMossdog	2-1	Yuya Nakamura	2-1	kazuyaterasawa	0-2	DAISUKE NAKAMICHI	1-1	katsuhiro mori	2-1	Yuji Ichimura	0-0	AcrowBya	0-2				
Tom Hertfelder	Dimir Tempo	locriaa	2-0	Yuya Nakamura	1-2	tatsuya nishiwaki	2-1	ishiyuu0228	2-0	Alfred Lauw	2-1	kosuke yamamoto	2-1	tsubasa marumo	2-0	ayato nakagawa	2-0	HarryJPN	2-0	hayato ito	0-2	Nathanial Caron	2-1	yukio eguchi	2-0	yoshihiro bingo	2-0	KosukeOsano	0-0	Yuta Yanagisawa	1-2				
KosukeOsano	Dimir Tempo	sunfly	2-0	ryuta kuribayashi 	2-1	Alex Brown	2-0	biyeliu	2-1	hayato ito	2-1	RICHMOND TAN	1-2	Yasuto Tanigawa	2-1	Yuji Ichimura	1-2	Morimasa Shiohata	2-1	HIROKI MARUNO	2-1	Jiang Jiahe	2-1	PugsAndPorridge	2-1	somo	2-0	Tom Hertfelder	0-0	Yuya Nakamura	1-2				
katsuhiro mori	Sneak and Show	kotaro senba	2-1	KonYou	2-1	Onikirimarulol	2-0	HYEON SEONG JO	2-1	Takeaki Fuwa	2-0	Yiren Jiang	2-0	Shota Fukui	2-0	Yuya Nakamura	0-2	PugsAndPorridge	1-2	kirlsc	2-1	Eugene Wong	2-0	Samuel Tilley	2-0	Tsz Kin Ho	1-2	DAISUKE NAKAMICHI	2-1	Yuji Ichimura	0-2				
DAISUKE NAKAMICHI	4C Beanstalk (Yorion)	Takahiro Ochi	2-0	onogikakeru	2-0	Naoki Wakabayashi	2-1	Samuel Tilley	2-0	Ryota Mizumura 	2-0	TAKU AKAIWA	2-0	Daiki Mimaki	0-2	Nunotani_Akira	2-1	Lorenzo Castaldo	2-0	Yuta Yanagisawa	2-0	AcrowBya	0-2	Tsz Kin Ho	1-1	Wataru Uchida	2-0	katsuhiro mori	1-2						
