Player	Archetype	Round 1		Round 2		Round 3		Round 4		Round 5		Round 6		Round 7		Round 8		Round 9		Round 10		Round 11		Round 12		Round 13		Round 14		Round 15		Round 16		Round 17	
Tommaso Ciampolini	Others	Tringalimarcello	2-1	Emil von Bargen	2-0	BoshNRoll_Brian	0-2	krustyqt	2-1	Kathal09	2-0	Omyros	2-0	Diego Badinotti	0-2	Oscar Christensen	2-0	AngusMTG	2-1	Romain CORGNOLO	2-1	Alexi Krochmaluk	2-1	jerko jovic	2-1	Matt Girardi	2-0	PatrizioG	2-1	Yoniariel	2-0	Lemure90	2-1	Clément Rieutort	2-0
Clément Rieutort	Eldrazi Aggro	jztolvan	2-1	Tadeo	2-1	Jean-Baptiste Gagnepain	2-0	Luca Masseroni	2-1	SebastianF	2-0	Aureliano Babbi	2-0	Dario Rabolini	2-1	Timo Zeyer	2-0	Samuele Dagani	2-0	Eyalzuck28	1-2	jerko jovic	2-1	Lemure90	0-2	Riccardo Scartaghiande	2-0	Yoniariel	0-0	AleM160	2-1	Niccolo' Olivieri	2-1	Tommaso Ciampolini	0-2
Niccolo' Olivieri	Decklist	Steivei	0-2	Doelle98	2-1	Simon Hastreiter	2-1	FedM8	2-1	Auripower	2-0	RicB42	2-0	Jonas Schernberger	2-1	PaoP6	2-0	Stucanojohn	2-1	Terrence Serraarens	2-0	Scarro	2-0	Eyalzuck28	2-0	AleM160	0-0	Samuele Dagani	0-0	Samuele Dagani	2-0	Clément Rieutort	1-2		
Lemure90	Others	Artsipappa	2-0	_Pady_	2-1	Enrico Donisi	0-2	cmr83	2-0	LorG18	2-0	Alessio Fedi	2-1	Il_Divino_Menca	2-0	Michel Kohn	1-1	Eduardo Ancini	2-0	Alexander Kohles	2-1	GiuC11	2-1	Clément Rieutort	2-0	Eyalzuck28	2-0	AleM160	0-0	Eyalzuck28	2-0	Tommaso Ciampolini	1-2		
AleM160	4:5c Control	Nicolò Dushan Saponaro	2-1	jeskaifrieren	2-0	Gaetan Ongena	2-0	Salvatore Meli	2-0	Rcamargo	2-1	Matteo Di Gangi	2-1	Eyalzuck28	1-2	Sébastien Fayand	2-0	Rodrigo Togores	2-1	Timo Zeyer	2-1	Zafferix	2-1	Samuele Dagani	2-1	Niccolo' Olivieri	0-0	Lemure90	0-0	Clément Rieutort	1-2				
Eyalzuck28	Dimir Tempo		Bye	Florfile	2-0	Immanuel Gerschenson	2-1	EmanueleMarcotti	2-0	Ibai Lihoreau	2-0	Francesco Gregori	1-1	AleM160	2-1	Jin Liu	2-1	Timo Bertram	2-1	Clément Rieutort	2-1	Matt Girardi	2-0	Niccolo' Olivieri	0-2	Lemure90	0-2	Kheldarion	2-0	Lemure90	0-2				
Samuele Dagani	Decklist	danielohz	2-0	Netikprime	2-0	Lukas König	2-0	MatteoBraghiroli	2-1	GianRampa	2-0	EMILE98	2-0	Yoniariel	2-0	Terrence Serraarens	2-1	Clément Rieutort	0-2	tobyb	2-0	Claudio Rossi	2-1	AleM160	1-2	Niklas Holtmann	2-0	Niccolo' Olivieri	0-0	Niccolo' Olivieri	0-2				
Yoniariel	Decklist	Yannick Jeths	2-1	ilMaia	2-1	VaeterchenRost	2-1	Gimmic91	2-1	WinterN	2-1	Svaca	2-1	Samuele Dagani	0-2	Luca Fasoli	2-0	Terrence Serraarens	0-2	Epelde	1-0	Greiman	2-1	Stefan Gussenhoven	2-0	Zafferix	2-0	Clément Rieutort	0-0	Tommaso Ciampolini	0-2				
Stefan Gussenhoven	Cloudpost Ramp	Oliver Jensson Skärlund	2-0	foldy	2-0	b0l2l20m1n1	1-1	Paul Reusink	2-0	MadMind88	2-0	tobyb	2-0	Aaron Shaffer	2-0	Umby85	2-0	Scarro	2-0	Matt Girardi	1-2	Jack Doyle	2-0	Yoniariel	0-2	Dario Rabolini	2-0	GioB7	2-1						
PatrizioG	Eldrazi Aggro	ValV5	2-0	Julien Daniel-Moliner	2-1	Adrian Rivas	0-2	BoM	2-1	viktorvonmuerte	1-2	AleP98	2-0	pedre	2-1	RomuloC	2-0	kathor	2-0	Andrea Mengucci	2-1	ClaS18	2-0	Rodrigo Togores	2-1	Magicskeleton	2-1	Tommaso Ciampolini	1-2						
Kheldarion	Oops, All Spells!		Bye	Massetaniand	2-1	Mattia Panico	1-2	Spelljack87	2-0	Viktor Haga	2-0	Lucas Mietton	1-2	t1drs	2-0	Syota Nakano	2-1	Il_Divino_Menca	2-1	Edoardo Mazzuferi	2-0	LucaMassimoRainieri	2-0	Francois LIROLA	2-0	Dafne17	2-0	Eyalzuck28	0-2						
Dafne17	UR Aggro	Tomek Hanik	0-2	Tuomas Ronkainen	2-1	Josku214	2-0	damiano buttarelli	2-0	Supreme90	1-2	AleS133	2-1	mfidzinski	2-1	TristanoM	2-0	PhilippA	2-0	EMILE98	2-1	Valentino Bisogno	2-1	SteS86	2-1	Kheldarion	0-2	Andreas Hofverberg	2-0						
Fynn Karstens	Show and Tell	Jacques Ammon	2-0	Riccardo Scartaghiande	1-2	Jordi Nevot	2-1	Svetoslav Petrov	2-1	Jan Schmidt	1-2	BadBoros	2-1	George Winfield	2-0	VJoner	2-1	Diogo Escoval Martins	2-0	AriFaggin	2-1	Ilya Shcherbakov	0-2	Dario Moreno	2-0	Rodrigo Togores	2-1	Jordy Nieuw	2-0						
René Hubrich	Cradle Control	Sean Goddard	2-0	Magicskeleton	0-2	FedM8	0-2	Artsipappa	2-1	Andrea Castelluzzo	2-0	Sven van Nes	2-0	AndR64	2-1	MatZ14	2-0	Jin Liu	2-0	LucaMassimoRainieri	0-2	andrea riva	2-0	Upredaturi	2-1	BoshNRoll_Brian	2-0	Preslav Krastev	2-0						
AngelCrazy	Show and Tell	Zolgia108	2-0	Salvatore Meli	0-2	Pierre Marzano	2-1	Lukas König	2-1	Nikolay Ivanov	2-1	CarB51	1-2	EliZ2	2-0	Malte Hartmann	2-0	Niklas Holtmann	1-2	KaylaAnn	2-1	PhilippA	2-0	GiuC11	2-0	Luca Fasoli	2-0	MartinoB	2-0						
Magicskeleton	Simic		Bye	René Hubrich	2-0	viktorvonmuerte	2-1	Rodrigo Togores	2-0	Francesco Gregori	1-2	LeoLed94	2-1	Lucas Mietton	2-0	Stanisz	2-1	Alexi Krochmaluk	2-1	Zafferix	1-2	Enrico Donisi	2-1	Scarro	2-0	PatrizioG	1-2	Matteo Di Gangi	0-0						
Matteo Di Gangi	Cloudpost Ramp	David Lambregs	2-1	noluffy80	2-0	Markus Hofer	2-1	Giovasc91	2-1	Dauthi_Dauthi	2-1	AleM160	1-2	Svaca	2-1	Zafferix	1-2	Redouane Bouarar	2-1	JonasW1	2-1	Upredaturi	2-0	Riccardo Scartaghiande	1-2	Terrence Serraarens	2-0	Magicskeleton	0-0						
EMILE98	Artifacts Blue	RobertFitzB	2-1	Viktor Haga	2-1	Andreas Hofverberg	2-0	Kathal09	2-1	LordRiku	2-0	Samuele Dagani	0-2	Riccardo Bragato	2-1	AngusMTG	2-0	Matt Girardi	0-2	Dafne17	1-2	AriFaggin	2-0	Michelino	2-0	Redouane Bouarar	2-0	Riccardo Scartaghiande	0-0						
Matt Girardi	Doomsday	David Peretti	2-0	GiaS8	2-1	Riccardo Scartaghiande	2-1	Robert Möttingdörfer	2-0	Eduardo Ancini	0-2	Maarten van Tol	2-1	Thijs Witteman	2-0	andrea riva	2-1	EMILE98	2-0	Stefan Gussenhoven	2-1	Eyalzuck28	0-2	Eric Ratkowski	2-1	Tommaso Ciampolini	0-2	Niklas Holtmann	0-0						
Niklas Holtmann	4:5c Control		Bye	GabR20	2-0	Diego Badinotti	1-2	ClaT	2-0	Luca Masseroni	2-0	Michel Kohn	0-2	Ibai Lihoreau	2-1	Frederikgiuliani	2-0	AngelCrazy	2-1	Supreme90	2-1	Dauthi_Dauthi	2-1	Terrence Serraarens	2-0	Samuele Dagani	0-2	Matt Girardi	0-0						
Riccardo Scartaghiande	UWx Control		Bye	Fynn Karstens	2-1	Matt Girardi	1-2	TobiasD	2-0	Pun1sher	2-0	jbfmtg	2-1	Adrian Rivas	0-2	DenisCerny	2-0	Luca Verdiani	2-1	Andrew Smith	2-0	FraL39	2-0	Matteo Di Gangi	2-1	Clément Rieutort	0-2	EMILE98	0-0						
Zafferix	Reanimator	dawnshireen	2-1	Tobias Muckelberg	2-0	Peter van der Ham	2-1	paolohitz93	2-1	Alessio Fedi	2-1	Tomek Hanik	0-2	Philipp Vogel	2-0	Matteo Di Gangi	2-1	Basti_B	2-1	Magicskeleton	2-1	AleM160	1-2	Timo Zeyer	2-0	Yoniariel	0-2	Eric Ratkowski	0-0						
Tomek Hanik	Show and Tell	Dafne17	2-0	Kasper Lovin	2-1	Bravo Gabri	2-0	AleI9	2-1	Lucas Mietton	2-0	Zafferix	2-0	Stucanojohn	2-0	Scarro	0-2	Eric Ratkowski	0-2	Andreas Hofverberg	1-2	PieV6	2-1	David Lambregs	2-0	jerko jovic	2-0	Dauthi_Dauthi	0-0						
