Card Statistics over 676 Decks (2025 Asia Legacy Championship (2025-12-12))
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
|                           Card                           | # of  |  % of  | # of Copies | # of Copies | Record With  | Win %  |    Record    |  Win %  | Record vs. | Win % vs. |
|                                                          | Decks | Decks  |   (Main)    |   (Side)    |              |  With  |   Without    | Without |  Without   |  Without  |
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
| Force of Will                                            |   408 | 60.53% |        1628 |           3 | 1752-1700-59 | 50.74% | 1064-1116-31 |  48.82% | 697-645-19 |    51.91% |
| Consign to Memory                                        |   386 | 57.27% |          36 |         928 | 1661-1610-60 | 50.77% | 1155-1206-30 |  48.93% | 703-652-16 |    51.86% |
| Island                                                   |   384 | 56.97% |         634 |           0 | 1657-1604-57 | 50.80% | 1159-1212-33 |  48.90% | 707-654-21 |    51.92% |
| Wasteland                                                |   362 | 53.71% |        1332 |          10 | 1585-1484-55 | 51.62% | 1231-1332-35 |  48.06% | 727-626-23 |    53.67% |
| Brainstorm                                               |   359 | 53.26% |        1436 |           0 | 1542-1486-53 | 50.91% | 1274-1330-37 |  48.94% | 720-664-19 |    52.00% |
| Force of Negation                                        |   345 | 51.19% |         244 |         413 | 1540-1435-53 | 51.73% | 1276-1381-37 |  48.05% | 761-656-19 |    53.66% |
| Ponder                                                   |   335 | 49.70% |        1277 |           0 | 1446-1388-47 | 51.01% | 1370-1428-43 |  48.98% | 725-667-21 |    52.05% |
| Polluted Delta                                           |   293 | 43.47% |         926 |           0 | 1274-1210-37 | 51.27% | 1542-1606-53 |  49.00% | 722-658-21 |    52.28% |
| Lotus Petal                                              |   284 | 42.14% |        1004 |           0 | 1161-1185-23 | 49.49% | 1655-1631-67 |  50.36% | 670-694-17 |    49.13% |
| Ancient Tomb                                             |   269 | 39.91% |        1009 |           3 | 1069-1143-24 | 48.35% | 1747-1673-66 |  51.06% | 618-692-18 |    47.21% |
| Disruptor Flute                                          |   268 | 39.76% |         105 |         546 | 1119-1122-38 | 49.93% | 1697-1694-52 |  50.04% | 661-664-24 |    49.89% |
| Flooded Strand                                           |   256 | 37.98% |         602 |           0 | 1144-1051-42 | 52.08% | 1672-1765-48 |  48.67% | 708-615-22 |    53.46% |
| Misty Rainforest                                         |   253 | 37.54% |         554 |           0 | 1144-1061-34 | 51.85% | 1672-1755-56 |  48.81% | 713-630-22 |    53.04% |
| Daze                                                     |   230 | 34.12% |         786 |           0 |  1044-957-31 | 52.14% | 1772-1859-59 |  48.82% | 674-587-19 |    53.40% |
| Thoughtseize                                             |   230 | 34.12% |         700 |          84 |  1006-949-34 | 51.43% | 1810-1867-56 |  49.24% | 684-627-22 |    52.14% |
| Scalding Tarn                                            |   226 | 33.53% |         507 |           0 |   939-944-29 | 49.87% | 1877-1872-61 |  50.07% | 615-620-21 |    49.80% |
| Surgical Extraction                                      |   217 | 32.20% |           2 |         311 |   922-891-40 | 50.84% | 1894-1925-50 |  49.60% | 625-594-24 |    51.25% |
