Card Statistics over 1308 Decks (Legacy Challenge 2025-12-03 (2025-12-03), Legacy Last Chance 2025-12-01 (2025-12-01), 2025 EU Legacy Championship (2025-11-29), Legacy Last Chance 2025-12-01 (2025-12-01), Legacy Challenge 32 2025-11-30 - 1 (2025-11-30), Legacy Last Chance 2025-12-02 (2025-12-02), Legacy Last Chance 2025-12-03 (2025-12-03), Legacy Challenge 32 2025-11-30 - 2 (2025-11-30))
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
|                            Card                            | # of  |  % of  | # of Decks | # of Decks | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. | # of Decks | % of Decks |  # of Decks   |  # of Decks   |
|                                                            | Decks | Decks  |   (Main)   |   (Side)   |             |  With  |   Without   | Without |  Without   |  Without  |   (T130)   |   (T130)   | (Main) (T130) | (Side) (T130) |
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
| Force of Will                                              |   512 | 60.38% |        512 |          0 | 1926-1880-0 | 50.60% | 2271-2317-0 |  49.50% |  875-829-0 |    51.35% |         82 |     73.87% |            82 |             0 |
| Island                                                     |   493 | 58.14% |        493 |          1 | 1866-1802-0 | 50.87% | 2331-2395-0 |  49.32% |  882-818-0 |    51.88% |         79 |     71.17% |            79 |             0 |
| Brainstorm                                                 |   473 | 55.78% |        473 |          1 | 1740-1726-0 | 50.20% | 2457-2471-0 |  49.86% |  868-854-0 |    50.41% |         68 |     61.26% |            68 |             0 |
| Consign to Memory                                          |   471 | 55.54% |         30 |        465 | 1773-1730-0 | 50.61% | 2424-2467-0 |  49.56% |  868-825-0 |    51.27% |         73 |     65.77% |             4 |            72 |
| Ponder                                                     |   448 | 52.83% |        448 |          0 | 1656-1632-0 | 50.36% | 2541-2565-0 |  49.76% |  859-835-0 |    50.71% |         63 |     56.76% |            63 |             0 |
| Force of Negation                                          |   442 | 52.12% |        187 |        360 | 1660-1599-0 | 50.94% | 2537-2598-0 |  49.41% |  881-820-0 |    51.79% |         72 |     64.86% |            30 |            55 |
| Wasteland                                                  |   423 | 49.88% |        422 |          8 | 1599-1494-0 | 51.70% | 2598-2703-0 |  49.01% |  934-829-0 |    52.98% |         59 |     53.15% |            59 |             1 |
| Polluted Delta                                             |   353 | 41.63% |        353 |          0 | 1320-1266-0 | 51.04% | 2877-2931-0 |  49.54% |  828-774-0 |    51.69% |         50 |     45.05% |            50 |             0 |
| Flooded Strand                                             |   345 | 40.68% |        345 |          0 | 1308-1244-0 | 51.25% | 2889-2953-0 |  49.45% |  835-771-0 |    51.99% |         53 |     47.75% |            53 |             0 |
| Surgical Extraction                                        |   331 | 39.03% |          2 |        331 | 1191-1193-0 | 49.96% | 3006-3004-0 |  50.02% |  782-784-0 |    49.94% |         40 |     36.04% |             2 |            40 |
| Thoughtseize                                               |   326 | 38.44% |        301 |         51 | 1248-1158-0 | 51.87% | 2949-3039-0 |  49.25% |  858-768-0 |    52.77% |         49 |     44.14% |            44 |             8 |
| Misty Rainforest                                           |   325 | 38.33% |        325 |          0 | 1265-1198-0 | 51.36% | 2932-2999-0 |  49.44% |  809-742-0 |    52.16% |         51 |     45.95% |            51 |             0 |
| Hydroblast                                                 |   323 | 38.09% |          0 |        323 | 1195-1169-0 | 50.55% | 3002-3028-0 |  49.78% |  789-763-0 |    50.84% |         51 |     45.95% |             0 |            51 |
| Disruptor Flute                                            |   300 | 35.38% |         58 |        271 | 1082-1081-0 | 50.02% | 3115-3116-0 |  49.99% |  754-753-0 |    50.03% |         34 |     30.63% |             7 |            29 |
| Ancient Tomb                                               |   284 | 33.49% |        284 |          0 | 1036-1064-0 | 49.33% | 3161-3133-0 |  50.22% |  727-755-0 |    49.06% |         38 |     34.23% |            38 |             0 |
| Daze                                                       |   283 | 33.37% |        280 |          3 | 1061-1024-0 | 50.89% | 3136-3173-0 |  49.71% |  752-715-0 |    51.26% |         42 |     37.84% |            42 |             0 |
| Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar    |   282 | 33.25% |        280 |          2 | 1048-1016-0 | 50.78% | 3149-3181-0 |  49.75% |  732-700-0 |    51.12% |         42 |     37.84% |            41 |             1 |
| Scalding Tarn                                              |   279 | 32.90% |        279 |          0 | 1040-1010-0 | 50.73% | 3157-3187-0 |  49.76% |  742-712-0 |    51.03% |         35 |     31.53% |            35 |             0 |
| Underground Sea                                            |   274 | 32.31% |        274 |          0 | 1055-1001-0 | 51.31% | 3142-3196-0 |  49.57% |  749-695-0 |    51.87% |         48 |     43.24% |            48 |             0 |
| Brazen Borrower // Petty Theft                             |   260 | 30.66% |        241 |         41 |   975-927-0 | 51.26% | 3222-3270-0 |  49.63% |  709-661-0 |    51.75% |         38 |     34.23% |            35 |             8 |
| Lotus Petal                                                |   258 | 30.42% |        258 |          0 |   949-951-0 | 49.95% | 3248-3246-0 |  50.02% |  688-690-0 |    49.93% |         32 |     28.83% |            32 |             0 |
| Grafdigger's Cage                                          |   254 | 29.95% |         12 |        242 |   894-917-0 | 49.36% | 3303-3280-0 |  50.17% |  665-688-0 |    49.15% |         27 |     24.32% |             0 |            27 |
| Barrowgoyf                                                 |   251 | 29.60% |         97 |        201 |   968-909-0 | 51.57% | 3229-3288-0 |  49.55% |  720-661-0 |    52.14% |         43 |     38.74% |            10 |            39 |
| Swamp                                                      |   250 | 29.48% |        248 |          2 |   937-902-0 | 50.95% | 3260-3295-0 |  49.73% |  689-654-0 |    51.30% |         34 |     30.63% |            33 |             1 |
| Null Rod                                                   |   245 | 28.89% |          0 |        245 |   925-903-0 | 50.60% | 3272-3294-0 |  49.83% |  684-662-0 |    50.82% |         36 |     32.43% |             0 |            36 |
| Murktide Regent                                            |   242 | 28.54% |        235 |          7 |   912-860-0 | 51.47% | 3285-3337-0 |  49.61% |  686-634-0 |    51.97% |         34 |     30.63% |            34 |             0 |
| Pyroblast                                                  |   241 | 28.42% |         25 |        222 |   871-883-0 | 49.66% | 3326-3314-0 |  50.09% |  655-667-0 |    49.55% |         28 |     25.23% |             1 |            27 |
| Orcish Bowmasters                                          |   237 | 27.95% |        220 |         24 |   914-849-0 | 51.84% | 3283-3348-0 |  49.51% |  702-637-0 |    52.43% |         39 |     35.14% |            32 |             7 |
| Undercity Sewers                                           |   217 | 25.59% |        217 |          0 |   824-783-0 | 51.28% | 3373-3414-0 |  49.70% |  642-601-0 |    51.65% |         35 |     31.53% |            35 |             0 |
| Volcanic Island                                            |   200 | 23.58% |        200 |          0 |   762-727-0 | 51.18% | 3435-3470-0 |  49.75% |  594-559-0 |    51.52% |         29 |     26.13% |            29 |             0 |
| Urza's Saga                                                |   183 | 21.58% |        182 |          1 |   589-662-0 | 47.08% | 3608-3535-0 |  50.51% |  464-537-0 |    46.35% |         14 |     12.61% |            14 |             0 |
| Fatal Push                                                 |   180 | 21.23% |        132 |         61 |   692-657-0 | 51.30% | 3505-3540-0 |  49.75% |  575-540-0 |    51.57% |         29 |     26.13% |            21 |             8 |
| Dismember                                                  |   177 | 20.87% |         27 |        152 |   645-636-0 | 50.35% | 3552-3561-0 |  49.94% |  541-532-0 |    50.42% |         24 |     21.62% |             7 |            17 |
| Faerie Macabre                                             |   171 | 20.17% |          0 |        171 |   608-630-0 | 49.11% | 3589-3567-0 |  50.15% |  493-515-0 |    48.91% |         18 |     16.22% |             0 |            18 |
| Pithing Needle                                             |   171 | 20.17% |        102 |         84 |   546-624-0 | 46.67% | 3651-3573-0 |  50.54% |  432-510-0 |    45.86% |         14 |     12.61% |            11 |             3 |
| Swords to Plowshares                                       |   169 | 19.93% |        158 |         39 |   591-594-0 | 49.87% | 3606-3603-0 |  50.02% |  496-499-0 |    49.85% |         19 |     17.12% |            19 |             3 |
| Verdant Catacombs                                          |   156 | 18.40% |        156 |          0 |   570-570-0 | 50.00% | 3627-3627-0 |  50.00% |  482-482-0 |    50.00% |         19 |     17.12% |            19 |             0 |
| Plains                                                     |   152 | 17.92% |        152 |          0 |   547-532-0 | 50.70% | 3650-3665-0 |  49.90% |  471-456-0 |    50.81% |         18 |     16.22% |            18 |             0 |
| Mishra's Bauble                                            |   148 | 17.45% |        148 |          0 |   547-538-0 | 50.41% | 3650-3659-0 |  49.94% |  457-448-0 |    50.50% |         19 |     17.12% |            19 |             0 |
| Lightning Bolt                                             |   144 | 16.98% |        140 |          5 |   500-517-0 | 49.16% | 3697-3680-0 |  50.12% |  428-445-0 |    49.03% |         13 |     11.71% |            13 |             0 |
| Mountain                                                   |   136 | 16.04% |        135 |          1 |   486-512-0 | 48.70% | 3711-3685-0 |  50.18% |  425-451-0 |    48.52% |         13 |     11.71% |            13 |             0 |
| Meltdown                                                   |   134 | 15.80% |          0 |        134 |   478-489-0 | 49.43% | 3719-3708-0 |  50.07% |  413-424-0 |    49.34% |         13 |     11.71% |             0 |            13 |
| Forest                                                     |   133 | 15.68% |        133 |          0 |   451-474-0 | 48.76% | 3746-3723-0 |  50.15% |  394-417-0 |    48.58% |         13 |     11.71% |            13 |             0 |
| Kozilek's Command                                          |   131 | 15.45% |        131 |          0 |   479-483-0 | 49.79% | 3718-3714-0 |  50.03% |  430-434-0 |    49.77% |         19 |     17.12% |            19 |             0 |
| The One Ring                                               |   131 | 15.45% |        130 |         51 |   478-492-0 | 49.28% | 3719-3705-0 |  50.09% |  415-429-0 |    49.17% |         22 |     19.82% |            22 |            12 |
| Engineered Explosives                                      |   127 | 14.98% |          2 |        126 |   501-457-0 | 52.30% | 3696-3740-0 |  49.70% |  439-395-0 |    52.64% |         25 |     22.52% |             0 |            25 |
| Thundering Falls                                           |   125 | 14.74% |        125 |          0 |   451-464-0 | 49.29% | 3746-3733-0 |  50.09% |  384-397-0 |    49.17% |         16 |     14.41% |            16 |             0 |
| Ensnaring Bridge                                           |   121 | 14.27% |         13 |        114 |   428-455-0 | 48.47% | 3769-3742-0 |  50.18% |  382-409-0 |    48.29% |         17 |     15.32% |             1 |            16 |
| Karakas                                                    |   121 | 14.27% |        117 |          4 |   394-410-0 | 49.00% | 3803-3787-0 |  50.11% |  358-374-0 |    48.91% |          7 |      6.31% |             6 |             1 |
| Tormod's Crypt                                             |   121 | 14.27% |         14 |        115 |   449-449-0 | 50.00% | 3748-3748-0 |  50.00% |  393-393-0 |    50.00% |         20 |     18.02% |             1 |            20 |
| Bloodstained Mire                                          |   120 | 14.15% |        120 |          0 |   467-441-0 | 51.43% | 3730-3756-0 |  49.83% |  416-390-0 |    51.61% |         20 |     18.02% |            20 |             0 |
| Kaito, Bane of Nightmares                                  |   119 | 14.03% |        118 |          4 |   460-429-0 | 51.74% | 3737-3768-0 |  49.79% |  405-374-0 |    51.99% |         21 |     18.92% |            20 |             2 |
| Prismatic Ending                                           |   117 | 13.80% |         98 |         38 |   400-414-0 | 49.14% | 3797-3783-0 |  50.09% |  350-364-0 |    49.02% |         12 |     10.81% |            10 |             2 |
| Lórien Revealed                                            |   115 | 13.56% |        115 |          0 |   449-436-0 | 50.73% | 3748-3761-0 |  49.91% |  397-384-0 |    50.83% |         21 |     18.92% |            21 |             0 |
| Price of Progress                                          |   115 | 13.56% |          4 |        111 |   384-410-0 | 48.36% | 3813-3787-0 |  50.17% |  338-364-0 |    48.15% |          9 |      8.11% |             0 |             9 |
| Tundra                                                     |   115 | 13.56% |        115 |          0 |   388-417-0 | 48.20% | 3809-3780-0 |  50.19% |  344-373-0 |    47.98% |         14 |     12.61% |            14 |             0 |
| Karn, the Great Creator                                    |   114 | 13.44% |        112 |          3 |   403-423-0 | 48.79% | 3794-3774-0 |  50.13% |  363-383-0 |    48.66% |         16 |     14.41% |            16 |             0 |
| Force of Vigor                                             |   110 | 12.97% |          0 |        110 |   373-378-0 | 49.67% | 3824-3819-0 |  50.03% |  333-338-0 |    49.63% |          8 |      7.21% |             0 |             8 |
| Tropical Island                                            |   110 | 12.97% |        110 |          0 |   425-405-0 | 51.20% | 3772-3792-0 |  49.87% |  380-360-0 |    51.35% |         19 |     17.12% |            19 |             0 |
| Dragon's Rage Channeler                                    |   109 | 12.85% |        109 |          0 |   382-392-0 | 49.35% | 3815-3805-0 |  50.07% |  337-347-0 |    49.27% |         12 |     10.81% |            12 |             0 |
| Stock Up                                                   |   109 | 12.85% |        109 |          0 |   445-422-0 | 51.33% | 3752-3775-0 |  49.85% |  398-375-0 |    51.49% |         23 |     20.72% |            23 |             0 |
| Chalice of the Void                                        |   108 | 12.74% |        103 |          7 |   405-407-0 | 49.88% | 3792-3790-0 |  50.01% |  353-355-0 |    49.86% |         17 |     15.32% |            17 |             0 |
| Mycosynth Lattice                                          |   108 | 12.74% |          0 |        108 |   379-400-0 | 48.65% | 3818-3797-0 |  50.14% |  344-365-0 |    48.52% |         16 |     14.41% |             0 |            16 |
| Sheoldred's Edict                                          |   107 | 12.62% |         46 |         75 |   370-388-0 | 48.81% | 3827-3809-0 |  50.12% |  331-349-0 |    48.68% |         14 |     12.61% |             5 |            10 |
| Flusterstorm                                               |   106 | 12.50% |         32 |         82 |   351-396-0 | 46.99% | 3846-3801-0 |  50.29% |  310-355-0 |    46.62% |         11 |      9.91% |             4 |             8 |
