Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
|                             Card                             | # of  |  % of  | # of Copies | # of Copies | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, | # of Decks | % of Decks |  # of Copies  |  # of Copies  |    # of    |    % of    | # of Copies | # of Copies |
|                                                              | Decks | Decks  |   (Main)    |   (Side)    |             |  With  |   Without   | Without |  Without   |  Without  | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |   (T217)   |   (T217)   | (Main) (T217) | (Side) (T217) | Decks (T8) | Decks (T8) | (Main) (T8) | (Side) (T8) |
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
| Force of Will                                                |   547 | 58.44% |        2188 |           0 | 2272-2259-0 | 50.14% | 1679-1692-0 |  49.81% |  971-958-0 |    50.34% |  363-422-0 |    46.24% |    213-218-0 |       49.42% |        269-322-0 |          45.52% |        125 |     58.41% |           500 |             0 |          4 |     50.00% |          16 |           0 |
| Brainstorm                                                   |   531 | 56.73% |        2121 |           0 | 2199-2198-0 | 50.01% | 1752-1753-0 |  49.99% |  982-981-0 |    50.03% |  346-404-0 |    46.13% |    212-215-0 |       49.65% |        253-320-0 |          44.15% |        122 |     57.01% |           488 |             0 |          4 |     50.00% |          16 |           0 |
| Faerie Macabre                                               |   521 | 55.66% |           7 |        1135 | 2254-2201-0 | 50.59% | 1697-1750-0 |  49.23% | 1008-955-0 |    51.35% |  379-419-0 |    47.49% |    176-228-0 |       43.56% |        262-300-0 |          46.62% |        131 |     61.21% |             1 |           298 |          2 |     25.00% |           0 |           5 |
| Island                                                       |   514 | 54.91% |         736 |           5 | 2147-2128-0 | 50.22% | 1804-1823-0 |  49.74% |  992-973-0 |    50.48% |  351-398-0 |    46.86% |    200-206-0 |       49.26% |        254-297-0 |          46.10% |        121 |     56.54% |           155 |             0 |          4 |     50.00% |           4 |           0 |
| Consign to Memory                                            |   508 | 54.27% |          36 |        1054 | 2111-2098-0 | 50.15% | 1840-1853-0 |  49.82% |  991-978-0 |    50.33% |  349-385-0 |    47.55% |    191-205-0 |       48.23% |        239-302-0 |          44.18% |        118 |     55.14% |             9 |           244 |          3 |     37.50% |           0 |           6 |
| Ponder                                                       |   507 | 54.17% |        1990 |           0 | 2113-2100-0 | 50.15% | 1838-1851-0 |  49.82% | 1002-989-0 |    50.33% |  335-382-0 |    46.72% |    206-207-0 |       49.88% |        247-303-0 |          44.91% |        120 |     56.07% |           469 |             0 |          4 |     50.00% |          16 |           0 |
| Force of Negation                                            |   470 | 50.21% |         271 |         689 | 1998-1941-0 | 50.72% | 1953-2010-0 |  49.28% | 1008-951-0 |    51.45% |  324-366-0 |    46.96% |    188-186-0 |       50.27% |        232-275-0 |          45.76% |        114 |     53.27% |            80 |           160 |          4 |     50.00% |           2 |           7 |
| Wasteland                                                    |   436 | 46.58% |        1499 |          18 | 1764-1827-0 | 49.12% | 2187-2124-0 |  50.73% | 953-1016-0 |    48.40% |  304-311-0 |    49.43% |    158-192-0 |       45.14% |        206-262-0 |          44.02% |        100 |     46.73% |           329 |             8 |          3 |     37.50% |          10 |           0 |
| Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar      |   402 | 42.95% |        1488 |           6 | 1677-1667-0 | 50.15% | 2274-2284-0 |  49.89% |  990-980-0 |    50.25% |  268-294-0 |    47.69% |    158-167-0 |       48.62% |        199-249-0 |          44.42% |         96 |     44.86% |           337 |             0 |          4 |     50.00% |          15 |           0 |
| Thoughtseize                                                 |   382 | 40.81% |        1261 |          86 | 1551-1591-0 | 49.36% | 2400-2360-0 |  50.42% |  941-981-0 |    48.96% |  236-287-0 |    45.12% |    154-170-0 |       47.53% |        177-232-0 |          43.28% |         86 |     40.19% |           294 |            17 |          4 |     50.00% |          16 |           0 |
| Polluted Delta                                               |   379 | 40.49% |        1286 |           0 | 1563-1571-0 | 49.87% | 2388-2380-0 |  50.08% |  968-976-0 |    49.79% |  231-284-0 |    44.85% |    153-148-0 |       50.83% |        181-228-0 |          44.25% |         88 |     41.12% |           308 |             0 |          3 |     37.50% |          12 |           0 |
| Daze                                                         |   378 | 40.38% |        1090 |           0 | 1569-1566-0 | 50.05% | 2382-2385-0 |  49.97% |  965-962-0 |    50.08% |  249-277-0 |    47.34% |    148-150-0 |       49.66% |        184-226-0 |          44.88% |         90 |     42.06% |           257 |             0 |          4 |     50.00% |          10 |           0 |
| Flooded Strand                                               |   372 | 39.74% |         907 |           0 | 1606-1547-0 | 50.94% | 2345-2404-0 |  49.38% |  984-925-0 |    51.55% |  260-291-0 |    47.19% |    147-147-0 |       50.00% |        184-222-0 |          45.32% |         91 |     42.52% |           219 |             0 |          4 |     50.00% |           8 |           0 |
| Misty Rainforest                                             |   372 | 39.74% |         866 |           0 | 1618-1552-0 | 51.04% | 2333-2399-0 |  49.30% |  993-927-0 |    51.72% |  273-276-0 |    49.73% |    157-149-0 |       51.31% |        185-226-0 |          45.01% |         89 |     41.59% |           210 |             0 |          3 |     37.50% |           5 |           0 |
| Ancient Tomb                                                 |   317 | 33.87% |        1130 |           3 | 1343-1350-0 | 49.87% | 2608-2601-0 |  50.07% |  888-895-0 |    49.80% |  226-259-0 |    46.60% |    123-148-0 |       45.39% |        171-172-0 |          49.85% |         73 |     34.11% |           265 |             0 |          3 |     37.50% |          12 |           0 |
| Disruptor Flute                                              |   316 | 33.76% |          87 |         627 | 1329-1337-0 | 49.85% | 2622-2614-0 |  50.08% |  888-896-0 |    49.78% |  237-237-0 |    50.00% |    102-158-0 |       39.23% |        161-172-0 |          48.35% |         69 |     32.24% |            18 |           145 |          3 |     37.50% |           0 |           6 |
| Brazen Borrower // Petty Theft                               |   314 | 33.55% |         522 |         122 | 1286-1290-0 | 49.92% | 2665-2661-0 |  50.04% |  888-892-0 |    49.89% |  199-221-0 |    47.38% |    131-122-0 |       51.78% |        151-194-0 |          43.77% |         73 |     34.11% |           124 |            33 |          3 |     37.50% |           6 |           1 |
| Swamp                                                        |   313 | 33.44% |         397 |           0 | 1257-1286-0 | 49.43% | 2694-2665-0 |  50.27% |  862-891-0 |    49.17% |  197-229-0 |    46.24% |    117-132-0 |       46.99% |        144-188-0 |          43.37% |         70 |     32.71% |            81 |             0 |          4 |     50.00% |           5 |           0 |
| Underground Sea                                              |   307 | 32.80% |         948 |           0 | 1279-1262-0 | 50.33% | 2672-2689-0 |  49.84% |  894-877-0 |    50.48% |  184-227-0 |    44.77% |    129-129-0 |       50.00% |        153-192-0 |          44.35% |         71 |     33.18% |           227 |             0 |          3 |     37.50% |          10 |           0 |
| Urza's Saga                                                  |   306 | 32.69% |        1113 |           5 | 1328-1299-0 | 50.55% | 2623-2652-0 |  49.73% |  897-868-0 |    50.82% |  245-251-0 |    49.40% |    110-138-0 |       44.35% |        152-160-0 |          48.72% |         75 |     35.05% |           270 |             1 |          5 |     62.50% |          19 |           0 |
| Murktide Regent                                              |   302 | 32.26% |         654 |          27 | 1234-1240-0 | 49.88% | 2717-2711-0 |  50.06% |  869-875-0 |    49.83% |  189-206-0 |    47.85% |    123-119-0 |       50.83% |        145-192-0 |          43.03% |         72 |     33.64% |           155 |            12 |          2 |     25.00% |           5 |           0 |
| Pithing Needle                                               |   295 | 31.52% |         166 |         200 | 1333-1251-0 | 51.59% | 2618-2700-0 |  49.23% |  916-834-0 |    52.34% |  251-238-0 |    51.33% |    109-136-0 |       44.49% |        149-157-0 |          48.69% |         77 |     35.98% |            41 |            58 |          5 |     62.50% |           4 |           2 |
| Undercity Sewers                                             |   281 | 30.02% |         416 |           0 | 1176-1161-0 | 50.32% | 2775-2790-0 |  49.87% |  860-845-0 |    50.44% |  168-211-0 |    44.33% |    123-116-0 |       51.46% |        145-178-0 |          44.89% |         67 |     31.31% |           106 |             0 |          3 |     37.50% |           5 |           0 |
| Lotus Petal                                                  |   277 | 29.59% |         941 |           1 | 1218-1181-0 | 50.77% | 2733-2770-0 |  49.66% |  828-791-0 |    51.14% |  192-242-0 |    44.24% |    128-132-0 |       49.23% |        137-157-0 |          46.60% |         67 |     31.31% |           230 |             0 |          4 |     50.00% |          14 |           0 |
| Scalding Tarn                                                |   266 | 28.42% |         500 |           0 | 1088-1083-0 | 50.12% | 2863-2868-0 |  49.96% |  807-802-0 |    50.16% |  164-195-0 |    45.68% |    116-108-0 |       51.79% |        115-172-0 |          40.07% |         57 |     26.64% |            99 |             0 |          3 |     37.50% |           3 |           0 |
| Null Rod                                                     |   259 | 27.67% |           2 |         376 |  968-1082-0 | 47.22% | 2983-2869-0 |  50.97% |  703-817-0 |    46.25% |  166-186-0 |    47.16% |     90-104-0 |       46.39% |        112-137-0 |          44.98% |         47 |     21.96% |             0 |            70 |          0 |        --- |           0 |           0 |
| Barrowgoyf                                                   |   254 | 27.14% |          80 |         535 | 1044-1045-0 | 49.98% | 2907-2906-0 |  50.01% |  780-781-0 |    49.97% |  164-180-0 |    47.67% |    106-109-0 |       49.30% |        123-161-0 |          43.31% |         59 |     27.57% |            22 |           127 |          3 |     37.50% |           2 |           7 |
| Fatal Push                                                   |   248 | 26.50% |         351 |         346 | 1029-1028-0 | 50.02% | 2922-2923-0 |  49.99% |  787-786-0 |    50.03% |  157-171-0 |    47.87% |    106-104-0 |       50.48% |        126-155-0 |          44.84% |         60 |     28.04% |            54 |           105 |          3 |     37.50% |           1 |           7 |
| Swords to Plowshares                                         |   221 | 23.61% |         704 |         158 |   972-924-0 | 51.27% | 2979-3027-0 |  49.60% |  754-706-0 |    51.64% |  187-182-0 |    50.68% |     72-101-0 |       41.62% |        110-124-0 |          47.01% |         58 |     27.10% |           169 |            55 |          1 |     12.50% |           2 |           2 |
