Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
|                             Card                             | # of  |  % of  |  Record With  | Win %  | # of Copies | # of Copies |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, |
|                                                              | Decks | Decks  |               |  With  |   (Main)    |   (Side)    | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
| Force of Will                                                |   547 | 58.44% | 2269-2255-143 | 50.15% |        2188 |           0 | 362-421-23 |    46.34% |    212-215-4 |       49.65% |       269-322-18 |          45.65% |
| Brainstorm                                                   |   531 | 56.73% | 2196-2194-137 | 50.02% |        2121 |           0 | 345-403-21 |    46.23% |    211-212-3 |       49.88% |       253-320-18 |          44.33% |
| Faerie Macabre                                               |   521 | 55.66% |  2253-2199-95 | 50.59% |           7 |        1135 | 379-419-20 |    47.56% |    175-227-3 |       43.58% |        262-299-6 |          46.74% |
| Island                                                       |   514 | 54.91% | 2144-2124-135 | 50.23% |         736 |           5 | 350-397-23 |    46.95% |    199-203-4 |       49.51% |       254-297-16 |          46.21% |
| Consign to Memory                                            |   508 | 54.27% | 2108-2095-134 | 50.15% |          36 |        1054 | 348-385-21 |    47.55% |    190-202-3 |       48.48% |       239-302-18 |          44.36% |
| Ponder                                                       |   507 | 54.17% | 2110-2096-134 | 50.16% |        1990 |           0 | 334-381-21 |    46.81% |    205-204-3 |       50.12% |       247-303-18 |          45.07% |
| Force of Negation                                            |   470 | 50.21% | 1995-1937-122 | 50.72% |         271 |         689 | 323-365-17 |    47.02% |    187-183-4 |       50.53% |       232-275-17 |          45.90% |
| Wasteland                                                    |   436 | 46.58% | 1761-1824-105 | 49.15% |        1499 |          18 | 303-310-18 |    49.45% |    157-190-3 |       45.29% |       206-262-15 |          44.20% |
| Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar      |   402 | 42.95% | 1674-1663-116 | 50.16% |        1488 |           6 | 267-293-17 |    47.75% |    157-164-3 |       48.92% |       199-249-15 |          44.60% |
| Thoughtseize                                                 |   382 | 40.81% |  1548-1587-87 | 49.39% |        1261 |          86 | 235-285-18 |    45.35% |    153-168-4 |       47.69% |       177-232-11 |          43.45% |
| Polluted Delta                                               |   379 | 40.49% | 1561-1568-106 | 49.89% |        1286 |           0 | 230-283-17 |    45.00% |    153-146-4 |       51.16% |       181-228-15 |          44.46% |
| Daze                                                         |   378 | 40.38% |  1566-1562-96 | 50.06% |        1090 |           0 | 248-276-14 |    47.40% |    147-147-3 |       50.00% |       184-226-12 |          45.02% |
| Misty Rainforest                                             |   372 | 39.74% |  1615-1549-87 | 51.02% |         866 |           0 | 272-275-15 |    49.73% |    156-147-1 |       51.48% |       185-226-10 |          45.13% |
| Flooded Strand                                               |   372 | 39.74% |  1603-1543-90 | 50.93% |         907 |           0 | 259-290-16 |    47.26% |    146-144-3 |       50.34% |       184-222-11 |          45.44% |
| Ancient Tomb                                                 |   317 | 33.87% |  1340-1348-37 | 49.85% |        1130 |           3 |  224-259-8 |    46.44% |    123-148-3 |       45.44% |        170-171-3 |          49.85% |
| Disruptor Flute                                              |   316 | 33.76% |  1326-1335-45 | 49.83% |          87 |         627 |  235-237-9 |    49.79% |    102-158-2 |       39.31% |        160-171-4 |          48.36% |
| Brazen Borrower // Petty Theft                               |   314 | 33.55% |  1284-1287-85 | 49.94% |         522 |         122 | 198-220-12 |    47.44% |    131-120-3 |       52.17% |       151-194-12 |          43.98% |
| Swamp                                                        |   313 | 33.44% |  1254-1282-76 | 49.46% |         397 |           0 | 196-227-16 |    46.47% |    116-130-4 |       47.20% |       144-188-11 |          43.59% |
| Underground Sea                                              |   307 | 32.80% |  1277-1259-81 | 50.34% |         948 |           0 | 183-226-17 |    44.95% |    129-127-4 |       50.38% |        153-192-8 |          44.48% |
| Urza's Saga                                                  |   306 | 32.69% |  1323-1295-46 | 50.53% |        1113 |           5 |  243-250-7 |    49.30% |    108-137-0 |       44.08% |        151-159-6 |          48.73% |
| Murktide Regent                                              |   302 | 32.26% |  1232-1238-90 | 49.88% |         654 |          27 | 188-206-16 |    47.80% |    123-117-3 |       51.23% |       145-192-11 |          43.25% |
| Pithing Needle                                               |   295 | 31.52% |  1328-1247-46 | 51.55% |         166 |         200 |  249-237-7 |    51.22% |    107-135-0 |       44.21% |        148-156-4 |          48.70% |
| Undercity Sewers                                             |   281 | 30.02% |  1174-1158-69 | 50.33% |         416 |           0 | 167-210-12 |    44.47% |    123-114-3 |       51.88% |        145-178-8 |          45.02% |
| Lotus Petal                                                  |   277 | 29.59% |  1215-1178-26 | 50.76% |         941 |           1 |  190-241-6 |    44.16% |    128-132-0 |       49.23% |        136-156-2 |          46.60% |
| Scalding Tarn                                                |   266 | 28.42% |  1086-1080-79 | 50.13% |         500 |           0 |  163-194-7 |    45.74% |    116-106-2 |       52.23% |       115-172-15 |          40.56% |
| Null Rod                                                     |   259 | 27.67% |   968-1082-65 | 47.30% |           2 |         376 |  166-186-9 |    47.23% |     90-104-0 |       46.39% |       112-137-13 |          45.23% |
| Barrowgoyf                                                   |   254 | 27.14% |  1041-1042-75 | 49.98% |          80 |         535 | 163-179-14 |    47.75% |    105-107-5 |       49.54% |        123-161-8 |          43.49% |
| Fatal Push                                                   |   248 | 26.50% |  1026-1025-72 | 50.02% |         351 |         346 | 156-170-13 |    47.94% |    105-102-4 |       50.71% |        126-155-8 |          44.98% |
| Swords to Plowshares                                         |   221 | 23.61% |    971-923-56 | 51.23% |         704 |         158 |  187-182-8 |    50.66% |     71-100-0 |       41.52% |        110-124-7 |          47.10% |
| Hydroblast                                                   |   217 | 23.18% |    824-880-75 | 48.43% |           0 |         335 |  128-159-7 |    44.73% |      74-69-0 |       51.75% |        88-121-11 |          42.50% |
| Dismember                                                    |   211 | 22.54% |    955-912-34 | 51.13% |          15 |         364 |  154-166-7 |    48.17% |      78-93-2 |       45.66% |        114-125-0 |          47.70% |
| Orcish Bowmasters                                            |   203 | 21.69% |    748-812-58 | 48.02% |         591 |          38 | 112-135-11 |    45.54% |      75-86-3 |       46.65% |         93-116-8 |          44.70% |
| Atraxa, Grand Unifier                                        |   198 | 21.15% |    893-823-38 | 52.00% |         270 |           1 |  144-150-9 |    49.01% |      92-95-3 |       49.21% |        102-129-3 |          44.23% |
| Bloodstained Mire                                            |   197 | 21.05% |    772-811-51 | 48.81% |         326 |           0 |  115-149-9 |    43.77% |      78-83-2 |       48.47% |         95-130-7 |          42.46% |
| Engineered Explosives                                        |   191 | 20.41% |    802-797-46 | 50.15% |           2 |         233 |  118-138-6 |    46.18% |      82-77-3 |       51.54% |         98-128-4 |          43.48% |
| The One Ring                                                 |   187 | 19.98% |    801-775-23 | 50.81% |         655 |          34 |  134-161-5 |    45.50% |      71-86-3 |       45.31% |         103-81-1 |          55.95% |
| Karakas                                                      |   184 | 19.66% |    750-774-29 | 49.23% |         208 |          10 |  149-155-7 |    49.04% |      59-91-0 |       39.33% |          80-94-3 |          46.05% |
| Grafdigger's Cage                                            |   183 | 19.55% |    714-778-45 | 47.92% |          22 |         205 |  117-137-5 |    46.14% |      73-77-0 |       48.67% |        77-102-11 |          43.42% |
| Verdant Catacombs                                            |   179 | 19.12% |    778-767-34 | 50.35% |         335 |           0 | 119-133-11 |    47.34% |      82-85-1 |       49.11% |         83-116-2 |          41.79% |
| Surgical Extraction                                          |   176 | 18.80% |    645-727-49 | 47.11% |          31 |         272 |  102-143-6 |    41.83% |      62-62-0 |       50.00% |         73-95-10 |          43.82% |
| Reanimate                                                    |   173 | 18.48% |    797-726-39 | 52.27% |         625 |          14 | 132-129-10 |    50.55% |      84-88-3 |       48.86% |         97-113-4 |          46.26% |
| Plains                                                       |   173 | 18.48% |    727-726-42 | 50.03% |         271 |           1 |  141-140-6 |    50.17% |      50-77-0 |       39.37% |          77-99-5 |          43.92% |
| Pyroblast                                                    |   170 | 18.16% |    681-708-48 | 49.06% |         109 |         297 |  101-127-5 |    44.42% |      69-69-0 |       50.00% |        74-107-12 |          41.45% |
| Prismatic Ending                                             |   167 | 17.84% |    773-700-45 | 52.40% |         173 |         163 |  141-142-4 |    49.83% |      57-68-0 |       45.60% |          87-90-5 |          49.18% |
| Tropical Island                                              |   167 | 17.84% |    767-703-34 | 52.13% |         263 |           0 |  137-138-9 |    49.82% |      70-70-0 |       50.00% |          82-94-2 |          46.63% |
| Tundra                                                       |   167 | 17.84% |    728-696-46 | 51.09% |         340 |           0 |  134-137-5 |    49.46% |      55-68-0 |       44.72% |          86-95-5 |          47.58% |
| Entomb                                                       |   157 | 16.77% |    734-654-33 | 52.81% |         622 |           0 |  117-117-8 |    50.00% |      76-71-3 |       51.67% |         93-103-3 |          47.49% |
