Beanstalk Control (Non-Yorion) -- 1.91% of field, won 39.68% of matches
+---------------------------------+--------+---------+----------+----------+
|        Beanstalk Control        | EW NA  |  EW NA  | Post-EoE | Post-EoE |
|        (Non-Yorion) vs.         | Record |  Win %  |  Record  |  Win %   |
+---------------------------------+--------+---------+----------+----------+
| Dimir Reanimator                | 8-9-0  |  47.06% | 32-51-0  |   38.55% |
| Mystic Forge Combo              | 6-6-0  |  50.00% | 22-14-0  |   61.11% |
| Dimir Tempo                     | 3-4-0  |  42.86% |  9-14-0  |   39.13% |
| Cephalid Breakfast              | 2-6-0  |  25.00% | 11-19-0  |   36.67% |
| Izzet Tempo                     | 1-1-0  |  50.00% | 12-12-0  |   50.00% |
| Red Stompy                      | 4-3-0  |  57.14% | 12-16-0  |   42.86% |
| Nadu Midrange Combo             | 2-4-0  |  33.33% |  6-12-0  |   33.33% |
| Lands                           | 2-0-0  | 100.00% |  8-7-0   |   53.33% |
| Red Painter                     | 1-0-0  | 100.00% |  4-5-0   |   44.44% |
| Eldrazi                         | 1-3-0  |  25.00% |  1-11-0  |    8.33% |
| Sneak and Show                  | 0-2-0  |   0.00% |  8-11-0  |   42.11% |
| Stiflenought                    | 0-0-0  |     --- |  4-0-0   |  100.00% |
| Blue Cloudpost                  | 0-5-0  |   0.00% |  0-5-0   |    0.00% |
| Jeskai Control                  | 0-2-0  |   0.00% |  6-5-0   |   54.55% |
| Doomsday                        | 1-1-0  |  50.00% |  4-6-0   |   40.00% |
| Omni-Tell                       | 1-1-0  |  50.00% |  5-8-0   |   38.46% |
| Cradle Control                  | 1-1-0  |  50.00% |  5-10-0  |   33.33% |
| Oops All Spells                 | 1-1-0  |  50.00% |  11-8-0  |   57.89% |
| Grixis Control                  | 1-1-0  |  50.00% |  1-6-0   |   14.29% |
| Other Control                   | 2-2-0  |  50.00% |  2-2-0   |   50.00% |
| The EPIC Storm                  | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Other Aggro                     | 0-1-0  |   0.00% |  1-3-0   |   25.00% |
| ANT                             | 1-1-0  |  50.00% |  1-2-0   |   33.33% |
| Unknown Deck                    | 0-1-0  |   0.00% |  0-2-0   |    0.00% |
| Mardu Energy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Nadu Cradle Combo               | 1-4-0  |  20.00% |  1-5-0   |   16.67% |
| Death and Taxes - BW (Yorion)   | 1-0-0  | 100.00% |  4-5-0   |   44.44% |
| Saga Storm                      | 0-0-0  |     --- |  4-4-0   |   50.00% |
| Black Stompy                    | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Burn/Red Prowess                | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Blue Painter                    | 0-2-0  |   0.00% |  0-3-0   |    0.00% |
| Grixis Tempo                    | 1-1-0  |  50.00% |  4-2-0   |   66.67% |
| Loam Pox                        | 0-0-0  |     --- |  0-0-0   |      --- |
| Mono Green Cloudpost            | 0-1-0  |   0.00% |  0-2-0   |    0.00% |
| Other Stompy                    | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Other Permanent Combo           | 0-0-0  |     --- |  0-0-0   |      --- |
