Grixis Tempo -- 0.64% of field, won 47.62% of matches
+---------------------------------+--------+---------+----------+----------+
|        Grixis Tempo vs.         | EW NA  |  EW NA  | Post-EoE | Post-EoE |
|                                 | Record |  Win %  |  Record  |  Win %   |
+---------------------------------+--------+---------+----------+----------+
| Dimir Reanimator                | 3-2-0  |  60.00% | 17-16-0  |   51.52% |
| Mystic Forge Combo              | 0-4-0  |   0.00% |  2-8-0   |   20.00% |
| Dimir Tempo                     | 3-0-0  | 100.00% |  8-4-0   |   66.67% |
| Cephalid Breakfast              | 1-0-0  | 100.00% |  3-2-0   |   60.00% |
| Izzet Tempo                     | 0-1-0  |   0.00% |  3-2-0   |   60.00% |
| Red Stompy                      | 3-2-0  |  60.00% |  6-8-0   |   42.86% |
| Nadu Midrange Combo             | 0-1-0  |   0.00% |  0-7-0   |    0.00% |
| Lands                           | 1-0-0  | 100.00% |  2-1-0   |   66.67% |
| Red Painter                     | 0-1-0  |   0.00% |  3-1-0   |   75.00% |
| Eldrazi                         | 0-2-0  |   0.00% |  2-3-0   |   40.00% |
| Sneak and Show                  | 0-0-0  |     --- |  2-2-0   |   50.00% |
| Stiflenought                    | 1-0-0  | 100.00% |  4-0-0   |  100.00% |
| Beanstalk Control (Non-Yorion)  | 1-1-0  |  50.00% |  2-4-0   |   33.33% |
| Blue Cloudpost                  | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Jeskai Control                  | 0-0-0  |     --- |  3-5-0   |   37.50% |
| Doomsday                        | 1-1-0  |  50.00% |  2-2-0   |   50.00% |
| Omni-Tell                       | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Cradle Control                  | 0-0-0  |     --- |  2-2-0   |   50.00% |
| Oops All Spells                 | 0-2-0  |   0.00% |  4-6-0   |   40.00% |
| Grixis Control                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Control                   | 0-0-0  |     --- |  0-0-0   |      --- |
| The EPIC Storm                  | 0-0-0  |     --- |  0-1-0   |    0.00% |
| Other Aggro                     | 0-0-0  |     --- |  2-2-0   |   50.00% |
| ANT                             | 0-0-0  |     --- |  0-0-0   |      --- |
| Unknown Deck                    | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Mardu Energy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Nadu Cradle Combo               | 0-0-0  |     --- |  2-0-0   |  100.00% |
| Death and Taxes - BW (Yorion)   | 0-0-0  |     --- |  0-0-0   |      --- |
| Saga Storm                      | 0-0-0  |     --- |  1-1-0   |   50.00% |
| Black Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Burn/Red Prowess                | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Blue Painter                    | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Loam Pox                        | 0-0-0  |     --- |  0-0-0   |      --- |
| Mono Green Cloudpost            | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Stompy                    | 0-1-0  |   0.00% |  1-1-0   |   50.00% |
| Other Permanent Combo           | 1-0-0  | 100.00% |  1-1-0   |   50.00% |
| Rakdos Reanimator               | 0-0-0  |     --- |  0-1-0   |    0.00% |
| 8Cast                           | 0-0-0  |     --- |  2-2-0   |   50.00% |
| Black Midrange                  | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Elves                           | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Esper Control                   | 0-0-0  |     --- |  0-0-0   |      --- |
| Esper Tempo                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Infect                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Tempo                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Stoneblade                      | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Goblins (Vial)                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Mono Black Reanimator           | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Worldgorger                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Beanstalk Control (Yorion)      | 0-0-0  |     --- |  0-0-0   |      --- |
| Boros Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Food Chain                      | 0-0-0  |     --- |  0-1-0   |    0.00% |
| Golgari Depths                  | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Loam                            | 0-0-0  |     --- |  0-0-0   |      --- |
| Maverick                        | 0-0-0  |     --- |  0-0-0   |      --- |
| Naya Stompy                     | 0-0-0  |     --- |  1-1-0   |   50.00% |
| Selesnya Depths                 | 0-0-0  |     --- |  0-0-0   |      --- |
| Standstill                      | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| 4C Uro Control (Non-Yorion)     | 0-0-0  |     --- |  0-0-0   |      --- |
| 8Mulch                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Bomberman                       | 0-0-0  |     --- |  0-0-0   |      --- |
| Creative Technique              | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Death and Taxes (60 Card)       | 0-0-0  |     --- |  0-0-0   |      --- |
| Esper Vial                      | 0-0-0  |     --- |  0-0-0   |      --- |
| High Tide                       | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Merfolk                         | 0-0-0  |     --- |  0-0-0   |      --- |
| Naya Depths                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Ninjas                          | 0-0-0  |     --- |  0-1-0   |    0.00% |
| Other Graveyard                 | 0-0-0  |     --- |  0-0-0   |      --- |
| Ruby Storm                      | 0-0-0  |     --- |  0-0-0   |      --- |
| Sultai Control                  | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Temur Cascade                   | 0-0-0  |     --- |  0-0-0   |      --- |
| Tin Fins                        | 0-0-0  |     --- |  0-0-0   |      --- |
| White Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| 4C Non Uro Control (Non-Yorion) | 0-0-0  |     --- |  0-0-0   |      --- |
| 4C Uro Control (Yorion)         | 0-0-0  |     --- |  0-0-0   |      --- |
| Abzan Depths                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Bant Control (Non-Yorion)       | 0-0-0  |     --- |  0-0-0   |      --- |
| Bant Control (Yorion)           | 0-0-0  |     --- |  0-0-0   |      --- |
| Boros Energy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Colorless Cloudpost             | 0-0-0  |     --- |  0-0-0   |      --- |
| Coveted Jewel Combo             | 0-0-0  |     --- |  0-0-0   |      --- |
| Death's Shadow                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Dredge                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Gruul Stompy                    | 0-0-0  |     --- |  1-1-0   |   50.00% |
| Hogaak                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Jeskai Tempo                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Natural Order                   | 0-0-0  |     --- |  0-0-0   |      --- |
| Necrodominance Combo            | 0-0-0  |     --- |  0-0-0   |      --- |
| Nic Fit                         | 0-0-0  |     --- |  0-0-0   |      --- |
| Other                           | 0-0-0  |     --- |  2-1-0   |   66.67% |
| Other Land Based/Fair GSZ       | 0-0-0  |     --- |  0-0-0   |      --- |
| Paradoxical Outcome             | 0-0-0  |     --- |  0-0-0   |      --- |
| Sultai Tempo                    | 0-0-0  |     --- |  1-1-0   |   50.00% |
| The EPIC Gamble                 | 0-0-0  |     --- |  0-0-0   |      --- |
+---------------------------------+--------+---------+----------+----------+
